"topic","term","beta"
1,"almost",0.0625
1,"every",0.0625
1,"game",0.0625
1,"fantasy",0.03125
1,"beauty",0.03125
1,"can",0.03125
1,"enjoy",0.03125
1,"football",0.03125
1,"games",0.03125
1,"mnf",0.03125
1,"nfl",0.03125
1,"two",0.03125
1,"just",0.03125
1,"civility",0.03125
1,"editorial",0.03125
1,"espn",0.03125
1,"fantastic",0.03125
1,"federar",0.03125
1,"highlighting",0.03125
1,"jeremy",0.03125
1,"joe",0.03125
1,"kanye",0.03125
1,"roger",0.03125
1,"schapp",0.03125
1,"serena",0.03125
1,"t.o",0.03125
1,"west",0.03125
1,"williams",0.03125
1,"wilson",0.03125
2,"time",0.0645161290322581
2,"major",0.0645161290322581
2,"monday",0.032258064516129
2,"now",0.032258064516129
2,"tweetless",0.032258064516129
2,"wednesday",0.032258064516129
2,"article",0.032258064516129
2,"breath",0.032258064516129
2,"deep",0.032258064516129
2,"dive",0.032258064516129
2,"ethics",0.032258064516129
2,"find",0.032258064516129
2,"gotta",0.032258064516129
2,"less",0.032258064516129
2,"little",0.032258064516129
2,"make",0.032258064516129
2,"methods",0.032258064516129
2,"research",0.032258064516129
2,"stressful",0.032258064516129
2,"way",0.032258064516129
2,"wednesdays",0.032258064516129
2,"volleyball",0.032258064516129
2,"announcement",0.032258064516129
2,"check",0.032258064516129
2,"coming",0.032258064516129
2,"daily",0.032258064516129
2,"derryprenkert.com",0.032258064516129
2,"september",0.032258064516129
2,"themes",0.032258064516129
3,"oh",0.06
3,"im",0.04
3,"alyssa",0.04
3,"group",0.04
3,"ready",0.04
3,"small",0.04
3,"time",0.02
3,"real",0.02
3,"geoffcocanower",0.02
3,"aside",0.02
3,"books",0.02
3,"caring4the",0.02
3,"dream:that",0.02
3,"generation",0.02
3,"history",0.02
3,"interests",0.02
3,"lc2lc",0.02
3,"oppressed",0.02
3,"poor",0.02
3,"putting",0.02
3,"rt",0.02
3,"written",0.02
3,"tonight",0.02
3,"get",0.02
3,"much",0.02
3,"classes",0.02
3,"day",0.02
3,"done",0.02
3,"kick",0.02
3,"woohoo",0.02
3,"gi",0.02
3,"pumped",0.02
3,"super",0.02
3,"well",0.02
3,"bringing",0.02
3,"community",0.02
3,"sbout",0.02
3,"talking",0.02
3,"fall",0.02
3,"sure",0.02
3,"yet",0.02
3,"boy",0.02
3,"work",0.02
4,"really",0.0566037735849056
4,"class",0.0377358490566038
4,"ob",0.0377358490566038
4,"go",0.0377358490566038
4,"love",0.0377358490566038
4,"just",0.0377358490566038
4,"ball",0.0188679245283019
4,"bears",0.0188679245283019
4,"colt's",0.0188679245283019
4,"consider",0.0188679245283019
4,"dear",0.0188679245283019
4,"fan",0.0188679245283019
4,"forte",0.0188679245283019
4,"giving",0.0188679245283019
4,"good",0.0188679245283019
4,"matt",0.0188679245283019
4,"may",0.0188679245283019
4,"want",0.0188679245283019
4,"can",0.0188679245283019
4,"bed",0.0188679245283019
4,"england",0.0188679245283019
4,"loses",0.0188679245283019
4,"new",0.0188679245283019
4,"smile",0.0188679245283019
4,"though",0.0188679245283019
4,"tonight",0.0188679245283019
4,"wanna",0.0188679245283019
4,"god",0.0188679245283019
4,"amish",0.0188679245283019
4,"cart",0.0188679245283019
4,"filling",0.0188679245283019
4,"gas",0.0188679245283019
4,"guy",0.0188679245283019
4,"nappanee",0.0188679245283019
4,"saw",0.0188679245283019
4,"shopping",0.0188679245283019
4,"da",0.0188679245283019
4,"de",0.0188679245283019
4,"dendisd",0.0188679245283019
4,"id",0.0188679245283019
4,"lebt",0.0188679245283019
4,"moub",0.0188679245283019
4,"muh",0.0188679245283019
4,"nubh",0.0188679245283019
4,"oud",0.0188679245283019
4,"side",0.0188679245283019
5,"lots",0.0526315789473684
5,"homework",0.0263157894736842
5,"praying",0.0263157894736842
5,"tonight",0.0263157894736842
5,"just",0.0263157894736842
5,"benefit",0.0263157894736842
5,"get",0.0263157894736842
5,"gonna",0.0263157894736842
5,"journaling",0.0263157894736842
5,"much",0.0263157894736842
5,"probably",0.0263157894736842
5,"sleep",0.0263157894736842
5,"think",0.0263157894736842
5,"wonder",0.0263157894736842
5,"clean",0.0263157894736842
5,"goes",0.0263157894736842
5,"mac",0.0263157894736842
5,"operating",0.0263157894736842
5,"smoothly",0.0263157894736842
5,"system",0.0263157894736842
5,"upgrading",0.0263157894736842
5,"wiping",0.0263157894736842
5,"group",0.0263157894736842
5,"pumped",0.0263157894736842
5,"call",0.0263157894736842
5,"encouraging",0.0263157894736842
5,"full",0.0263157894736842
5,"fun",0.0263157894736842
5,"got",0.0263157894736842
5,"man",0.0263157894736842
5,"packed",0.0263157894736842
5,"payday",0.0263157894736842
5,"phone",0.0263157894736842
5,"students",0.0263157894736842
5,"times",0.0263157894736842
5,"weekend",0.0263157894736842
5,"youth",0.0263157894736842
6,"alyssa",0.0833333333333333
6,"chapel",0.0833333333333333
6,"class",0.0416666666666667
6,"im",0.0416666666666667
6,"chair",0.0416666666666667
6,"claim",0.0416666666666667
6,"comfy",0.0416666666666667
6,"go",0.0416666666666667
