"topic","term","beta"
1,"good",0.0172015682930195
1,"spider",0.0146153469576626
1,"go",0.0146153469576626
1,"think",0.0146153469576626
1,"know",0.01425410855162
1,"new",0.0132234423374296
1,"can",0.0121794531546125
1,"way",0.00974356463844174
1,"check",0.00974356463844174
1,"awesome",0.00971146438945241
2,"good",0.0243668107747193
2,"love",0.0220816656943262
2,"can",0.0173195162674462
2,"make",0.0130185863955338
2,"made",0.0129975794001714
2,"just",0.0125408685312543
2,"go",0.0112847299331468
2,"man",0.0107524108536416
2,"next",0.0106678588856037
2,"going",0.0100389638548153
3,"got",0.0312626924948851
3,"tonight",0.0238904978281026
3,"night",0.0209298592204216
3,"like",0.0173749075112957
3,"just",0.0164482989889393
3,"playing",0.0130311806335105
3,"raptr.com",0.0108593171945921
3,"txbreed",0.0108593171945921
3,"went",0.0108155693352527
3,"home",0.00895536704860198
4,"think",0.0212038479930942
4,"run",0.0150104620771128
4,"pre",0.0150014298969563
4,"work",0.0145351874589304
4,"saturday",0.012508718397594
4,"awesome",0.0125087161826088
4,"well",0.0121607664625145
4,"go",0.0120061154761491
4,"palm",0.0114990300584743
4,"dog",0.0100069747180752
5,"just",0.0168989675304165
5,"one",0.0156920258957226
5,"new",0.0147312590764438
5,"time",0.0146930332342903
5,"rt",0.0134503079106193
5,"justinbieber",0.0112085899255161
5,"wow",0.0112085880776223
5,"got",0.0112085829055358
5,"say",0.00896687194041239
5,"basketball",0.0089668719346677
6,"great",0.0389639570490705
6,"see",0.0221123529567513
6,"hey",0.0172040158953758
6,"d",0.0172021634813857
6,"get",0.0130540063416839
6,"today",0.0130499697884885
6,"demolay",0.0122885827824113
6,"night",0.0107234572409043
6,"got",0.0100978282040781
6,"miss",0.009830866225929
7,"school",0.0188586091186587
7,"lol",0.01852581687733
7,"back",0.0183270753318577
7,"jilleryjae",0.0107763555172204
7,"come",0.0107763555172204
7,"people",0.0107763555172204
7,"adryband",0.0107763555172204
7,"thank",0.0107758160751421
7,"just",0.00928075227925716
7,"good",0.00884644274307274
8,"like",0.018493175890701
8,"watching",0.0123962806620926
8,"get",0.0115090228049609
8,"thanks",0.0111013909684884
8,"just",0.0106887146747188
8,"tv",0.00991702452968051
8,"first",0.00991702452968051
8,"movie",0.00991702449945734
8,"p4ntzistheish",0.00991702445498373
8,"animalhouse35",0.00962699128754828
9,"bison",0.0373798069447015
9,"game",0.0303773289343164
9,"gay",0.0280413269640281
9,"home",0.0254162932398953
9,"get",0.0186942179760187
9,"football",0.0172141984043717
9,"day",0.0157657342003208
9,"tickets",0.014020663482014
9,"volleyball",0.0118960976832908
9,"opener",0.0116838862350117
9,"friday",0.0116838862350117
