"topic","term","beta"
1,"today",0.0625
1,"c",0.0625
1,"city",0.0625
1,"contest",0.0625
1,"district",0.0625
1,"district_lines",0.0625
1,"districtlin.es",0.0625
1,"dlcontest",0.0625
1,"ends",0.0625
1,"enter",0.0625
1,"free",0.0625
1,"giving",0.0625
1,"lines",0.0625
1,"noon",0.0625
1,"owl",0.0625
1,"shirts",0.0625
2,"buckshiree",0.111111111111111
2,"autobot",0.111111111111111
2,"just",0.111111111111111
2,"life",0.111111111111111
2,"quite",0.111111111111111
2,"saved",0.111111111111111
2,"starting",0.111111111111111
2,"stretch",0.111111111111111
2,"though",0.111111111111111
2,"c",3.72007597602084e-44
2,"city",3.72007597602084e-44
2,"contest",3.72007597602084e-44
2,"district",3.72007597602084e-44
2,"district_lines",3.72007597602084e-44
2,"districtlin.es",3.72007597602084e-44
2,"dlcontest",3.72007597602084e-44
2,"ends",3.72007597602084e-44
2,"enter",3.72007597602084e-44
2,"free",3.72007597602084e-44
2,"giving",3.72007597602084e-44
2,"lines",3.72007597602084e-44
2,"noon",3.72007597602084e-44
2,"owl",3.72007597602084e-44
2,"shirts",3.72007597602084e-44
2,"end",3.72007597602084e-44
2,"girlfriend",3.72007597602084e-44
2,"mason",3.72007597602084e-44
2,"near",3.72007597602084e-44
2,"snap",3.72007597602084e-44
2,"world",3.72007597602084e-44
2,"blows",3.72007597602084e-44
2,"computers",3.72007597602084e-44
2,"dude",3.72007597602084e-44
2,"trouble",3.72007597602084e-44
3,"designing",0.0714285714285714
3,"face",0.0714285714285714
3,"p",0.0714285714285714
3,"yo",0.0714285714285714
3,"buckshiree",0.0714285714285714
3,"want",0.0714285714285714
3,"jesus",0.0714285714285714
3,"nirvana",0.0714285714285714
3,"sunbeam",0.0714285714285714
3,"drawing",0.0714285714285714
3,"class",0.0714285714285714
3,"sniffle",0.0714285714285714
3,"sweet",0.0714285714285714
3,"wish",0.0714285714285714
4,"end",0.142857142857143
4,"girlfriend",0.142857142857143
4,"mason",0.142857142857143
4,"near",0.142857142857143
4,"oh",0.142857142857143
4,"snap",0.142857142857143
4,"world",0.142857142857143
4,"autobot",3.72007597602084e-44
4,"life",3.72007597602084e-44
4,"quite",3.72007597602084e-44
4,"saved",3.72007597602084e-44
4,"starting",3.72007597602084e-44
4,"stretch",3.72007597602084e-44
4,"though",3.72007597602084e-44
4,"c",3.72007597602084e-44
4,"city",3.72007597602084e-44
4,"contest",3.72007597602084e-44
4,"district",3.72007597602084e-44
4,"district_lines",3.72007597602084e-44
4,"districtlin.es",3.72007597602084e-44
4,"dlcontest",3.72007597602084e-44
4,"ends",3.72007597602084e-44
4,"enter",3.72007597602084e-44
4,"free",3.72007597602084e-44
4,"giving",3.72007597602084e-44
4,"lines",3.72007597602084e-44
4,"noon",3.72007597602084e-44
4,"owl",3.72007597602084e-44
4,"shirts",3.72007597602084e-44
5,"buckshiree",0.1
5,"whats",0.1
5,"wrong",0.1
5,"just",0.1
5,"sticky",0.1
5,"still",0.1
5,"tr.im",0.1
5,"yiyy",0.1
5,"blah",0.1
5,"woke",0.1
6,"things",0.166666666666667
6,"buckshiree",0.0833333333333333
6,"anrgy",0.0833333333333333
6,"shoooot",0.0833333333333333
6,"threathen",0.0833333333333333
6,"steal",0.0833333333333333
6,"bonnieerin",0.0833333333333333
6,"howdys",0.0833333333333333
6,"lol",0.0833333333333333
6,"okay",0.0833333333333333
6,"school",0.0833333333333333
7,"buckshiree",0.25
7,"advice",0.0833333333333333
7,"shoot",0.0833333333333333
7,"really",0.0833333333333333
7,"date",0.0833333333333333
7,"fox",0.0833333333333333
7,"megan",0.0833333333333333
7,"tr.im",0.0833333333333333
7,"everyday",0.0833333333333333
7,"yp61",0.0833333333333333
8,"buckshiree",0.1
8,"just",0.1
8,"bwahah",0.1
8,"cups",0.1
8,"steal",0.1
8,"want",0.1
8,"first",0.1
8,"fun",0.1
8,"think",0.1
8,"time",0.1
9,"get",0.230769230769231
9,"p",0.0769230769230769
9,"drawing",0.0769230769230769
9,"today",0.0769230769230769
9,"work",0.0769230769230769
9,"oh",0.0769230769230769
9,"bonnieerin",0.0769230769230769
9,"blows",0.0769230769230769
9,"computers",0.0769230769230769
9,"dude",0.0769230769230769
9,"trouble",0.0769230769230769
