"topic","term","beta"
1,"live",0.0329885656148301
1,"new",0.0265056325809159
1,"night",0.0182746285156823
1,"w",0.0165652543582635
1,"just",0.0138171948212188
1,"rt",0.0132528162904579
1,"now",0.0132528162904579
1,"tmnt",0.0132528162904579
1,"techjohnson.com",0.0132528162904579
1,"morning",0.0132528162904208
2,"class",0.0114410135327602
2,"rt",0.0114410135327602
2,"get",0.0114410135327602
2,"juice",0.0114410135327602
2,"new",0.0114370407679505
2,"site",0.0114342717997992
2,"like",0.00953828183889977
2,"day",0.00858076014957014
2,"job",0.00858076014957014
2,"fortune",0.00858076014957014
2,"wheel",0.00858076014957014
2,"eye",0.00858076014957014
2,"via",0.00858076014957014
2,"keep",0.00858076014957014
3,"drupal",0.0254062813255139
3,"going",0.014115318813128
3,"urbanwisewifey",0.0141153188111581
3,"today",0.013691425024257
3,"can",0.0114103113125313
3,"himerus",0.0112922550505024
3,"totally",0.0112922550505024
3,"love",0.00846919128787679
3,"new",0.00846919128787679
3,"tonight",0.00846919128787679
3,"blog",0.00846919128787679
3,"sucks",0.00846919128787679
3,"month",0.00846919128787679
4,"testing",0.125412539668225
4,"check",0.06930692981665
4,"thing",0.0660065998253818
4,"mic",0.0627062698341127
4,"rt",0.0132013199650764
4,"girl",0.00990098997380728
4,"go",0.00990098997380728
4,"new",0.00990098997380728
4,"cat",0.00990098997380728
4,"right",0.00990098997380727
5,"become",0.0274569349730375
5,"know",0.0171605843581485
5,"new",0.0137284674865188
5,"work",0.0137284674865188
5,"getting",0.0137284674864949
5,"self",0.0102963506148891
5,"wonder",0.0102963506148891
5,"use",0.0102963506148891
5,"like",0.0102963506148891
5,"y",0.0102963506148891
5,"care",0.0102963506148891
5,"game",0.0102963506148891
5,"narcissists",0.0102963506148891
5,"nation",0.0102963506148891
5,"everything",0.0102963506148891
5,"football",0.0102963506148891
6,"good",0.0413400429175377
6,"just",0.0322846475496103
6,"can",0.0294090692633292
6,"sleep",0.0236260560079354
6,"time",0.0206727989749746
6,"lol",0.0180730739596818
6,"love",0.0177195419059109
6,"day",0.0177195306969162
6,"awesome",0.0147662850049597
6,"saw",0.0118130280039677
6,"wait",0.0118130280039677
6,"gym",0.0118130280039677
7,"rt",0.0401638796011882
7,"really",0.0266837163881556
7,"videos",0.0190598021668589
7,"thanks",0.0190598021668589
7,"vaccine",0.0152478417334872
7,"think",0.0152478417334872
7,"one",0.0114358813001154
7,"watching",0.0114358813001154
7,"bday",0.0108265648988305
7,"great",0.00880305078351716
8,"love",0.0162992354232071
8,"via",0.0162992354232071
8,"amazing",0.0162992354232071
8,"double",0.0130393883385657
8,"rt",0.0130393883385657
8,"even",0.0130393883385657
8,"still",0.00977954125392426
8,"people",0.00977954125392426
8,"toys",0.00977954125392426
8,"always",0.00977954125392426
8,"show",0.00977954125392426
9,"lol",0.0249219101787587
9,"twitter",0.0168768817322455
9,"little",0.0168768817322455
9,"yung_sprynt",0.0168630422846404
9,"much",0.0168485923131404
9,"self",0.0167324982625634
9,"absorbed",0.0135015053857964
9,"just",0.0135015053857964
9,"miss",0.0135015053857964
9,"boston",0.0135015053857964
9,"gabba",0.0135015053857964
