"topic","term","beta"
1,"new",0.172653470015609
1,"dj",0.0936541616871429
1,"em",0.0883346960350846
1,"lnk.ms",0.072695048963059
1,"uploaded",0.0712802179217923
1,"d",0.0648141455146063
1,"check",0.0637252761056058
1,"photos",0.0526194178898375
1,"know",0.0517164794229925
1,"bree",0.0358744008430739
2,"lnk.ms",0.165181691379817
2,"new",0.111275715422968
2,"bree",0.093166153747818
2,"check",0.0874914904522848
2,"uploaded",0.0837447211467617
2,"dj",0.0720196321281813
2,"em",0.0584165576837236
2,"photos",0.0443905104179958
2,"think",0.0340852266159823
2,"d",0.0270408216991817
3,"check",0.170435986036196
3,"busy",0.163758649382172
3,"photos",0.0772418542285915
3,"dj",0.0643444504572277
3,"www.myspace.com",0.0546090402517961
3,"album",0.0545948017125496
3,"random_noise09",0.054573816203623
3,"photography",0.0545517172262746
3,"please",0.0545201482273452
3,"new",0.0301084273608473
4,"lnk.ms",0.107348709697526
4,"em",0.0663596719622621
4,"photos",0.0605921136868727
4,"bree",0.0521001891722465
4,"dj",0.0474602159050788
4,"wants",0.0464086745714607
4,"uploaded",0.0412953621442813
4,"think",0.0320982718142589
4,"foood",0.0307870980921845
4,"0y8p0",0.0291675997391345
5,"lnk.ms",0.205617411344747
5,"check",0.0864935100771477
5,"photos",0.0859660631066798
5,"em",0.0407541423287625
5,"20wgd",0.0391301664384744
5,"damn",0.0374868356051711
5,"miserable",0.0367162814520018
5,"know",0.0328567881670241
5,"pretty",0.0280443154340913
5,"bree",0.027945343974379
6,"lnk.ms",0.114782680096263
6,"bree",0.101878645767447
6,"new",0.0707295501802265
6,"0zncj",0.0559133377297278
6,"whats",0.0514435213911887
6,"prepare",0.0513096388554012
6,"d",0.0475539655638898
6,"next",0.0423015085922202
6,"photos",0.041194363967074
6,"check",0.0398188909564601
7,"lnk.ms",0.109887791457263
7,"bree",0.105530604328481
7,"photos",0.0849815140295619
7,"dj",0.0842020871199808
7,"d",0.0586466050267607
7,"em",0.0571818465110457
7,"think",0.0409877383255849
7,"new",0.0364951025735987
7,"check",0.0244789706703704
7,"uploaded",0.0240737080954129
8,"new",0.15354916690732
8,"em",0.141383460140517
8,"dj",0.0789419608604636
8,"uploaded",0.0718854831744633
8,"let",0.0657595521715236
8,"check",0.0637297277701387
8,"bree",0.063445266177517
8,"know",0.062586892934307
8,"d",0.0523834735322362
8,"photos",0.0490884171408891
9,"lnk.ms",0.147421193392006
9,"uploaded",0.0977484355438662
9,"dj",0.089475262836534
9,"em",0.0702964621942869
9,"let",0.0547703861709227
9,"bree",0.0533073880130333
9,"photos",0.0529188466516774
9,"check",0.0467976363511782
9,"know",0.0417418193949802
9,"d",0.0354886624719465
