"topic","term","beta"
1,"like",0.0320306877168867
1,"now",0.0320306877168867
1,"fresh",0.0240230077197011
1,"eating",0.0240229826413611
1,"rt",0.0160153438584434
1,"earl",0.0160153438584434
1,"earthxplorer",0.0160153438584434
1,"quote",0.0160153438584434
1,"say",0.0160153438584434
1,"sign",0.0160153438584434
1,"via",0.0160153438584434
1,"wilson",0.0160153438584434
1,"write",0.0160153438584434
1,"conclusion",0.0160153438584434
1,"first",0.0160153438584434
1,"new",0.0160153438584434
1,"sensors",0.0160153438584434
1,"smart",0.0160153438584434
1,"startupcoach",0.0160153438584434
1,"strange",0.0160153438584434
1,"tweet",0.0160153438584434
1,"tweetdeck",0.0160153438584434
1,"us",0.0160153438584434
1,"v0.30.5",0.0160153438584434
1,"life",0.0160153438584434
1,"addictive",0.0160153438584434
1,"dedicated",0.0160153438584434
1,"island",0.0160153438584434
1,"mirage",0.0160153438584434
1,"mojito",0.0160153438584434
1,"ow.ly",0.0160153438584434
1,"purpose",0.0160153438584434
1,"qsvu",0.0160153438584434
1,"seanlinmt",0.0160153438584434
1,"omg",0.0160153438584434
1,"twitpic.com",0.0160153438584434
1,"lovefromcaity",0.0160153438584434
2,"las",0.0634873543148678
2,"vegas",0.0634873543143455
2,"tradeshow",0.028857888326477
2,"asta",0.0288525645507324
2,"asta09",0.0288523078571039
2,"appear",0.0230863106611816
2,"day",0.0201416698244217
2,"twitter",0.0173147329958862
2,"booth",0.0173147329958862
2,"twitpic.com",0.0173147276600423
3,"always",0.0600000792126626
3,"today",0.0499987457951612
3,"really",0.0400000528084417
3,"else",0.0400000528084261
3,"abt",0.0300000396063313
3,"kanye",0.0300000396063313
3,"chantified",0.0200000264042209
3,"feel",0.0200000264042209
3,"follow",0.0200000264042209
3,"friendly",0.0200000264042209
3,"generous",0.0200000264042209
3,"great",0.0200000264042209
3,"makes",0.0200000264042209
3,"person",0.0200000264042209
3,"puzzle",0.0200000264042209
3,"save",0.0200000264042209
3,"1mppu9",0.0200000264042209
3,"huffingtonpost",0.0200000264042209
3,"startup",0.0200000264042209
3,"startups",0.0200000264042209
3,"top",0.0200000264042209
3,"world",0.0200000264042209
3,"esp",0.0200000264042209
3,"going",0.0200000264042209
3,"hate",0.0200000264042209
3,"west",0.0200000264042209
4,"rt",0.0316475353297719
4,"even",0.0237356514973289
4,"u",0.0158237676648859
4,"thai",0.0158237676648859
4,"wit",0.0158237676648859
4,"quote",0.0158237676648859
4,"achievement",0.0158237676648859
4,"art",0.0158237676648859
4,"failure",0.0158237676648859
4,"fulfillment",0.0158237676648859
4,"success",0.0158237676648859
4,"tonyrobbins",0.0158237676648859
4,"without",0.0158237676648859
4,"favorite",0.0158237676648859
4,"alexander",0.0158237676648859
4,"anything",0.0158237676648859
4,"chantified",0.0158237676648859
4,"fall",0.0158237676648859
4,"hamilton",0.0158237676648859
4,"mine",0.0158237676648859
4,"nothing",0.0158237676648859
4,"stand",0.0158237676648859
4,"znatrainer",0.0158237676648859
4,"keke",0.0158237676648859
4,"saxyspice69",0.0158237676648859
4,"according",0.0158237676648859
4,"thing",0.0158237676648859
5,"cbs",0.0488386377374694
5,"news",0.0325590918249796
5,"twitter",0.0325590918249796
5,"new",0.0325590918249762
5,"time",0.0244193188685587
5,"u",0.0244193188680802
5,"get",0.0200542271015177
5,"can",0.0162795459124898
5,"quote",0.0162795459124898
5,"ambitious",0.0162795459124898
5,"businesses",0.0162795459124898
5,"climate",0.0162795459124898
5,"deal",0.0162795459124898
5,"demand",0.0162795459124898
5,"global",0.0162795459124898
5,"green",0.0162795459124898
5,"tbn4x",0.0162795459124898
5,"2mrept",0.0162795459124898
5,"money",0.0162795459124898
5,"save",0.0162795459124898
5,"ways",0.0162795459124898
5,"facebook",0.0162795459124898
5,"gfbnr",0.0162795459124898
5,"never",0.0162795459124898
5,"things",0.0162795459124898
5,"baby",0.0162795459124898
5,"bkrnj",0.0162795459124898
5,"boomers",0.0162795459124898
5,"job",0.0162795459124898
5,"makeovers",0.0162795459124898
5,"networking",0.0162795459124898
5,"online",0.0162795459124898
5,"search",0.0162795459124898
5,"story",0.0162795459124898
5,"video",0.0162795459124898
5,"ahead",0.0162795459124898
5,"ford",0.0162795459124898
5,"henry",0.0162795459124898
5,"observation",0.0162795459124898
5,"others",0.0162795459124898
5,"people",0.0162795459124898
5,"waste",0.0162795459124898
6,"work",0.0239254184395581
6,"la",0.0179440638296686
6,"angeles",0.0179440638296686
6,"los",0.0179440638296686
6,"robbed",0.011962709219779
6,"just",0.011962709219779
6,"business",0.011962709219779
6,"ajguw",0.011962709219779
6,"million",0.011962709219779
6,"sale",0.011962709219779
6,"seeking",0.011962709219779
6,"small",0.011962709219779
6,"unit",0.011962709219779
6,"yahoo",0.011962709219779
6,"forward",0.011962709219779
6,"looking",0.011962709219779
6,"goes",0.011962709219779
6,"next",0.011962709219779
6,"obama",0.011962709219779
6,"twitpic.com",0.011962709219779
6,"last",0.011962709219779
6,"patrick",0.011962709219779
6,"goodbyes",0.011962709219779
6,"move",0.011962709219779
6,"pink's",0.011962709219779
6,"worth",0.011962709219779
6,"call",0.011962709219779
6,"sleepyjeans",0.011962709219779
7,"u",0.0336134453781513
7,"hard",0.0252100840336134
