"topic","term","beta"
1,"twitter",0.0384121464049808
1,"know",0.0280461038584582
1,"haydengurl22",0.0275892121523344
1,"right",0.0196322847812533
1,"just",0.0181542972568626
1,"u",0.016820685871318
1,"way",0.0167975202314709
1,"fakerpattz",0.0140230605580381
1,"now",0.0140230605580381
1,"much",0.0121938960499725
2,"rt",0.0262574781300203
2,"lol",0.0258322761202652
2,"kanye",0.0210069635094255
2,"made",0.0183810930707978
2,"holyflabberpoo",0.0157552226321124
2,"oh",0.0157552226321124
2,"tweet",0.0157552226321124
2,"aint",0.0157552225582381
2,"last",0.013129352193427
2,"thanks",0.013129352193427
3,"lol",0.044108047590981
3,"guess",0.0327307999707535
3,"kayyyleighjane",0.0297552820412182
3,"get",0.0178531692247926
3,"ceboo",0.0178531692247926
3,"loyalty_4_life",0.0178531692054124
3,"yeah",0.0164346780236492
3,"really",0.0146216437840917
3,"bighesse",0.0119021128165284
3,"lecture",0.00892658461239632
3,"love",0.00892658461239632
3,"see",0.00892658461239632
3,"paper",0.00892658461239632
3,"test",0.00892658461239632
4,"ms",0.0624108228488227
4,"hattiesburg",0.0609248508762317
4,"chain",0.0609248475334217
4,"airport",0.0594388789036407
4,"bobby",0.0594388789036407
4,"f",0.0594388789036407
4,"il.htm",0.0594388789036407
4,"l",0.0594388789036407
4,"municipal",0.0594388789036407
4,"s1z.us",0.0594388789036407
4,"winds",0.0594388789036407
5,"night",0.0184704117022397
5,"name",0.015392009884396
5,"ha",0.0151105856008671
5,"whats",0.0123136079075168
5,"around",0.0123136079075168
5,"hell",0.0121959091100634
5,"tumblr.com",0.0119314675717527
5,"busy",0.00923520593063761
5,"love",0.00923520593063761
5,"movie",0.00923520593063761
5,"always",0.00923520593063761
5,"now",0.00923520593063761
5,"make",0.00923520593063761
5,"cool",0.00923520593063761
5,"let",0.00923520593063761
6,"holyflabberpoo",0.0236807858922361
6,"good",0.0177605894191771
6,"tumblr.com",0.0176827106303689
6,"know",0.0172153015084688
6,"get",0.0148004911826476
6,"guess",0.0118403929461181
6,"got",0.0118403929461181
6,"missnell_601",0.0118403929461181
6,"evanbrectel",0.0118403929461181
6,"mzlildiva",0.0118403929461181
6,"hour",0.0118403929461181
7,"like",0.0350164855188618
7,"time",0.026698099321528
7,"really",0.026419887578743
7,"week",0.0240748657975122
7,"yay",0.0210654828432465
7,"need",0.0180561313082241
7,"tonight",0.0150467926053065
7,"feel",0.0150467926053065
7,"just",0.0147553309927495
7,"day",0.0121552436946232
8,"best",0.0236648615829035
8,"adamnfool",0.0236648615829035
8,"just",0.023214783000378
8,"go",0.020563451178297
8,"twitpic.com",0.0204376942308172
8,"life",0.0177486461871777
8,"gotta",0.0147905336868272
8,"one",0.0134550722230028
8,"got",0.0130789069801857
8,"eggvip",0.0118324307914518
8,"holyflabberpoo",0.0118324307914518
8,"look",0.0118324307914518
8,"iigorgeousladii",0.0118324307914518
8,"lmao",0.0118324307914518
9,"whydoniggas",0.0337169990097014
9,"think",0.0155587239100822
9,"tumblr.com",0.0155086738551192
9,"day",0.0150902554008463
9,"just",0.0103744612337564
9,"crystalinab",0.0103744612337564
9,"video",0.0103744612337564
9,"yup",0.0103744612301252
9,"said",0.0103744591584839
9,"today",0.00778084592531732
9,"im",0.00778084592531732
9,"fuck",0.00778084592531732
9,"historying",0.00778084592531732
9,"new",0.00778084592531732
9,"things",0.00778084592531732
9,"actually",0.00778084592531732
9,"watch",0.00778084592531732
9,"never",0.00778084592531732
