"topic","term","beta"
1,"review",0.0346219108573475
1,"mp3",0.0324496836812521
1,"asthmatic",0.0324496836812521
1,"kitty",0.0324496836812521
1,"dvd",0.0324496836654778
1,"new",0.0243372627609391
1,"feed",0.0243372627609391
1,"series",0.0243372627609391
1,"part",0.0243372627609391
1,"rt",0.0162248418406261
1,"ping.fm",0.0162248418406261
1,"asthmatickitty.com",0.0162248418406261
1,"atom",0.0162248418406261
1,"cool",0.0162248418406261
1,"files",0.0162248418406261
1,"free",0.0162248418406261
1,"idisposable",0.0162248418406261
1,"podcast",0.0162248418406261
1,"wicked",0.0162248418406261
1,"playlist",0.0162248418406261
1,"akradio",0.0162248418406261
1,"alphabet",0.0162248418406261
1,"anticon",0.0162248418406261
1,"em4ro",0.0162248418406261
1,"first",0.0162248418406261
1,"labels",0.0162248418406261
1,"sidebar",0.0162248418406261
1,"virtual",0.0162248418406261
1,"group",0.0162248418406261
1,"lab",0.0162248418406261
1,"policy",0.0162248418406261
1,"season",0.0162248418406261
2,"night",0.0320984753572486
2,"rt",0.0256787802857989
2,"music",0.0256787802857989
2,"ping.fm",0.0256787802857989
2,"vol",0.0256787802857989
2,"review",0.0239598068457583
2,"play",0.0192590852143492
2,"much",0.0192590852143492
2,"work",0.0192590852143492
2,"manga",0.0192590852143492
3,"rhukill",0.0193548386901958
3,"blip.fm",0.0193548386901958
3,"19wa0m",0.0129032257934639
3,"bqe",0.0129032257934639
3,"knoxroad",0.0129032257934639
3,"stevens",0.0129032257934639
3,"sufjan",0.0129032257934639
3,"twotoes123",0.0129032257934639
3,"talk",0.0129032257934639
3,"thought",0.0129032257934639
3,"life",0.0129032257934639
3,"hard",0.0129032257934639
3,"date",0.0129032257934639
3,"edmorrissey",0.0129032257934639
3,"interview",0.0129032257934639
3,"jay",0.0129032257934639
3,"leno",0.0129032257934639
3,"never",0.0129032257934639
4,"day",0.0495867768595043
4,"rt",0.0495867768595043
4,"love",0.041322314049584
4,"helado",0.0330578512396695
4,"negro",0.0330578512396695
4,"new",0.0247933884297522
4,"video",0.0247933884297522
4,"nols",0.0247933884297522
4,"shannon",0.0165289256198348
4,"ping.fm",0.0165289256198348
4,"45uztr",0.0165289256198348
4,"bent",0.0165289256198348
4,"go",0.0165289256198348
4,"heat",0.0165289256198348
4,"stephen's",0.0165289256198348
4,"summer",0.0165289256198348
4,"superb",0.0165289256198348
4,"watch",0.0165289256198348
4,"zack",0.0165289256198348
4,"1atykt",0.0165289256198348
4,"carolinian",0.0165289256198348
4,"crowd",0.0165289256198348
4,"newsgreensboro",0.0165289256198348
4,"screams",0.0165289256198348
4,"wuag",0.0165289256198348
4,"8thcircleaudio",0.0165289256198348
4,"abersoch",0.0165289256198348
4,"awe",0.0165289256198348
4,"beach",0.0165289256198348
4,"beautiful",0.0165289256198348
4,"enjoying",0.0165289256198348
4,"owe",0.0165289256198348
4,"qjjkz",0.0165289256198348
4,"hodl3",0.0165289256198348
5,"focus",0.0470588235294115
5,"try",0.0470588235294115
5,"ines",0.0352941176470587
5,"one",0.0235294117647058
5,"thanks",0.0176470588235294
5,"yes",0.0176470588235293
5,"heard",0.0117647058823529
5,"5pflp",0.0117647058823529
5,"adept",0.0117647058823529
