"topic","term","beta"
1,"life",0.0165255894772279
1,"home",0.0158734879734684
1,"u",0.0155902082203228
1,"think",0.0143756226422053
1,"man",0.0140201060024554
1,"go",0.011138862171094
1,"dont",0.00851272925620431
1,"way",0.0083160615339798
1,"mizvolz",0.00701085626173062
1,"sick",0.0070108562584473
2,"rt",0.0305568976049054
2,"just",0.0188702781252148
2,"tweet",0.0144742489005598
2,"win",0.0141882195491279
2,"follow",0.0132680613968959
2,"know",0.0132258442969497
2,"today",0.0102215386176654
2,"building",0.00844331178356771
2,"d",0.00779569929310144
2,"says",0.00678700544124297
3,"time",0.0312061229833889
3,"night",0.0226705745881952
3,"good",0.0216432926695494
3,"day",0.0168921298785303
3,"got",0.0136936313645765
3,"just",0.0128601683167438
3,"much",0.0114884047450144
3,"week",0.0111045486293035
3,"last",0.0105757598944972
3,"though",0.0105709452134186
4,"go",0.0276938588522252
4,"get",0.0180018716685067
4,"now",0.0170609322775328
4,"come",0.0125067809041349
4,"can",0.0122887389995405
4,"back",0.0103313143913412
4,"time",0.009813264872878
4,"little",0.00969488314147283
4,"sxp2x",0.00872990385450569
4,"good",0.00826767564402332
5,"twitpic.com",0.0247332976962899
5,"rt",0.0162173719454747
5,"hit",0.0117779519411025
5,"wanna",0.0100109712294469
5,"just",0.00998501076228497
5,"lnk.ms",0.00975680195265266
5,"aim",0.00837830883959733
5,"get",0.00816256083584471
5,"old",0.00750127754076212
5,"gonna",0.00733353985119652
6,"fresno",0.0763181136751517
6,"house",0.0134531936568054
6,"fuck",0.0122301749609445
6,"hot",0.0122301742784322
6,"haha",0.0109108857535903
6,"state",0.0104187396108965
6,"event",0.0103956497353506
6,"hope",0.00946828858648257
6,"events",0.00923860392762737
6,"upcoming",0.00839442212100886
7,"work",0.0232433884022778
7,"going",0.0210661458761814
7,"see",0.0139750043109913
7,"new",0.0127283960849779
7,"make",0.0107724328680455
7,"god",0.0104597976261149
7,"just",0.00974996329433871
7,"real",0.0090611410015258
7,"rt",0.00883181120940346
7,"something",0.00871649054500036
8,"love",0.0384023182060801
8,"lol",0.0231384163514671
8,"know",0.0114448300114038
8,"want",0.0101653141305632
8,"even",0.00919238664011726
8,"im",0.00910755211405399
8,"swift",0.00847076359104319
8,"rt",0.00839335105659654
8,"got",0.00812394440033282
8,"first",0.00801689809848701
9,"like",0.0535587481458148
9,"right",0.023190339414181
9,"lol",0.0205230066992508
9,"just",0.0194459365198682
9,"now",0.019322878691912
9,"watching",0.0158245456095401
9,"get",0.0140213554419095
9,"need",0.0133599761201113
9,"people",0.0120892193218469
9,"su.pr",0.00934129161941041
