"topic","term","beta"
1,"just",0.0833333333333333
1,"daddy",0.0833333333333333
1,"drugs",0.0833333333333333
1,"duties",0.0833333333333333
1,"get",0.0833333333333333
1,"healthy",0.0833333333333333
1,"home",0.0833333333333333
1,"kids",0.0833333333333333
1,"seem",0.0833333333333333
1,"starting",0.0833333333333333
1,"though",0.0833333333333333
1,"work",0.0833333333333333
2,"butts",0.0769230769230769
2,"charles",0.0769230769230769
2,"getting",0.0769230769230769
2,"kicked",0.0769230769230769
2,"packers",0.0769230769230769
2,"thank",0.0769230769230769
2,"without",0.0769230769230769
2,"woodson",0.0769230769230769
2,"bengals",0.0769230769230769
2,"least",0.0769230769230769
2,"loose",0.0769230769230769
2,"thomasmckenzie",0.0769230769230769
2,"worry",0.0769230769230769
3,"way",0.2
3,"backwater",0.1
3,"badgers",0.1
3,"beat",0.1
3,"carolina",0.1
3,"go",0.1
3,"jv",0.1
3,"south",0.1
3,"squad",0.1
3,"lady",6.00514032767925e-128
4,"theater",0.142857142857143
4,"go",0.0714285714285714
4,"district",0.0714285714285714
4,"feel",0.0714285714285714
4,"free",0.0714285714285714
4,"gonna",0.0714285714285714
4,"join",0.0714285714285714
4,"marcus",0.0714285714285714
4,"meet",0.0714285714285714
4,"oshkosh",0.0714285714285714
4,"pm",0.0714285714285714
4,"see",0.0714285714285714
4,"wanna",0.0714285714285714
5,"na",0.6
5,"da",0.2
5,"birthday",0.1
5,"say",0.05
5,"yeah",0.05
5,"lady",8.59881879040009e-170
5,"happydaydeadfis",7.32344250893492e-170
5,"thanks",1.15197849986818e-170
5,"go",6.82845380000749e-171
5,"back",4.31066353832051e-171
5,"film",4.31066353832051e-171
5,"school",4.31066353832051e-171
5,"katealison",4.31066353832051e-171
6,"happydaydeadfis",0.117647058823529
6,"go",0.0588235294117647
6,"back",0.0588235294117647
6,"film",0.0588235294117647
6,"school",0.0588235294117647
6,"fall",0.0588235294117647
6,"kick",0.0588235294117647
6,"start",0.0588235294117647
6,"thing",0.0588235294117647
6,"dark",0.0588235294117647
6,"side",0.0588235294117647
6,"welcome",0.0588235294117647
6,"district",0.0588235294117647
6,"flick",0.0588235294117647
6,"good",0.0588235294117647
6,"pretty",0.0588235294117647
7,"points",0.117647058823529
7,"turnovers",0.117647058823529
7,"great",0.0588235294117647
7,"folks",0.0588235294117647
7,"turn",0.0588235294117647
7,"kick",0.0588235294117647
7,"joined",0.0588235294117647
7,"thanks",0.0588235294117647
7,"tonight",0.0588235294117647
7,"us",0.0588235294117647
7,"y'all",0.0588235294117647
7,"brother",0.0588235294117647
7,"like",0.0588235294117647
7,"lunch",0.0588235294117647
7,"minded",0.0588235294117647
8,"go",0.0769230769230769
8,"business",0.0769230769230769
8,"jonwilcox",0.0769230769230769
8,"local",0.0769230769230769
8,"man",0.0769230769230769
8,"shopko",0.0769230769230769
8,"support",0.0769230769230769
8,"difficult",0.0769230769230769
8,"email",0.0769230769230769
8,"writting",0.0769230769230769
8,"head",0.0769230769230769
8,"hit",0.0769230769230769
8,"pillow",0.0769230769230769
9,"great",0.117647058823529
9,"lady",0.117647058823529
9,"birthday",0.0588235294117647
9,"candle",0.0588235294117647
9,"college",0.0588235294117647
9,"football",0.0588235294117647
9,"hold",0.0588235294117647
9,"just",0.0588235294117647
9,"nfl",0.0588235294117647
9,"thanks",0.0588235294117647
9,"katealison",0.0588235294117647
9,"five",0.0588235294117647
9,"greatest",0.0588235294117647
9,"people",0.0588235294117647
9,"world",0.0588235294117647
