"topic","term","beta"
1,"follow",0.0344758190916043
1,"thisislovemusic",0.0287298492430036
1,"u",0.0229838130836189
1,"twitter",0.0172379095458022
1,"selenaa_gomezx3",0.0172379095458022
1,"nite",0.0172379095243141
1,"x",0.0172379094001479
1,"new",0.0172379091759368
1,"ashelylaneil",0.0172378802870289
1,"boyfriend",0.0114919396972014
1,"fun",0.0114919396972014
1,"bro",0.0114919396972014
1,"futurethepoet",0.0114919396972014
1,"home",0.0114919396972014
1,"going",0.0114919396972014
1,"miss",0.0114919396972014
1,"tonight",0.0114919396972014
1,"joe",0.0114919396972014
1,"wilson",0.0114919396972014
1,"bad",0.0114919396972014
1,"go",0.0114919396972014
1,"sns",0.0114919396972014
1,"updates",0.0114919396972014
1,"lnk.ms",0.0114919396972014
2,"5f4dda",0.0400906422492698
2,"pic.gd",0.0375287992698571
2,"time",0.0334088685410582
2,"still",0.0334088685410582
2,"morning",0.0267270948328465
2,"ever",0.0266903064505347
2,"thank",0.0200453211246349
2,"car",0.0200453211246349
2,"need",0.0133635474164233
2,"work",0.0133635474164233
2,"guy",0.0133635474164233
2,"vampirenurse",0.0133635474164233
2,"beautiful",0.0133635474164233
2,"woman",0.0133635474164233
2,"check",0.0133635474164233
2,"tweetphoto",0.0133635474164233
2,"voted",0.0133635474164233
2,"figure",0.0133635474164233
2,"lucky",0.0133635474164233
2,"early",0.0133635474164233
2,"get",0.0133635474164233
2,"gorgeous",0.0133635474164233
2,"head",0.0133635474164233
2,"motivated",0.0133635474164233
2,"sunrise",0.0133635474164233
2,"wash",0.0133635474164233
2,"rwnj",0.0133635474164233
2,"live",0.0133635474164233
2,"last",0.0133635474164233
2,"2nd",0.0133635474164233
2,"jan",0.0133635474164233
3,"emibake5",0.0708214014619705
3,"great",0.0284363393289656
3,"yeah",0.0284356479997057
3,"need",0.0282028615353336
3,"think",0.0227490714631724
3,"know",0.022749071462366
3,"lol",0.0170618035973793
3,"dept",0.0113745357315862
3,"waffles",0.0113745357315862
3,"game",0.0113745357315862
3,"alike",0.0113745357315862
3,"bigdaddyzug",0.0113745357315862
3,"bubblesgalorecw",0.0113745357315862
3,"gonna",0.0113745357315862
3,"hell",0.0113745357315862
3,"im",0.0113745357315862
3,"minds",0.0113745357315862
3,"rt",0.0113745357315862
3,"thats",0.0113745357315862
3,"blacked",0.0113745357315862
3,"lions",0.0113745357315862
3,"pissed",0.0113745357315862
3,"tomorrow",0.0113745357315862
3,"buy",0.0113745357315862
3,"ceggs",0.0113745357315862
3,"clean",0.0113745357315862
3,"free",0.0113745357315862
3,"tick",0.0113745357315862
3,"vacay",0.0113745357315862
3,"rainnwilson",0.0113745357315862
3,"sucks",0.0113745357315862
3,"punch",0.0113745357315862
3,"move",0.0113745357315862
3,"change",0.0113745357315862
3,"climate",0.0113745357315862
3,"conspiracy",0.0113745357315862
3,"deniers",0.0113745357315862
3,"scientists",0.0113745357315862
4,"can",0.0241157335573991
4,"like",0.0238157217859062
4,"guy",0.0180868001680494
4,"home",0.0180868001680494
4,"hooray",0.0180868001680494
4,"ebay",0.0120578667786996
4,"seller",0.0120578667786996
4,"rt",0.0120578667786996
4,"awesomeness",0.0120578667786996
4,"dominated",0.0120578667786996
4,"erickbailey",0.0120578667786996
4,"everyone",0.0120578667786996
4,"first",0.0120578667786996
4,"magic",0.0120578667786996
4,"say",0.0120578667786996
4,"thumbs",0.0120578667786996
4,"tournament",0.0120578667786996
4,"years",0.0120578667786996
4,"tomorrow",0.0120578667786996
4,"good",0.0120578667786996
4,"heading",0.0120578667786996
4,"saturday",0.0120578667786996
4,"tweet",0.0120578667786996
4,"ya'll",0.0120578667786996
4,"lmao",0.0120578667786996
4,"u",0.0120578667786996
4,"matthew",0.0120578667786996
4,"next",0.0120578667786996
4,"away",0.0120578667786996
4,"understand",0.0120578667786996
5,"show",0.0236971974541022
5,"taken",0.0177728980905767
5,"love",0.0177728980905767
5,"new",0.0177728980905767
5,"starts",0.0177728980905767
5,"well",0.0177728980905767
5,"cuz",0.0177728980905767
5,"cant",0.0177728833774979
5,"awesome",0.0146683992702886
5,"work",0.0118485987270511
5,"mjkep",0.0118485987270511
5,"nothing",0.0118485987270511
5,"sacred",0.0118485987270511
5,"sopoliticallyincorrect",0.0118485987270511
5,"true",0.0118485987270511
5,"check",0.0118485987270511
5,"buy",0.0118485987270511
5,"ceggs",0.0118485987270511
5,"following",0.0118485987270511
5,"josh_biggs",0.0118485987270511
5,"ticket",0.0118485987270511
5,"via",0.0118485987270511
5,"way",0.0118485987270511
5,"sleep",0.0118485987270511
5,"house",0.0118485987270511
5,"real",0.0118485987270511
5,"mindykaling",0.0118485987270511
5,"matthew",0.0118485987270511
5,"lot",0.0118485987270511
5,"stuff",0.0118485987270511
5,"class",0.0118485987270511
5,"pics",0.0118485987270511
5,"go",0.0118485987270511
5,"pretty",0.0118485987270511
5,"amazing",0.0118485987270511
5,"added",0.0118485987270511
6,"good",0.0432891892937943
6,"chrisman83",0.0432891892937943
6,"rt",0.0309208491001268
6,"night",0.0309206549759588
6,"emibake5",0.0281217532363775
6,"flint",0.0247366795964539
6,"top",0.0185525096973404
6,"today",0.0185525096969877
6,"jenniferlove",0.0136012576517566
6,"great",0.012368339798227
6,"just",0.012368339798227
6,"deserving",0.012368339798227
6,"farmers",0.012368339798227
6,"market",0.012368339798227
6,"notch",0.012368339798227
6,"powerbill5000",0.012368339798227
6,"setup",0.012368339798227
6,"title",0.012368339798227
6,"yessir",0.012368339798227
6,"meh",0.012368339798227
6,"15au4i",0.012368339798227
6,"american",0.012368339798227
6,"article",0.012368339798227
6,"chicagoilrss",0.012368339798227
6,"crossroads",0.012368339798227
6,"frowniegirlrt",0.012368339798227
6,"nature",0.012368339798227
6,"rock",0.012368339798227
6,"solid",0.012368339798227
6,"want",0.012368339798227
7,"just",0.0595410096398253
