"topic","term","beta"
1,"ha",0.243355459091858
1,"scd",0.0416855584114771
1,"paramore",0.0187196506993737
1,"fookin",0.0187196506993737
1,"prick",0.0187196506993737
1,"rio",0.0187196506993737
1,"baby",0.0187196506993737
1,"new",0.0187196506993737
1,"lnk.ms",0.0187196506993737
1,"fantastic",0.0187196506993737
2,"lnk.ms",0.0735089381185686
2,"scd",0.0462581419804151
2,"oh",0.0362337210853711
2,"good",0.0289406912030031
2,"morning",0.0220526814365973
2,"please",0.0220526814365973
2,"work",0.0220526814365973
2,"months",0.0220526814365972
2,"going",0.0220526814266876
2,"back",0.0147017876243982
2,"m",0.0147017876243982
2,"sleep",0.0147017876243982
2,"western",0.0147017876243982
2,"world",0.0147017876243982
2,"alesha",0.0147017876243982
2,"agree",0.0147017876243982
2,"bruce",0.0147017876243982
3,"school",0.0510967540736375
3,"today",0.0452310844947624
3,"weston",0.0301540563747255
3,"get",0.0301540563746048
3,"place",0.0226155422810441
3,"god",0.0226155422810441
3,"thank",0.0226155422810441
3,"ugh",0.0226155422810441
3,"apps",0.0226155422810441
3,"bio",0.0226155422810441
3,"comp",0.0226155422810441
3,"great",0.0226155422810441
4,"tinychat.com",0.194415415158044
4,"video",0.142570387852163
4,"chat",0.129610276772029
4,"dofat676",0.129610276772029
4,"just",0.0648051383860146
4,"joined",0.0648051383860146
4,"make",0.0648051383860146
4,"tinychat",0.0648051383860146
4,"claretbluemod",0.0139619420603432
4,"watched",0.0139618987221823
5,"day",0.0636381879795245
5,"just",0.0363646788454426
5,"acts",0.0272735091340819
5,"waking",0.0272448408843954
5,"think",0.0181823394227213
5,"class",0.0181823394227213
5,"hanson",0.0181823394227213
5,"lawrro",0.0181823394227213
5,"match",0.0181823394227213
5,"people",0.0181823394227213
5,"miss",0.0181823394227213
5,"one",0.0181823394227213
6,"lol",0.0788899557583499
6,"o",0.0631144662855571
6,"adamwalkerx",0.0473358497141678
6,"still",0.0315572331427785
6,"cause",0.0315572331427785
6,"much",0.0315572331427785
6,"start",0.0236679248570839
6,"yeah",0.0236679248570839
6,"bloody",0.0157786165713893
6,"aberdeen",0.0157786165713893
6,"soon",0.0157786165713893
6,"andyoxon",0.0157786165713893
6,"love",0.0157786165713893
6,"though",0.0157786165713893
6,"film",0.0157786165713893
6,"songs",0.0157786165713893
6,"supposed",0.0157786165713893
6,"think",0.0157786165713893
6,"dvd",0.0157786165713893
6,"might",0.0157786165713893
6,"today",0.0157786165713893
6,"watch",0.0157786165713893
6,"worn",0.0157786165713893
6,"city",0.0157786165713893
6,"win",0.0157786165713893
6,"brilliant",0.0157786165713893
6,"football",0.0157786165713893
6,"quadropehnia",0.0157786165713893
6,"sunday",0.0157786165713893
6,"thinking",0.0157786165713893
6,"bet",0.0157786165713893
6,"like",0.0157786165713893
6,"6days",0.0157786165713893
6,"back",0.0157786165713893
6,"get",0.0157786165713893
6,"holiday",0.0157786165713893
6,"kickboxing",0.0157786165713893
6,"obsessed",0.0157786165713893
6,"sticking",0.0157786165713893
6,"week",0.0157786165713893
7,"sure",0.0427989770548863
7,"stuff",0.0356658142124052
7,"raraboo",0.0285326513699242
7,"something",0.0285326513699242
7,"well",0.0280471034934649
7,"read",0.0213994885274431
7,"cause",0.0213994885274431
7,"just",0.0213994885274431
7,"see",0.0213994885274431
7,"lovely",0.0213994885274431
7,"done",0.0213994885274431
7,"going",0.0213994885274431
7,"now",0.0213994885274431
8,"time",0.0312500000333913
8,"look",0.0234375000250435
8,"just",0.0234375000250435
8,"got",0.0234375000250435
8,"tomorrow",0.0234374989565212
8,"u",0.0156250000166957
8,"o",0.0156250000166957
8,"andyoxon",0.0156250000166957
8,"see",0.0156250000166957
8,"expect",0.0156250000166957
8,"info",0.0156250000166957
8,"soft",0.0156250000166957
8,"get",0.0156250000166957
8,"fookin",0.0156250000166957
8,"6mins",0.0156250000166957
8,"extra",0.0156250000166957
8,"fook",0.0156250000166957
8,"hate",0.0156250000166957
8,"man",0.0156250000166957
8,"michael",0.0156250000166957
8,"owen",0.0156250000166957
8,"typical",0.0156250000166957
8,"ever",0.0156250000166957
8,"brown",0.0156250000166957
8,"derren",0.0156250000166957
8,"green",0.0156250000166957
9,"love",0.0986618219856628
9,"raraboo",0.0657612711814831
9,"bloody",0.0438496986606903
9,"quadrophenia",0.0438496986606903
9,"big",0.0328872739955177
9,"day",0.0328872739955177
9,"school",0.0243574816077772
9,"mod",0.0219248493303452
9,"boys",0.0219248493303452
9,"darlo",0.0219248493303452
9,"live",0.0219248493303452
9,"london",0.0219248493303452
9,"manchester",0.0219248493303452
9,"places",0.0219248493303452
9,"scenes",0.0219248493303452
9,"scooter",0.0219248493303452
9,"snap",0.0219248493303452
9,"loves",0.0219248493303452
9,"beautiful",0.0219248493303452
9,"loud",0.0219248493303452
9,"soundtrack",0.0219248493303452
9,"tidying",0.0219248493303452
9,"weston",0.0219248493303452
9,"wedding",0.0219248493303452
