"topic","term","beta"
1,"blessings",0.117646819901508
1,"lord",0.117646819901508
1,"thanking",0.117646819901508
1,"us",0.117646819901508
1,"please",0.0588234099507542
1,"boswell",0.0588234099507542
1,"donna",0.0588234099507542
1,"friend",0.0588234099507542
1,"hello",0.0588234099507542
1,"rabbit",0.0588234099507542
1,"tell",0.0588234099507542
1,"therealpickler",0.0588234099507542
1,"vernon",0.0588234099507542
2,"vacation",0.12
2,"loving",0.0799999999999997
2,"nqc",0.0799999999999997
2,"tonight",0.0799999999999997
2,"day",0.0399999999999999
2,"god",0.0399999999999999
2,"us",0.0399999999999999
2,"woooohoooo",0.0399999999999999
2,"good",0.0399999999999999
2,"home",0.0399999999999999
2,"two",0.0399999999999999
2,"ky",0.0399999999999999
2,"louisville",0.0399999999999999
2,"networking",0.0399999999999999
2,"ready",0.0399999999999999
2,"week",0.0399999999999999
2,"brought",0.0399999999999999
2,"greenes",0.0399999999999999
2,"house",0.0399999999999999
2,"moving",0.0399999999999999
3,"pray",0.0606060606060606
3,"day",0.0606060606060606
3,"drummer",0.0606060606060606
3,"george",0.0606060606060606
3,"husband",0.0606060606060606
3,"sharon",0.0606060606060606
3,"sharon's",0.0606060606060606
3,"sister",0.0606060606060606
3,"away",0.0303030303030303
3,"battle",0.0303030303030303
3,"cancer",0.0303030303030303
3,"long",0.0303030303030303
3,"passed",0.0303030303030303
3,"boyt",0.0303030303030303
3,"passing",0.0303030303030303
3,"please",0.0303030303030303
3,"ronnie",0.0303030303030303
3,"date",0.0303030303030303
3,"every",0.0303030303030303
3,"families",0.0303030303030303
3,"felt",0.0303030303030303
3,"go",0.0303030303030303
3,"prayers",0.0303030303030303
3,"relive",0.0303030303030303
3,"thinking",0.0303030303030303
4,"life",0.133333333333333
4,"day",0.0666666666666667
4,"dash",0.0666666666666667
4,"matters",0.0666666666666667
4,"thing",0.0666666666666667
4,"walk",0.0666666666666667
4,"last",0.0666666666666667
4,"live",0.0666666666666667
4,"praying",0.0666666666666667
4,"flooded",0.0666666666666667
4,"sometimes",0.0666666666666667
4,"trust",0.0666666666666667
4,"understand",0.0666666666666667
4,"understanding",0.0666666666666667
5,"close",0.166666666666667
5,"ever",0.166666666666667
5,"get",0.166666666666667
5,"world",0.166666666666667
5,"christians",0.0833333333333333
5,"heaven",0.0833333333333333
5,"hell",0.0833333333333333
5,"sinners",0.0833333333333333
5,"always",3.72007597602084e-44
5,"sgma",3.72007597602084e-44
5,"dash",3.72007597602084e-44
5,"matters",3.72007597602084e-44
5,"thing",3.72007597602084e-44
5,"walk",3.72007597602084e-44
5,"d",3.72007597602084e-44
5,"even",3.72007597602084e-44
5,"feel",3.72007597602084e-44
5,"going",3.72007597602084e-44
5,"help",3.72007597602084e-44
5,"know",3.72007597602084e-44
5,"make",3.72007597602084e-44
5,"though",3.72007597602084e-44
5,"way",3.72007597602084e-44
5,"away",3.72007597602084e-44
5,"battle",3.72007597602084e-44
5,"cancer",3.72007597602084e-44
5,"drummer",3.72007597602084e-44
5,"george",3.72007597602084e-44
5,"husband",3.72007597602084e-44
5,"long",3.72007597602084e-44
5,"passed",3.72007597602084e-44
5,"sharon",3.72007597602084e-44
5,"sharon's",3.72007597602084e-44
5,"sister",3.72007597602084e-44
5,"best",3.72007597602084e-44
5,"dj's",3.72007597602084e-44
5,"guys",3.72007597602084e-44
5,"keeping",3.72007597602084e-44
5,"kevinandtaylor",3.72007597602084e-44
5,"radio",3.72007597602084e-44
5,"status",3.72007597602084e-44
5,"thanks",3.72007597602084e-44
5,"twitter",3.72007597602084e-44
5,"alot",3.72007597602084e-44
5,"can",3.72007597602084e-44
5,"family",3.72007597602084e-44
5,"friends",3.72007597602084e-44
5,"jesus",3.72007597602084e-44
5,"name",3.72007597602084e-44
5,"needs",3.72007597602084e-44
5,"someone",3.72007597602084e-44
5,"good",3.72007597602084e-44
5,"home",3.72007597602084e-44
5,"two",3.72007597602084e-44
5,"families",3.72007597602084e-44
5,"relive",3.72007597602084e-44
5,"karen",3.72007597602084e-44
5,"president",3.72007597602084e-44
5,"flooded",3.72007597602084e-44
5,"sometimes",3.72007597602084e-44
5,"trust",3.72007597602084e-44
5,"understand",3.72007597602084e-44
5,"understanding",3.72007597602084e-44
5,"boswell",3.72007597602084e-44
5,"donna",3.72007597602084e-44
5,"friend",3.72007597602084e-44
5,"hello",3.72007597602084e-44
5,"rabbit",3.72007597602084e-44
5,"tell",3.72007597602084e-44
5,"therealpickler",3.72007597602084e-44
5,"vernon",3.72007597602084e-44
6,"sgma",0.133333333333333
6,"today",0.0666666666666667
6,"nqc",0.0666666666666667
6,"1st",0.0666666666666667
6,"becoming",0.0666666666666667
6,"congrats",0.0666666666666667
6,"funny",0.0666666666666667
6,"game",0.0666666666666667
6,"karen",0.0666666666666667
6,"member",0.0666666666666667
6,"peck",0.0666666666666667
6,"president",0.0666666666666667
6,"softball",0.0666666666666667
6,"woman",0.0666666666666667
7,"today",0.157894736842101
7,"pray",0.105263157894737
7,"family",0.105263157894737
7,"friends",0.105263157894737
7,"praying",0.105263157894737
7,"help",0.0526315789473687
7,"know",0.0526315789473687
7,"alot",0.0526315789473687
7,"can",0.0526315789473687
7,"jesus",0.0526315789473687
7,"name",0.0526315789473687
7,"needs",0.0526315789473687
7,"someone",0.0526315789473687
8,"day",0.153846556422153
8,"great",0.153843912692968
8,"best",0.076923281209431
8,"dj's",0.076923281209431
8,"guys",0.076923281209431
8,"keeping",0.076923281209431
