"topic","term","beta"
1,"good",0.132815538935226
1,"amazing",0.0739371310169426
1,"gain",0.0739371310169426
1,"hurt",0.0739371310169426
1,"lunges",0.0739371310169426
1,"pain",0.0739371310169426
1,"results",0.0739371310169426
1,"squats",0.0739371310169426
1,"workout",0.0739371310169426
1,"people",0.0739371310169426
1,"safe",0.0739371310169426
1,"wonderful",0.0739371310169426
2,"morning",0.182094127215731
2,"good",0.13375841212534
2,"weekend",0.0771670365364408
2,"work",0.0606980424122489
2,"early",0.0606980424122489
2,"fam",0.0606980424122489
2,"ladyjua",0.0606980424122489
2,"djjaycee",0.0606980424122489
2,"hello",0.0606980424122489
2,"just",0.0606980424122489
2,"ok",0.0606980424122489
2,"leaving",0.0606980424122489
2,"now",0.0606980424122489
3,"morning",0.0769230769230769
3,"just",0.0769230769230769
3,"bit",0.0769230769230769
3,"boots",0.0769230769230769
3,"cap",0.0769230769230769
3,"cool",0.0769230769230769
3,"knit",0.0769230769230769
3,"know",0.0769230769230769
3,"lil",0.0769230769230769
3,"much",0.0769230769230769
3,"ok",0.0769230769230769
3,"saying",0.0769230769230769
3,"thigh",0.0769230769230769
4,"ladyjua",0.111111111111111
4,"well",0.111111111111111
4,"day",0.0555555555555556
4,"fam",0.0555555555555556
4,"great",0.0555555555555556
4,"done",0.0555555555555556
4,"eat",0.0555555555555556
4,"forget",0.0555555555555556
4,"get",0.0555555555555556
4,"going",0.0555555555555556
4,"gotta",0.0555555555555556
4,"hair",0.0555555555555556
4,"thanks",0.0555555555555556
4,"tomorrow",0.0555555555555556
4,"wo",0.0555555555555556
4,"enjoy",0.0555555555555556
5,"need",0.105263157894737
5,"really",0.105263157894737
5,"early",0.0526315789473684
5,"morning",0.0526315789473684
5,"vacation",0.0526315789473684
5,"babies",0.0526315789473684
5,"devin",0.0526315789473684
5,"growing",0.0526315789473684
5,"listening",0.0526315789473684
5,"read",0.0526315789473684
5,"wow",0.0526315789473684
5,"done",0.0526315789473684
5,"hair",0.0526315789473684
5,"appt",0.0526315789473684
5,"rain",0.0526315789473684
5,"stop",0.0526315789473684
5,"tonight",0.0526315789473684
6,"work",0.142857142857143
6,"day",0.0714285714285714
6,"go",0.0714285714285714
6,"1pm",0.0714285714285714
6,"days",0.0714285714285714
6,"every",0.0714285714285714
6,"forward",0.0714285714285714
6,"friday",0.0714285714285714
6,"getting",0.0714285714285714
6,"look",0.0714285714285714
6,"still",0.0714285714285714
6,"week",0.0714285714285714
6,"works",0.0714285714285714
7,"work",0.0588235294117647
7,"night",0.0588235294117647
7,"go",0.0588235294117647
7,"really",0.0588235294117647
7,"get",0.0588235294117647
7,"going",0.0588235294117647
7,"back",0.0588235294117647
7,"charger",0.0588235294117647
7,"forgot",0.0588235294117647
7,"long",0.0588235294117647
7,"omg",0.0588235294117647
7,"lmbo",0.0588235294117647
7,"ninabrown",0.0588235294117647
7,"sophia",0.0588235294117647
7,"spohia",0.0588235294117647
7,"thinks",0.0588235294117647
7,"woman",0.0588235294117647
8,"make",0.125
8,"day",0.0833333333333333
8,"good",0.0833333333333333
8,"morning",0.0833333333333333
8,"rise",0.0833333333333333
8,"shine",0.0833333333333333
8,"today",0.0833333333333333
8,"great",0.0416666666666667
8,"another",0.0416666666666667
8,"hello",0.0416666666666667
8,"just",0.0416666666666667
8,"might",0.0416666666666667
8,"say",0.0416666666666667
8,"smile",0.0416666666666667
8,"someone",0.0416666666666667
8,"something",0.0416666666666667
9,"night",0.25
9,"good",0.125
9,"nighty",0.0625
9,"go",0.0625
9,"middle",0.0625
9,"folks",0.0625
9,"bedtime",0.0625
9,"call",0.0625
9,"past",0.0625
9,"quits",0.0625
9,"time",0.0625
9,"way",0.0625
