"topic","term","beta"
1,"prison",0.030479561123685
1,"michigan",0.0216990000684269
1,"great",0.0182877366738905
1,"celebration",0.0152397805618425
1,"wine",0.015147172858571
1,"yard",0.012191824449474
1,"inmates",0.012191824449474
1,"disturbance",0.012191824449474
1,"ends",0.012191824449474
1,"violence",0.012191824449474
1,"without",0.012191824449474
2,"blogged",0.0569180274166899
2,"tinyurl.com",0.0569178540730193
2,"fan",0.0288382754578598
2,"facebook",0.0262166140525998
2,"new",0.0209732912420798
2,"page",0.0209732912420798
2,"group",0.0209732912420798
2,"rt",0.0157299684315599
2,"thanks",0.0131083070262999
2,"become",0.0131083070262999
3,"via",0.0417376435294186
3,"college",0.0304821302863655
3,"students",0.0304821302863655
3,"thanks",0.0190513314289784
3,"budget",0.0152410651431827
3,"others",0.0152410651431827
3,"debate",0.0152410651431827
3,"mich",0.0152410651431827
3,"watch",0.0152410651431827
3,"wordpress",0.0152410651431827
4,"michigan's",0.022824022609986
4,"says",0.022824022609986
4,"haha",0.022824022609986
4,"report",0.022824022609745
4,"census",0.0228240226093284
4,"new",0.015216015073324
4,"budget",0.015216015073324
4,"state",0.015216015073324
4,"good",0.015216015073324
4,"4dfyto",0.015216015073324
4,"deer",0.015216015073324
4,"department",0.015216015073324
4,"dnr",0.015216015073324
4,"hunting",0.015216015073324
4,"natural",0.015216015073324
4,"patrol",0.015216015073324
4,"pi",0.015216015073324
4,"pig",0.015216015073324
4,"recruiting",0.015216015073324
4,"resources",0.015216015073324
4,"shoot",0.015216015073324
4,"patrick",0.015216015073324
4,"v_train",0.015216015073324
5,"nwmi",0.0435276057221076
5,"ow.ly",0.0419029635732015
5,"recycling",0.0203128890546872
5,"time",0.0203126090305605
5,"today",0.0145092064676337
5,"rt",0.0145092064676337
5,"reuse",0.0145092057008213
5,"announces",0.011607365174107
5,"field",0.011607365174107
5,"fni",0.011607365174107
5,"money",0.011607365174107
5,"great",0.011607365174107
5,"engine",0.011607365174107
6,"social",0.0260709609747705
6,"media",0.0195532200245291
6,"rt",0.0162943506093041
6,"dejonge",0.0130354804874433
6,"ready",0.0130354804874433
6,"link",0.0130354804874433
6,"blackmagic",0.0130354804874433
6,"computers",0.0130354804874433
6,"retwt.me",0.0130354804874433
6,"tweetmeme",0.0130354804874433
7,"club",0.0222229991774609
7,"year",0.0222229991774608
7,"old",0.0185191659812174
7,"county",0.0148153327849739
7,"economic",0.0148153327849739
7,"marquette",0.0148153327849739
7,"16,000",0.0148153327849739
7,"dune",0.0148153327849739
7,"sand",0.0148153327849739
7,"monday",0.0148153327849739
7,"andybeal",0.0148153327849739
8,"cherry",0.0582898726817704
8,"chocolate",0.0308593443609373
8,"covered",0.0274305283208331
8,"samples",0.0274305283208331
8,"salsa",0.0205728962406249
8,"butter",0.0205728962406249
8,"coffee",0.0205598013382773
8,"new",0.0141989523679714
8,"benefits",0.0137152641604166
8,"unemployment",0.0137152641604166
8,"funny",0.0137152641604166
8,"is.gd",0.0137152641604166
8,"part",0.0137152641604166
8,"tune",0.0137152641604166
8,"cherries",0.0137152641604166
8,"today's",0.0137152641604166
9,"new",0.0330787895347812
9,"ow.ly",0.0234864660647352
9,"tinyurl.com",0.0211022389215645
9,"blogged",0.0211020170758607
9,"week",0.0167760471890966
9,"google",0.0167760471890966
9,"can",0.0167760471890966
9,"lunch",0.0134208377512773
9,"recycle",0.0134208377512773
9,"searching",0.0134208377512773
