"topic","term","beta"
1,"colorless_world",0.0183784790102406
1,"going",0.0137838592576805
1,"crazy",0.0137838592576805
1,"hate",0.0137838592576805
1,"well",0.0137838592576805
1,"now",0.0137838592576805
1,"diana's",0.0137838592576805
1,"good",0.0137671414028632
1,"like",0.00918923950512032
1,"9am",0.00918923950512032
1,"eats",0.00918923950512032
1,"day",0.00918923950512032
1,"oh",0.00918923950512032
1,"know",0.00918923950512032
1,"next",0.00918923950512032
1,"sounds",0.00918923950512032
1,"just",0.00918923950512032
1,"fullsailor",0.00918923950512032
1,"check",0.00918923950512032
1,"back",0.00918923950512032
1,"yea",0.00918923950512032
1,"hey",0.00918923950512032
1,"yes",0.00918923950512032
1,"hours",0.00918923950512032
1,"yay",0.00918923950512032
1,"festival",0.00918923950512032
1,"film",0.00918923950512032
1,"shoot",0.00918923950512032
1,"past",0.00918923950512032
1,"troubledproduce",0.00918923950512032
1,"years",0.00918923950512032
1,"jessespeelman",0.00918923950512032
1,"photos",0.00918923950512032
1,"shot",0.00918923950512032
1,"www.flickr.com",0.00918923950512032
1,"global",0.00918923950512032
1,"peace",0.00918923950512032
1,"headed",0.00918923950512032
1,"speech",0.00918923950512032
1,"susu44",0.00918923950512032
2,"just",0.0152292113836446
2,"new",0.0152292113836446
2,"nap",0.0152292113836446
2,"time",0.0101528075890964
2,"week",0.0101528075890964
2,"awesome",0.0101528075890964
2,"sweet",0.0101528075890964
2,"love",0.0101528075890964
2,"ever",0.0101528075890964
2,"full",0.0101528075890964
2,"sail",0.0101528075890964
2,"tinyurl.com",0.0101528075890964
2,"office",0.0101528075890964
2,"volunteer",0.0101528075890964
2,"around",0.0101528075890964
2,"every",0.0101528075890964
2,"get",0.0101528075890964
2,"true",0.0101528075890964
2,"vmas",0.0101528075890964
2,"kanye",0.0101528075890964
2,"indeed",0.0101528075890964
2,"take",0.0101528075890964
3,"omg",0.0242828013947789
3,"just",0.0242828013947789
3,"patrick",0.0182121010460842
3,"west",0.0182115697525366
3,"kanye",0.0142701758178004
3,"death",0.0121414006973895
3,"rt",0.0121414006973895
3,"boredom",0.0121414006973895
3,"good",0.0121414006973895
3,"long",0.0121414006973895
3,"new",0.0121414006973895
3,"really",0.0121414006973895
3,"live",0.0121414006973895
3,"say",0.0121414006973895
3,"can",0.0121414006973895
3,"green",0.0121414006973895
3,"watching",0.0121414006973895
3,"chris",0.0121414006973895
3,"hilarious",0.0121414006973895
3,"swayze",0.0121414006973895
3,"tv",0.0121414006973895
3,"lifetime",0.0121414006973895
4,"work",0.0345761096790068
4,"time",0.0199571604430723
4,"space",0.0149678703323042
4,"twitpic.com",0.0149678703323042
4,"rt",0.0149678703323042
4,"tomorrow",0.0149678703323042
4,"class",0.0149678703323042
4,"knew",0.0149678703323042
4,"want",0.0130957769495315
4,"even",0.0120911182640729
5,"get",0.0229180695616465
5,"going",0.0183344556493172
5,"u",0.0183344556493172
5,"home",0.0183344556292852
5,"like",0.0137508417369879
5,"people",0.0137508417369879
5,"can",0.0137508417369879
5,"senior",0.0137508417369879
5,"taking",0.0137508417369879
5,"even",0.0118100046693125
6,"pm",0.0584407948473601
6,"bach",0.0466059475529471
6,"winter",0.0350644769084161
6,"come",0.0292203974236801
6,"festival",0.0292203974236801
6,"society",0.0292203974236801
6,"park",0.017532238454208
6,"mskathy",0.017532238454208
6,"b",0.011688158969472
6,"way",0.011688158969472
6,"saturday",0.011688158969472
6,"friday",0.011688158969472
6,"think",0.011688158969472
7,"movie",0.0419161900207696
7,"go",0.0239515752306503
7,"study",0.0179640814374727
7,"rt",0.0179640814374727
7,"img182",0.0119760542916485
7,"woot",0.0119760542916485
7,"day",0.0119760542916485
7,"yeah",0.0119760542916485
7,"well",0.0119760542916485
7,"dead",0.0119760542916485
7,"gotta",0.0119760542916485
7,"award",0.0119760542916485
7,"cd",0.0119760542916485
7,"won",0.0119760542916485
7,"see",0.0119760542916485
7,"hell",0.0119760542916485
7,"end",0.0119760542916485
7,"something",0.0119760542916485
7,"dymongoose",0.0119760542916485
7,"tonight",0.0119760542916485
7,"kids",0.0119760542916485
8,"going",0.019417467818496
8,"happy",0.014563100863872
8,"beta",0.014563100863872
8,"frankenmuth",0.014563100863872
8,"always",0.00970873390924797
8,"clean",0.00970873390924797
8,"house",0.00970873390924797
8,"know",0.00970873390924797
8,"best",0.00970873390924797
8,"right",0.00970873390924797
8,"coming",0.00970873390924797
8,"got",0.00970873390924797
8,"family",0.00970873390924797
8,"jpjaramillo",0.00970873390924797
8,"much",0.00970873390924797
8,"closed",0.00970873390924797
8,"home",0.00970873390924797
8,"came",0.00970873390924797
8,"open",0.00970873390924797
8,"used",0.00970873390924797
8,"yfrog.com",0.00970873390924797
8,"lharv89",0.00970873390924797
8,"tonight",0.00970873390924797
8,"boca",0.00970873390924797
8,"now",0.00970873390924797
8,"aerogare",0.00970873390924797
8,"plus",0.00970873390924797
9,"lol",0.0333467594978618
9,"shit",0.0222311729986168
9,"lokillz",0.0222311729986168
9,"student",0.0166733797489626
9,"tix",0.0166733797489626
9,"rt",0.0111155864993084
9,"yeah",0.0111155864993084
9,"people",0.0111155864993084
9,"miss",0.0111155864993084
9,"just",0.0111155864993084
9,"believe",0.0111155864993084
9,"question",0.0111155864993084
9,"school",0.0111155864993084
9,"taken",0.0111155864993084
9,"thing",0.0111155864993084
9,"jerk",0.0111155864993084
9,"michael_g_1028",0.0111155864993084
9,"gud",0.0111155864993084
