"topic","term","beta"
1,"code",0.0565014862067994
1,"tinyurl.com",0.0478089498672918
1,"voucher",0.0456358157824149
1,"free",0.0173735308305207
1,"vodafone",0.0152119385941383
1,"see",0.0123474215245277
1,"orders",0.0108656704243845
1,"camera",0.0108656704243845
1,"contracts",0.0108656704243845
1,"mobile",0.0108656704243845
1,"month",0.0108656704243845
1,"qosntl",0.0108656704243845
1,"underwater",0.0108656704243845
2,"just",0.0271756744165159
2,"taking",0.011133721990684
2,"wow",0.00890697759254718
2,"twitter",0.00890697759254718
2,"can",0.00890697759254718
2,"sure",0.00890697759254718
2,"tchee",0.00890697759254717
2,"great",0.00890697759254082
2,"probably",0.00890697759241172
2,"yeah",0.00821954006127124
3,"like",0.0243186027349548
3,"yes",0.0157199563548785
3,"though",0.0135884704460354
3,"back",0.0133779992784814
3,"x",0.0117898702177253
3,"freshers",0.0117804810932727
3,"nice",0.0117408604437346
3,"got",0.0105720279168885
3,"go",0.0103397563041314
3,"well",0.00875900162028054
4,"now",0.0187651334093272
4,"love",0.0183402512173572
4,"going",0.0136346956731886
4,"go",0.0125100889395515
4,"get",0.0125100875986871
4,"got",0.0104250741162929
4,"x",0.008733017227419
4,"team",0.00834005929303433
4,"like",0.00834005929303433
4,"just",0.00834005929303433
4,"haha",0.00834005929303433
4,"mua2",0.00834005929303433
5,"d",0.0288978107771234
5,"good",0.0154121919074354
5,"oh",0.013485667919006
5,"xfactor",0.013485667919006
5,"cant",0.0115591439305766
5,"team",0.00963261994214712
5,"lol",0.00963261994214653
5,"damn",0.00963261993836629
5,"rt",0.00963261872607152
5,"tonight",0.00897156082411434
6,"day",0.0250254354821615
6,"think",0.0136105424615555
6,"still",0.011808427486292
6,"one",0.01103104552261
6,"tonight",0.00984035623857665
6,"via",0.00984035623789547
6,"ace",0.00787228499086132
6,"tv",0.00787228499086132
6,"left",0.00787228499086132
6,"thanks",0.00787228499086132
6,"kellej36",0.00787228499086132
7,"rt",0.0358333513289736
7,"just",0.0127079738321398
7,"twitter",0.0115046574567986
7,"lilyjang",0.0101704447975812
7,"times",0.010170444797556
7,"people",0.0101655225158675
7,"can",0.0085445823085906
7,"bad",0.00813635583806499
7,"old",0.00813635583806499
7,"must",0.00813635583806497
8,"get",0.033751553484668
8,"new",0.0295372630774778
8,"fat",0.0158831284779174
8,"can",0.0118217503006941
8,"brown",0.0114035462043304
8,"today",0.0105937363687522
8,"just",0.00818800072112604
8,"go",0.00796413746537825
8,"google",0.0079415642389587
8,"want",0.0079415642389587
8,"revolution",0.0079415642389587
8,"website",0.0079415642389587
9,"like",0.0155929270085212
9,"hope",0.0124288190740416
9,"working",0.0103562226413911
9,"last",0.0103314676272196
9,"oh",0.010253507497453
9,"never",0.0101838835749914
9,"just",0.0101634383641488
9,"time",0.00999152982280813
9,"good",0.00828587938269438
9,"maybe",0.00828587938269438
9,"choppersgiirl",0.00828587938269438
9,"zoe",0.00828587938269438
