"topic","term","beta"
1,"ijustine",0.127272190338811
1,"vma",0.109090450906868
1,"night",0.0454543545445282
1,"best",0.0363634836356226
1,"blog",0.0181817418178113
1,"blogging",0.0181817418178113
1,"start",0.0181817418178113
1,"website",0.0181817418178113
1,"whats",0.0181817418178113
1,"season",0.0181817418178113
2,"good",0.0342465753424655
2,"know",0.0273972602739726
2,"awesome",0.0273972602739726
2,"get",0.0136986301369863
2,"love",0.0136986301369863
2,"just",0.0136986301369863
2,"tons",0.0136986301369863
2,"even",0.0136986301369863
2,"frommetoyou",0.0136986301369863
2,"foot",0.0136986301369863
2,"giving",0.0136986301369863
2,"lol",0.0136986301369863
2,"massage",0.0136986301369863
2,"morgan",0.0136986301369863
2,"course",0.0136986301369863
2,"crying",0.0136986301369863
2,"lot",0.0136986301369863
2,"u's",0.0136986301369863
2,"cherokee",0.0136986301369863
2,"please",0.0136986301369863
2,"thomas",0.0136986301369863
2,"life",0.0136986301369863
2,"makes",0.0136986301369863
3,"go",0.0441185835979138
3,"today",0.0367654863315966
3,"day",0.0294123890652773
3,"caseyemilia",0.0294102916369121
3,"bad",0.0293860585392418
3,"schools",0.0147061945326386
3,"work",0.0147061945326386
3,"hang",0.0147061945326386
3,"wanna",0.0147061945326386
3,"house",0.0147061945326386
3,"see",0.0147061945326386
3,"now",0.0147061945326386
3,"patrick",0.0147061945326386
3,"swayze",0.0147061945326386
3,"deff",0.0147061945326386
3,"leona",0.0147061945326386
3,"upset",0.0147061945326386
3,"car",0.0147061945326386
3,"cant",0.0147061945326386
3,"leave",0.0147061945326386
3,"mood",0.0147061945326386
3,"parents",0.0147061945326386
3,"save",0.0147061945326386
3,"stuck",0.0147061945326386
3,"sucha",0.0147061945326386
3,"til",0.0147061945326386
3,"one",0.0147061945326386
3,"better",0.0147061945326386
3,"zolak",0.0147061945326386
4,"just",0.0379746409063289
4,"yeah",0.0151954256858376
4,"new",0.0151954256858376
4,"jchammer",0.0151954256858376
4,"mean",0.0151954256858376
4,"ur",0.0151954256858376
4,"lot",0.0151954256858376
4,"like",0.0151954256858376
4,"amazing",0.0151954256858376
4,"oh",0.0151954256858376
4,"thing",0.0151954256858376
4,"listening",0.0151954256858376
4,"music",0.0151954256858376
4,"food",0.0151954256858376
4,"mexican",0.0151954256858376
5,"get",0.0425531915239169
5,"back",0.0425531907118685
5,"just",0.0354609929365975
5,"schools",0.028368794349278
5,"work",0.028368794349278
5,"going",0.028368794349278
5,"school",0.028368794349278
5,"car",0.028368794349278
5,"cuz",0.0212765957619585
5,"today",0.014184397174639
5,"best",0.014184397174639
5,"elementry",0.014184397174639
5,"freshman",0.014184397174639
5,"help",0.014184397174639
5,"middle",0.014184397174639
5,"saw",0.014184397174639
5,"spiderweb",0.014184397174639
5,"world",0.014184397174639
5,"wow",0.014184397174639
5,"exhausted",0.014184397174639
5,"hope",0.014184397174639
5,"planned",0.014184397174639
5,"soo",0.014184397174639
5,"til",0.014184397174639
5,"8pm",0.014184397174639
5,"bored",0.014184397174639
5,"broke",0.014184397174639
5,"frommetoyou",0.014184397174639
5,"sister",0.014184397174639
5,"cereral",0.014184397174639
5,"dressed",0.014184397174639
5,"eating",0.014184397174639
5,"enough",0.014184397174639
5,"went",0.014184397174639
6,"lmao",0.0396808202458201
6,"tweeting",0.0317462098008133
6,"jennafleming",0.0317425409974682
6,"get",0.02380965735061
6,"clean",0.0158731049004067
6,"fun",0.0158731049004067
6,"think",0.0158731049004067
6,"tonight",0.0158731049004067
6,"vma's",0.0158731049004067
6,"old",0.0158731049004067
6,"year",0.0158731049004067
6,"new",0.0158731049004067
6,"brain",0.0158731049004067
6,"brendan",0.0158731049004067
6,"soup",0.0158731049004067
6,"used",0.0158731049004067
6,"whatevers",0.0158731049004067
6,"lol",0.0158731049004067
6,"dude",0.0158731049004067
6,"also",0.0158731049004067
6,"bribing",0.0158731049004067
6,"hehehehe",0.0158731049004067
6,"really",0.0158731049004067
6,"cereal",0.0158731049004067
6,"way",0.0158731049004067
6,"around",0.0158731049004067
7,"love",0.0642050874058997
7,"twitter",0.0456484419225922
7,"yeah",0.0304322946161575
7,"fun",0.0228242209621181
7,"guys",0.0228242209621181
7,"following",0.0152161473080787
7,"keep",0.0152161473080787
7,"least",0.0152161473080787
7,"leaving",0.0152161473080787
7,"now",0.0152161473080787
7,"well",0.0152161473080787
7,"help",0.0152161473080787
7,"just",0.0152161473080787
7,"great",0.0152161473080787
7,"lizsaes",0.0152161473080787
7,"belt",0.0152161473080787
7,"come",0.0152161473080787
7,"im",0.0152161473080787
7,"rt",0.0152161473080787
7,"rider",0.0152161473080787
7,"tomtom",0.0152161473080787
8,"andrea73088",0.119047129306941
8,"u",0.0833329905138946
8,"maybe",0.0357141387920822
8,"guys",0.0357141387920822
8,"can",0.0238094258613882
8,"get",0.0238094258613882
8,"haircut",0.0238094258613882
8,"jchammer",0.0238094258613882
8,"weeks",0.0238094258613882
8,"whore",0.0238094258342088
9,"know",0.0393872703838864
9,"summer",0.0315098163071091
9,"watching",0.0315098163071091
9,"say",0.0314989146276482
9,"ladda",0.0236323622303318
9,"home",0.0236323622303318
9,"got",0.0231639511221485
9,"weather",0.0157549081535545
9,"going",0.0157549081535545
9,"eat",0.0157549081535545
9,"guess",0.0157549081535545
9,"reading",0.0157549081535545
9,"keeping",0.0157549081535545
9,"____________________________________________________________",0.0157549081535545
9,"fuck",0.0157549081535545
9,"schoolllll",0.0157549081535545
9,"need",0.0157549081535545
9,"cloverfield",0.0157549081535545
