"topic","term","beta"
1,"boston",0.111111111111111
1,"ill",0.0555555555555556
1,"bryankenny",0.0555555555555556
1,"is.gd",0.0277777777777778
1,"aza",0.0277777777777778
1,"conference",0.0277777777777778
1,"ground",0.0277777777777778
1,"instead",0.0277777777777778
1,"lamp",0.0277777777777778
1,"lemurs",0.0277777777777778
1,"oregon",0.0277777777777778
1,"portland",0.0277777777777778
1,"shades",0.0277777777777778
1,"wear",0.0277777777777778
1,"hey",0.0277777777777778
1,"sweet",0.0277777777777778
1,"going",0.0277777777777778
1,"guy",0.0277777777777778
1,"heard",0.0277777777777778
1,"im",0.0277777777777778
1,"seeing",0.0277777777777778
1,"thesodaclub",0.0277777777777778
1,"easy",0.0277777777777778
1,"make",0.0277777777777778
1,"mikejuergens",0.0277777777777778
1,"oh",0.0277777777777778
1,"pretty",0.0277777777777778
1,"stop",0.0277777777777778
1,"3wkk2",0.0277777777777778
1,"give",0.0277777777777778
1,"logistics",0.0277777777777778
2,"big",0.0588235294117647
2,"george",0.0588235294117647
2,"ghincapie",0.0588235294117647
2,"hey",0.0588235294117647
2,"hire",0.0588235294117647
2,"next",0.0588235294117647
2,"work",0.0294117647058823
2,"nyc",0.0294117647058823
2,"real",0.0294117647058823
2,"secs",0.0294117647058823
2,"sorry",0.0294117647058823
2,"support",0.0294117647058823
2,"sympathy",0.0294117647058823
2,"congratulations",0.0294117647058823
2,"deserve",0.0294117647058823
2,"bot",0.0294117647058823
2,"hiremeee",0.0294117647058823
2,"like",0.0294117647058823
2,"shnoobles",0.0294117647058823
2,"sweet",0.0294117647058823
2,"kfbrad",0.0294117647058823
2,"haha",0.0294117647058823
2,"hopefully",0.0294117647058823
2,"time",0.0294117647058823
2,"invited",0.0294117647058823
2,"philmont",0.0294117647058823
2,"summer",0.0294117647058823
2,"sure",0.0294117647058823
3,"is.gd",0.0555555555555556
3,"today",0.0277777777777778
3,"year",0.0277777777777778
3,"congrats",0.0277777777777778
3,"daddy",0.0277777777777778
3,"go",0.0277777777777778
3,"impressive",0.0277777777777778
3,"lance",0.0277777777777778
3,"lancearmstrong",0.0277777777777778
3,"olds",0.0277777777777778
3,"ride",0.0277777777777778
3,"understand",0.0277777777777778
3,"yelling",0.0277777777777778
3,"kfbrad",0.0277777777777778
3,"8c",0.0277777777777778
3,"asked",0.0277777777777778
3,"car",0.0277777777777778
3,"damnit",0.0277777777777778
3,"didnt",0.0277777777777778
3,"haha",0.0277777777777778
3,"head",0.0277777777777778
3,"know",0.0277777777777778
3,"li",0.0277777777777778
3,"looks",0.0277777777777778
3,"nice",0.0277777777777778
3,"show",0.0277777777777778
3,"since",0.0277777777777778
3,"something",0.0277777777777778
3,"3whub",0.0277777777777778
3,"3whys",0.0277777777777778
3,"choes",0.0277777777777778
3,"cool",0.0277777777777778
3,"david",0.0277777777777778
3,"sketchbook",0.0277777777777778
3,"stuff",0.0277777777777778
4,"good",0.0714285714285714
4,"one",0.0357142857142857
4,"brink",0.0357142857142857
4,"day",0.0357142857142857
4,"last",0.0357142857142857
4,"trentanove",0.0357142857142857
4,"trentotto",0.0357142857142857
4,"bring",0.0357142857142857
4,"ready",0.0357142857142857
4,"weekend",0.0357142857142857
4,"cgc",0.0357142857142857
4,"deck",0.0357142857142857
4,"fiance",0.0357142857142857
4,"floor",0.0357142857142857
4,"glacier",0.0357142857142857
4,"just",0.0357142857142857
4,"kristina",0.0357142857142857
4,"lunch",0.0357142857142857
4,"much",0.0357142857142857
4,"pasty",0.0357142857142857
4,"tan",0.0357142857142857
4,"third",0.0357142857142857
4,"times",0.0357142857142857
4,"bradwiggins",0.0357142857142857
4,"fans",0.0357142857142857
4,"need",0.0357142857142857
4,"photos",0.0357142857142857
5,"chalkbot",0.0416666666666667
5,"fratelli",0.0416666666666667
5,"hearts",0.0416666666666667
5,"lives",0.0416666666666667
5,"livestrong",0.0416666666666667
5,"memory",0.0416666666666667
5,"tapogna",0.0416666666666667
5,"tjb",0.0416666666666667
5,"great",0.0416666666666667
5,"new",0.0416666666666667
5,"t",0.0416666666666667
5,"book",0.0416666666666667
5,"done",0.0416666666666667
5,"first",0.0416666666666667
5,"frogs",0.0416666666666667
5,"giant",0.0416666666666667
5,"haul",0.0416666666666667
5,"k'nex",0.0416666666666667
5,"part",0.0416666666666667
5,"party",0.0416666666666667
5,"set",0.0416666666666667
5,"solar",0.0416666666666667
5,"success",0.0416666666666667
5,"system",0.0416666666666667
6,"boston",0.0555555555555556
6,"nudge",0.0555555555555556
6,"wink",0.0555555555555556
6,"going",0.0555555555555556
6,"seen",0.0555555555555556
6,"weekend",0.0277777777777778
6,"might",0.0277777777777778
6,"im",0.0277777777777778
6,"awesome",0.0277777777777778
6,"ever",0.0277777777777778
6,"live",0.0277777777777778
6,"michaelbanovsky",0.0277777777777778
6,"tremendously",0.0277777777777778
6,"ghost",0.0277777777777778
6,"hunting",0.0277777777777778
6,"splay1898",0.0277777777777778
6,"ages",0.0277777777777778
6,"best",0.0277777777777778
6,"elizadushku",0.0277777777777778
6,"friends",0.0277777777777778
6,"hanging",0.0277777777777778
6,"havent",0.0277777777777778
6,"dropping",0.0277777777777778
6,"house",0.0277777777777778
6,"kfbrad",0.0277777777777778
6,"ones",0.0277777777777778
6,"hopefully",0.0277777777777778
6,"next",0.0277777777777778
6,"localmotors",0.0277777777777778
6,"try",0.0277777777777778
6,"visit",0.0277777777777778
7,"mobility_kill",0.05
7,"jersey",0.025
7,"jerseys",0.025
7,"leaders",0.025
7,"quickly",0.025
7,"can",0.025
7,"chance",0.025
7,"ciao",0.025
7,"explain",0.025
7,"new",0.025
7,"paul",0.025
7,"philliggett",0.025
7,"produced",0.025
7,"rider",0.025
7,"takes",0.025
7,"quilting",0.025
7,"lance",0.025
7,"good",0.025
7,"bronx",0.025
7,"might",0.025
7,"run",0.025
7,"stopped",0.025
7,"wild",0.025
7,"wondering",0.025
7,"zoo",0.025
7,"heeeehehehehehe",0.025
7,"i8juy",0.025
7,"kanyed",0.025
7,"twitpic.com",0.025
7,"amazing",0.025
7,"drhorrible",0.025
7,"emmy",0.025
7,"feliciaday",0.025
7,"interruption",0.025
7,"job",0.025
7,"nathanfillion",0.025
7,"fire",0.025
7,"must",0.025
7,"stones",0.025
8,"tricky",0.0555555555555556
8,"is.gd",0.0555555555555556
8,"back",0.0555555555555556
8,"metric",0.0555555555555556
8,"day",0.0277777777777778
8,"road",0.0277777777777778
8,"weekend",0.0277777777777778
8,"zoo",0.0277777777777778
8,"oregon",0.0277777777777778
8,"portland",0.0277777777777778
8,"chinese",0.0277777777777778
8,"garden",0.0277777777777778
8,"gig",0.0277777777777778
8,"place",0.0277777777777778
8,"relaxing",0.0277777777777778
8,"tomorrow",0.0277777777777778
8,"tough",0.0277777777777778
8,"3ql3f",0.0277777777777778
8,"muse",0.0277777777777778
8,"remix",0.0277777777777778
8,"sick",0.0277777777777778
8,"sweet",0.0277777777777778
