"topic","term","beta"
1,"shit",0.041505158520555
1,"darnfashionista",0.0415050578783873
1,"boring",0.0311288758143602
1,"radda",0.0311288758143602
1,"god",0.0207525838762402
1,"petit",0.0207525838762402
1,"ain't",0.0207525838762402
1,"1ayhaq",0.0207525838762402
1,"people",0.0207525838762402
1,"thing",0.0207525838762402
2,"la",0.0526315789473684
2,"fb",0.0394736842105263
2,"great",0.0263157894736842
2,"get",0.0263157894736842
2,"also",0.0263157894736842
2,"like",0.0263157894736842
2,"awards",0.0263157894736842
2,"button's",0.0263157894736842
2,"fantasticks",0.0263157894736842
2,"guys",0.0263157894736842
2,"mat",0.0263157894736842
2,"matt",0.0263157894736842
2,"represent'n",0.0263157894736842
2,"stephen",0.0263157894736842
2,"tracy",0.0263157894736842
2,"iamsinglebecause",0.0263157894736842
3,"rt",0.0500746902083726
3,"say",0.0400597521666981
3,"calls",0.0300448141250236
3,"marvel",0.020029876083349
3,"cash",0.020029876083349
3,"creation",0.020029876083349
3,"mean",0.020029876083349
3,"come",0.020029876083349
3,"vince_oday",0.020029876083349
3,"god",0.0100149380416745
3,"check",0.0100149380416745
3,"call",0.0100149380416745
3,"detained",0.0100149380416745
3,"evangelicals",0.0100149380416745
3,"humane",0.0100149380416745
3,"ice",0.0100149380416745
3,"immigrants",0.0100149380416745
3,"treatment",0.0100149380416745
3,"x7svf",0.0100149380416745
3,"dreadful",0.0100149380416745
3,"learing",0.0100149380416745
3,"mining",0.0100149380416745
3,"mountaintop",0.0100149380416745
3,"polluting",0.0100149380416745
3,"removal",0.0100149380416745
3,"water",0.0100149380416745
3,"www.stopmountaintopremoval.org",0.0100149380416745
3,"flourishonline.org",0.0100149380416745
3,"comic",0.0100149380416745
3,"deal",0.0100149380416745
3,"disney",0.0100149380416745
3,"dream",0.0100149380416745
3,"lee",0.0100149380416745
3,"legend",0.0100149380416745
3,"mouse",0.0100149380416745
3,"power",0.0100149380416745
3,"ricofig",0.0100149380416745
3,"stan",0.0100149380416745
3,"true",0.0100149380416745
3,"wdwfacts",0.0100149380416745
3,"us",0.0100149380416745
3,"better",0.0100149380416745
3,"clunkers",0.0100149380416745
3,"fridges",0.0100149380416745
3,"stqjt",0.0100149380416745
3,"worth",0.0100149380416745
3,"1qpwky",0.0100149380416745
3,"blackboards",0.0100149380416745
3,"environmentally",0.0100149380416745
3,"friendly",0.0100149380416745
3,"greennews",0.0100149380416745
3,"investigates",0.0100149380416745
3,"slate",0.0100149380416745
3,"whether",0.0100149380416745
3,"whiteboards",0.0100149380416745
3,"video",0.0100149380416745
3,"hello",0.0100149380416745
3,"killing",0.0100149380416745
3,"waiting",0.0100149380416745
3,"daughter",0.0100149380416745
3,"funny",0.0100149380416745
3,"girl",0.0100149380416745
3,"husband",0.0100149380416745
3,"oubad",0.0100149380416745
3,"lab",0.0100149380416745
3,"one",0.0100149380416745
3,"posted",0.0100149380416745
3,"valleygirl1976",0.0100149380416745
3,"winner",0.0100149380416745
3,"25fpqa",0.0100149380416745
3,"alliance",0.0100149380416745
3,"climate",0.0100149380416745
3,"education",0.0100149380416745
3,"nonprofit",0.0100149380416745
3,"nonprofitlife",0.0100149380416745
3,"words",0.0100149380416745
3,"around",0.0100149380416745
3,"branch",0.0100149380416745
3,"can",0.0100149380416745
3,"church",0.0100149380416745
3,"iamsinglebecause",0.0100149380416745
3,"bored",0.0100149380416745
3,"im",0.0100149380416745
3,"dudes",0.0100149380416745
4,"rt",0.0265423674248423
4,"clean",0.0265423674248423
4,"deadpool",0.0176949116165616
4,"goo",0.0176949116165616
4,"go",0.0176949116165616
4,"now",0.0176949116165616
4,"think",0.0176949116165616
4,"donniewahlberg",0.0176949116165616
4,"gwinnettarena",0.0176949116165616
4,"two",0.0176949116165616
4,"d",0.0176949116165616
5,"lol",0.0448125418543541
5,"rt",0.0268899037703295
5,"mongolia",0.0224062709271771
5,"magazine",0.0224062709271771
5,"pet",0.0224062709271771
5,"check",0.0224062709271771
5,"childvoice",0.0224062709271771
5,"live",0.0224062709271771
5,"uganda",0.0224062709271771
5,"ok",0.0224062709271771
6,"congrats",0.0503104916617803
6,"video",0.038793138767238
6,"today",0.0251552458308901
6,"going",0.0251552458308901
6,"suwanee",0.0167701638872601
6,"rt",0.0167701638872601
6,"great",0.0167701638872601
6,"twitter",0.0167701638872601
6,"run",0.0167701638872601
6,"donniewahlberg",0.0167701638872601
6,"saw",0.0167701638872601
6,"see",0.0167701638872601
6,"away",0.0167701638872601
7,"ga",0.050331579729342
7,"rt",0.0465978512135459
7,"printgreenusa",0.0303913057270346
7,"llcooldot",0.0217225888404552
7,"green",0.0202608704846897
7,"digg.com",0.0202608704846897
7,"t",0.0202608704846897
7,"suwanee",0.0202608704690749
7,"community",0.0202608704679238
7,"city_of_suwanee",0.0202608704608441
8,"fb",0.08096104846455
8,"love",0.05667273401377
8,"listening",0.04048052429555
8,"darnfashionista",0.03238441943644
8,"o.o",0.03238441943644
8,"just",0.027259814223482
8,"know",0.0226535923403967
8,"ha",0.01619220971822
8,"music",0.01619220971822
8,"good",0.01619220971822
8,"jonathanrknight",0.01619220971822
9,"great",0.0568181818181818
9,"coffee",0.0340909090909091
9,"suwanee",0.0227272727272727
9,"following",0.0227272727272727
9,"twitter",0.0227272727272727
9,"drink",0.0227272727272727
9,"good",0.0227272727272727
9,"www.landof1000hills.com",0.0227272727272727
9,"text",0.0227272727272727
9,"get",0.0113636363636364
9,"center",0.0113636363636364
9,"cinema",0.0113636363636364
9,"e",0.0113636363636364
9,"is.gd",0.0113636363636364
9,"park",0.0113636363636364
9,"pplr",0.0113636363636364
9,"read",0.0113636363636364
9,"recycling",0.0113636363636364
9,"saturday",0.0113636363636364
9,"town",0.0113636363636364
9,"u",0.0113636363636364
9,"waste",0.0113636363636364
9,"way",0.0113636363636364
9,"check",0.0113636363636364
9,"combination",0.0113636363636364
9,"hills",0.0113636363636364
9,"land",0.0113636363636364
9,"rwanda",0.0113636363636364
9,"work",0.0113636363636364
9,"promote",0.0113636363636364
9,"reconciliation",0.0113636363636364
9,"recovery",0.0113636363636364
9,"rwandan",0.0113636363636364
9,"donniewahlberg",0.0113636363636364
9,"missing",0.0113636363636364
9,"10fmdm",0.0113636363636364
9,"farm",0.0113636363636364
9,"launches",0.0113636363636364
9,"program",0.0113636363636364
9,"school",0.0113636363636364
9,"usda",0.0113636363636364
9,"see",0.0113636363636364
9,"b",0.0113636363636364
9,"follow",0.0113636363636364
9,"g'nite",0.0113636363636364
9,"job",0.0113636363636364
9,"mytwugs",0.0113636363636364
9,"picking",0.0113636363636364
9,"sending",0.0113636363636364
9,"winners",0.0113636363636364
9,"xoxo",0.0113636363636364
9,"last",0.0113636363636364
9,"fb",0.0113636363636364
9,"america",0.0113636363636364
9,"bennett",0.0113636363636364
9,"bill",0.0113636363636364
9,"e1mvi",0.0113636363636364
9,"history",0.0113636363636364
9,"hope",0.0113636363636364
9,"patriotic",0.0113636363636364
9,"billcorbett",0.0113636363636364
9,"cow",0.0113636363636364
9,"duh",0.0113636363636364
9,"seen",0.0113636363636364
9,"already",0.0113636363636364
9,"chuck",0.0113636363636364
9,"norris",0.0113636363636364
9,"acknowledge",0.0113636363636364
9,"isuck",0.0113636363636364
9,"mine",0.0113636363636364
9,"nuzpeg",0.0113636363636364
9,"peg",0.0113636363636364
9,"rewrite",0.0113636363636364
9,"since",0.0113636363636364
9,"message",0.0113636363636364
