"topic","term","beta"
1,"study",0.0617283950617284
1,"please",0.0246913580246913
1,"bible",0.0246913580246913
1,"guess",0.0246913580246913
1,"ay",0.0246913580246913
1,"boat",0.0246913580246913
1,"dios",0.0246913580246913
1,"mio",0.0246913580246913
1,"well",0.0246913580246913
1,"zach",0.0246913580246913
1,"costume",0.0246913580246913
2,"awful",0.0277777777777778
2,"nyg",0.0277777777777778
2,"went",0.0277777777777778
2,"new",0.0277777777777778
2,"school",0.0277777777777778
2,"today",0.0138888888888889
2,"just",0.0138888888888889
2,"awake",0.0138888888888889
2,"goonie1999",0.0138888888888889
2,"sleep",0.0138888888888889
2,"wide",0.0138888888888889
2,"great",0.0138888888888889
2,"interesting",0.0138888888888889
2,"best",0.0138888888888889
2,"math",0.0138888888888889
2,"rt",0.0138888888888889
2,"blog",0.0138888888888889
2,"design",0.0138888888888889
2,"interaction",0.0138888888888889
2,"j94k3",0.0138888888888889
2,"learned",0.0138888888888889
2,"smashingmag",0.0138888888888889
2,"things",0.0138888888888889
2,"say",0.0138888888888889
2,"travellingcari",0.0138888888888889
2,"well",0.0138888888888889
2,"faithful",0.0138888888888889
2,"forget",0.0138888888888889
2,"gig",0.0138888888888889
2,"hope",0.0138888888888889
2,"luck",0.0138888888888889
2,"opportunity",0.0138888888888889
2,"peteabe",0.0138888888888889
2,"ur",0.0138888888888889
2,"us",0.0138888888888889
2,"wanted",0.0138888888888889
2,"wish",0.0138888888888889
2,"yankee",0.0138888888888889
2,"win",0.0138888888888889
2,"curb",0.0138888888888889
2,"enthusiasm",0.0138888888888889
2,"minutes",0.0138888888888889
2,"2,233",0.0138888888888889
2,"canadian",0.0138888888888889
2,"cool",0.0138888888888889
2,"hometown",0.0138888888888889
2,"lg6ts",0.0138888888888889
2,"pop",0.0138888888888889
2,"section",0.0138888888888889
2,"sports",0.0138888888888889
2,"times",0.0138888888888889
2,"tx",0.0138888888888889
2,"york",0.0138888888888889
2,"barely",0.0138888888888889
2,"guy",0.0138888888888889
2,"lucky",0.0138888888888889
2,"muster",0.0138888888888889
2,"advertising",0.0138888888888889
2,"facebook",0.0138888888888889
2,"facebook.com",0.0138888888888889
2,"fan",0.0138888888888889
2,"finally",0.0138888888888889
2,"page",0.0138888888888889
2,"posted",0.0138888888888889
2,"sciences",0.0138888888888889
2,"signs",0.0138888888888889
2,"wbumathsci",0.0138888888888889
3,"going",0.0348837209302326
3,"time",0.0232558139534884
3,"house",0.0232558139534884
3,"reading",0.0232558139534884
3,"never",0.0116279069767442
3,"today",0.0116279069767442
3,"just",0.0116279069767442
3,"run",0.0116279069767442
3,"sleep",0.0116279069767442
3,"dull",0.0116279069767442
3,"friends",0.0116279069767442
3,"great",0.0116279069767442
3,"moment",0.0116279069767442
3,"raiders",0.0116279069767442
3,"red",0.0116279069767442
3,"won",0.0116279069767442
3,"yay",0.0116279069767442
3,"nothing",0.0116279069767442
3,"even",0.0116279069767442
3,"gets",0.0116279069767442
3,"hot",0.0116279069767442
3,"almost",0.0116279069767442
3,"dhaba",0.0116279069767442
3,"food",0.0116279069767442
3,"holds",0.0116279069767442
3,"indian",0.0116279069767442
3,"lunch",0.0116279069767442
3,"nyc",0.0116279069767442
3,"weather",0.0116279069767442
3,"always",0.0116279069767442
3,"breath",0.0116279069767442
3,"cs2",0.0116279069767442
3,"hold",0.0116279069767442
3,"illustrator",0.0116279069767442
3,"macbook",0.0116279069767442
3,"pro",0.0116279069767442
3,"restart",0.0116279069767442
3,"boards",0.0116279069767442
3,"freaking",0.0116279069767442
3,"morning",0.0116279069767442
3,"nervous",0.0116279069767442
3,"state",0.0116279069767442
3,"tomorrow",0.0116279069767442
3,"dressed",0.0116279069767442
3,"hours",0.0116279069767442
3,"problem",0.0116279069767442
3,"public",0.0116279069767442
3,"starving",0.0116279069767442
3,"straight",0.0116279069767442
3,"studying",0.0116279069767442
3,"banff_squirrel",0.0116279069767442
3,"canmorerabbit",0.0116279069767442
3,"following",0.0116279069767442
3,"rabbit",0.0116279069767442
3,"squirrel",0.0116279069767442
3,"tweets",0.0116279069767442
3,"catchphrase",0.0116279069767442
3,"developed",0.0116279069767442
3,"generator",0.0116279069767442
3,"hc06v",0.0116279069767442
3,"superhero",0.0116279069767442
3,"still",0.0116279069767442
3,"finally",0.0116279069767442
3,"cough",0.0116279069767442
3,"doctor",0.0116279069767442
3,"nasty",0.0116279069767442
3,"voice",0.0116279069767442
3,"whisper",0.0116279069767442
3,"buy",0.0116279069767442
3,"costumes",0.0116279069767442
3,"decor",0.0116279069767442
3,"earth",0.0116279069767442
3,"fall",0.0116279069767442
3,"god's",0.0116279069767442
3,"green",0.0116279069767442
3,"halloween",0.0116279069767442
3,"lubbock",0.0116279069767442
3,"road",0.0116279069767442
3,"robinson",0.0116279069767442
3,"saving",0.0116279069767442
3,"tri",0.0116279069767442
4,"game",0.0392856441696431
4,"time",0.0392856441696431
4,"need",0.0392856441696431
4,"floor",0.0261904294464288
4,"fans",0.0261904294464288
4,"think",0.0261904294464288
4,"now",0.0261904294464288
4,"work",0.0261904294464288
4,"year",0.0261904294464288
4,"room",0.0261904294464288
4,"hobby",0.0261904294464288
5,"today",0.0470519989711577
5,"got",0.0235259994855789
5,"7thwoman",0.0235259994855789
5,"fans",0.0117629997427894
5,"college",0.0117629997427894
5,"degree",0.0117629997427894
5,"graduated",0.0117629997427894
5,"mail",0.0117629997427894
5,"now",0.0117629997427894
