"topic","term","beta"
1,"rapids",0.137931034482759
1,"roanoke",0.137931034482759
1,"people",0.0689655172413793
1,"2kqebw",0.0344827586206896
1,"can",0.0344827586206896
1,"continue",0.0344827586206896
1,"long",0.0344827586206896
1,"remember",0.0344827586206896
1,"tradition",0.0344827586206896
1,"rodeo",0.0344827586206896
1,"3dnbct",0.0344827586206896
1,"anyone",0.0344827586206896
1,"clowns",0.0344827586206896
1,"goes",0.0344827586206896
1,"remembers",0.0344827586206896
1,"3rj8ut",0.0344827586206896
1,"jail",0.0344827586206896
1,"lands",0.0344827586206896
1,"shooting",0.0344827586206896
1,"street",0.0344827586206896
1,"two",0.0344827586206896
1,"whitaker",0.0344827586206896
2,"rapids",0.136363636363636
2,"roanoke",0.136363636363636
2,"board",0.0909090909090909
2,"education",0.0909090909090909
2,"2m8cab",0.0454545454545454
2,"finances",0.0454545454545454
2,"learned",0.0454545454545454
2,"meeting",0.0454545454545454
2,"night",0.0454545454545454
2,"state",0.0454545454545454
2,"tuesday",0.0454545454545454
2,"approved",0.0454545454545454
2,"architect",0.0454545454545454
2,"hiring",0.0454545454545454
2,"renovat",0.0454545454545454
2,"u1bqr",0.0454545454545454
3,"halifax",0.0416666666666667
3,"1sb4nk",0.0416666666666667
3,"anyt",0.0416666666666667
3,"believed",0.0416666666666667
3,"curiosity",0.0416666666666667
3,"depriest",0.0416666666666667
3,"drawer",0.0416666666666667
3,"just",0.0416666666666667
3,"karen",0.0416666666666667
3,"lead",0.0416666666666667
3,"never",0.0416666666666667
3,"opening",0.0416666666666667
3,"probably",0.0416666666666667
3,"14oid5",0.0416666666666667
3,"bright",0.0416666666666667
3,"bus",0.0416666666666667
3,"early",0.0416666666666667
3,"full",0.0416666666666667
3,"left",0.0416666666666667
3,"loaded",0.0416666666666667
3,"pickup",0.0416666666666667
3,"tour",0.0416666666666667
3,"truck",0.0416666666666667
3,"van",0.0416666666666667
4,"rapids",0.1
4,"roanoke",0.1
4,"halifax",0.05
4,"academy",0.05
4,"long",0.05
4,"coach",0.05
4,"discussing",0.05
4,"football",0.05
4,"luhs8",0.05
4,"rabbit",0.05
4,"right",0.05
4,"says",0.05
4,"things",0.05
4,"association",0.05
4,"international",0.05
4,"professional",0.05
4,"rodeo",0.05
4,"tbgzw",0.05
5,"rapids",0.032258064516129
5,"roanoke",0.032258064516129
5,"7yxwl",0.032258064516129
5,"course",0.032258064516129
5,"first",0.032258064516129
5,"hux",0.032258064516129
5,"main",0.032258064516129
5,"phil",0.032258064516129
5,"roan",0.032258064516129
5,"serve",0.032258064516129
5,"voluntarily",0.032258064516129
5,"causing",0.032258064516129
5,"economy",0.032258064516129
5,"high",0.032258064516129
5,"littleton",0.032258064516129
5,"rate",0.032258064516129
5,"slumping",0.032258064516129
5,"unemployment",0.032258064516129
5,"yseix",0.032258064516129
5,"1lpuc9",0.032258064516129
5,"cha",0.032258064516129
5,"children",0.032258064516129
5,"infants",0.032258064516129
5,"jackson",0.032258064516129
5,"oct",0.032258064516129
5,"participants",0.032258064516129
5,"program",0.032258064516129
5,"see",0.032258064516129
5,"starting",0.032258064516129
5,"wic",0.032258064516129
5,"women",0.032258064516129
6,"rapids",0.105263157894737
6,"roanoke",0.105263157894737
6,"team",0.0526315789473684
6,"volleyball",0.0526315789473684
6,"199tcz",0.0526315789473684
6,"able",0.0526315789473684
6,"annette",0.0526315789473684
6,"blanding",0.0526315789473684
6,"home",0.0526315789473684
6,"longtime",0.0526315789473684
6,"prayed",0.0526315789473684
6,"hour",0.0526315789473684
6,"lady",0.0526315789473684
6,"one",0.0526315789473684
6,"took",0.0526315789473684
6,"vikings",0.0526315789473684
6,"yag4u",0.0526315789473684
7,"annual",0.0714285714285714
7,"battsherald",0.0714285714285714
7,"bett",0.0714285714285714
7,"better",0.0714285714285714
7,"della",0.0714285714285714
7,"event",0.0714285714285714
7,"gets",0.0714285714285714
7,"great",0.0714285714285714
7,"iju1m",0.0714285714285714
7,"it’s",0.0714285714285714
7,"staff",0.0714285714285714
7,"thing",0.0714285714285714
7,"weldon",0.0714285714285714
7,"writer",0.0714285714285714
8,"rapids",0.08
8,"roanoke",0.08
8,"halifax",0.04
8,"academy",0.04
8,"fire",0.04
8,"fo",0.04
8,"hard",0.04
8,"intensity",0.04
8,"played",0.04
8,"sea2u",0.04
8,"team",0.04
8,"tenacity",0.04
8,"volleyball",0.04
8,"citizens",0.04
8,"don’t",0.04
8,"encounters",0.04
8,"fille",0.04
8,"friction",0.04
8,"go",0.04
8,"police",0.04
8,"skzip",0.04
8,"sometimes",0.04
8,"well",0.04
9,"halifax",0.0857142857142857
9,"year",0.0571428571428572
9,"looking",0.0571428571428572
9,"people",0.0285714285714286
9,"took",0.0285714285714286
9,"1658x3",0.0285714285714286
9,"ago",0.0285714285714286
9,"american",0.0285714285714286
9,"amok",0.0285714285714286
9,"chin",0.0285714285714286
9,"greed",0.0285714285714286
9,"market",0.0285714285714286
9,"run",0.0285714285714286
9,"spending",0.0285714285714286
9,"stock",0.0285714285714286
9,"3uzqfg",0.0285714285714286
9,"answer",0.0285714285714286
9,"fade",0.0285714285714286
9,"family",0.0285714285714286
9,"last",0.0285714285714286
9,"something",0.0285714285714286
9,"summer",0.0285714285714286
9,"t",0.0285714285714286
9,"vestiges",0.0285714285714286
9,"county",0.0285714285714286
9,"department",0.0285714285714286
9,"detective",0.0285714285714286
9,"old",0.0285714285714286
9,"runaway",0.0285714285714286
9,"sheriff’s",0.0285714285714286
9,"trozg",0.0285714285714286
