"topic","term","beta"
1,"lol",0.0556335480931352
1,"twitpic.com",0.0178280679576612
1,"just",0.0144730183191889
1,"fun",0.0131369927784538
1,"rt",0.0111622902079142
1,"happy",0.0110712706323876
1,"pic",0.0108380190422244
1,"take",0.00985266382942363
1,"memphis",0.00790552843303754
1,"birthday",0.00722504979296506
2,"memphis",0.0175368891115655
2,"rt",0.0168494157987432
2,"great",0.0160438495410601
2,"today",0.0122401940034984
2,"hall",0.010996809591112
2,"rain",0.0103603866883546
2,"get",0.0103411362484021
2,"check",0.00941316626711538
2,"miss",0.00881367654488935
2,"lfm",0.00864743117611718
3,"tonight",0.0226804161933724
3,"video",0.0125280653192223
3,"big",0.00944072579568955
3,"thank",0.00908519992884073
3,"like",0.0082038615496519
3,"going",0.00811778994536307
3,"make",0.00761043556577879
3,"now",0.00745417451518586
3,"new",0.00728019562604642
3,"city",0.00710424858012175
4,"u",0.0655271536459685
4,"get",0.0236183568544977
4,"much",0.0183933221156488
4,"rt",0.0146813396996358
4,"n",0.0126009678915082
4,"da",0.0120707914608611
4,"know",0.0116126516750057
4,"back",0.0112905093764887
4,"like",0.00945231375096108
4,"ur",0.00874722619298028
5,"rt",0.0310493570280584
5,"never",0.0109050832899365
5,"just",0.0107245421350833
5,"ok",0.00928590250329643
5,"t",0.00851954385865625
5,"thanks",0.00817133031268541
5,"well",0.00810491376074854
5,"ya",0.00807890888122679
5,"please",0.00755387516641732
5,"like",0.00718429340872496
6,"work",0.0248567215422636
6,"good",0.014605498563278
6,"morning",0.0142043990419475
6,"one",0.0139237423950353
6,"day",0.0138794541933772
6,"cool",0.011767206209099
6,"got",0.0105627963327112
6,"like",0.0101419674093653
6,"us",0.0100612973765508
6,"now",0.00966755859713981
7,"new",0.0187775827599514
7,"way",0.0179851244516152
7,"tumblr.com",0.0123276751067156
7,"class",0.00899504350328299
7,"just",0.00878300698620671
7,"everyone",0.0084910428979055
7,"memphis",0.00834138634741038
7,"day",0.0080694098244136
7,"today",0.00802358499171417
7,"still",0.00771903930440232
8,"can",0.0275913018314367
8,"just",0.0188425711766287
8,"people",0.0159558960709525
8,"got",0.014072661162948
8,"want",0.0128114514154109
8,"watching",0.0111390260970834
8,"now",0.010023925944246
8,"go",0.00904057826914716
8,"wow",0.00872570065102414
8,"sleep",0.00842954360691645
9,"love",0.0417303681315439
9,"go",0.0315807166282067
9,"weekend",0.0134917996032445
9,"rt",0.011497070131296
9,"ready",0.0111883187635783
9,"memphis",0.0104352173865876
9,"see",0.00882848708749158
9,"get",0.00864720469852284
9,"just",0.00837920250296421
9,"better",0.00828366495571689
