"topic","term","beta"
1,"jmgold",0.0789473684210526
1,"calzone",0.0789473684210526
1,"sweatpants",0.0526315789473684
1,"back",0.0263157894736842
1,"come",0.0263157894736842
1,"good",0.0263157894736842
1,"idea",0.0263157894736842
1,"leave",0.0263157894736842
1,"twitter",0.0263157894736842
1,"wait",0.0263157894736842
1,"wearing",0.0263157894736842
1,"yes",0.0263157894736842
1,"change",0.0263157894736842
1,"crosses",0.0263157894736842
1,"desk",0.0263157894736842
1,"hipsters",0.0263157894736842
1,"now",0.0263157894736842
1,"option",0.0263157894736842
1,"otherwise",0.0263157894736842
1,"right",0.0263157894736842
1,"vampires",0.0263157894736842
1,"hip",0.0263157894736842
1,"sure",0.0263157894736842
1,"totally",0.0263157894736842
1,"whatever",0.0263157894736842
1,"newport",0.0263157894736842
1,"providence",0.0263157894736842
1,"enviroment",0.0263157894736842
1,"clean",0.0263157894736842
1,"constantly",0.0263157894736842
1,"every",0.0263157894736842
1,"oh",0.0263157894736842
1,"thing",0.0263157894736842
2,"ha",0.0941176470588235
2,"world",0.0470588235294118
2,"one",0.0470588235294118
2,"live",0.0352941176470588
2,"faith",0.0235294117647059
2,"jmgold",0.0235294117647059
2,"like",0.0235294117647059
2,"calzone",0.0235294117647059
2,"avoid",0.0235294117647059
2,"clever",0.0235294117647059
2,"except",0.0235294117647059
2,"shirts",0.0235294117647059
2,"t",0.0235294117647059
2,"think",0.0235294117647059
2,"time",0.0235294117647059
2,"closing",0.0235294117647059
2,"finally",0.0235294117647059
2,"ya",0.0235294117647059
2,"carlo",0.0235294117647059
2,"real",0.0235294117647059
2,"flat",0.0235294117647059
2,"grab",0.0235294117647059
2,"rent",0.0235294117647059
2,"wanna",0.0235294117647059
2,"er",0.0235294117647059
2,"carlmonopoli",0.0235294117647059
2,"eh",0.0235294117647059
3,"ha",0.0666666666666667
3,"calzone",0.0666666666666667
3,"totally",0.0666666666666667
3,"like",0.0333333333333333
3,"aging",0.0333333333333333
3,"amandamcneil",0.0333333333333333
3,"hipster",0.0333333333333333
3,"ira",0.0333333333333333
3,"baby",0.0333333333333333
3,"chickies",0.0333333333333333
3,"eastern",0.0333333333333333
3,"fair",0.0333333333333333
3,"fun",0.0333333333333333
3,"held",0.0333333333333333
3,"love",0.0333333333333333
3,"springfield",0.0333333333333333
3,"state",0.0333333333333333
3,"states",0.0333333333333333
3,"west",0.0333333333333333
3,"melodramatic",0.0333333333333333
3,"mugs",0.0333333333333333
3,"balled",0.0333333333333333
3,"bitch",0.0333333333333333
3,"get",0.0333333333333333
3,"gonna",0.0333333333333333
3,"low",0.0333333333333333
3,"ya",0.0333333333333333
4,"abortion",0.0555555555555556
4,"jmgold",0.0555555555555556
4,"bad",0.0277777777777778
4,"born",0.0277777777777778
4,"escaped",0.0277777777777778
4,"family",0.0277777777777778
4,"farmhouse",0.0277777777777778
4,"hate",0.0277777777777778
4,"like",0.0277777777777778
4,"mother",0.0277777777777778
4,"sunflowers",0.0277777777777778
4,"u",0.0277777777777778
4,"bet",0.0277777777777778
4,"calzone",0.0277777777777778
4,"decrease",0.0277777777777778
4,"factor",0.0277777777777778
4,"hating",0.0277777777777778
4,"hipness",0.0277777777777778
4,"back",0.0277777777777778
4,"anymore",0.0277777777777778
4,"day",0.0277777777777778
4,"kid",0.0277777777777778
4,"young",0.0277777777777778
4,"carlos",0.0277777777777778
4,"loving",0.0277777777777778
4,"still",0.0277777777777778
5,"steam",0.081081081081081
5,"train",0.054054054054054
5,"got",0.0405405405405405
5,"like",0.027027027027027
5,"coloring",0.027027027027027
5,"dark",0.027027027027027
5,"enough",0.027027027027027
5,"fb",0.027027027027027
5,"girl",0.027027027027027
5,"green",0.027027027027027
5,"library",0.027027027027027
5,"little",0.027027027027027
5,"use",0.027027027027027
5,"just",0.027027027027027
5,"bob",0.027027027027027
5,"fucked",0.027027027027027
5,"sounds",0.027027027027027
5,"walk",0.027027027027027
5,"run",0.027027027027027
5,"amazing",0.027027027027027
5,"bradjward",0.027027027027027
6,"redsox",0.0625
6,"1022t2",0.0416666666666667
6,"classic",0.0416666666666667
6,"favorite",0.0416666666666667
6,"female",0.0416666666666667
6,"garland",0.0416666666666667
6,"judy",0.0416666666666667
6,"just",0.0416666666666667
6,"movie",0.0416666666666667
6,"star",0.0416666666666667
6,"vote",0.0416666666666667
6,"voted",0.0416666666666667
6,"hits",0.0416666666666667
6,"moan",0.0416666666666667
7,"calzone",0.0888888888888889
7,"jmgold",0.0666666666666667
7,"carlo",0.0444444444444445
7,"yes",0.0222222222222222
7,"calling",0.0222222222222222
7,"crazy",0.0222222222222222
7,"listening",0.0222222222222222
7,"music",0.0222222222222222
7,"patrons",0.0222222222222222
7,"sweet",0.0222222222222222
7,"yelling",0.0222222222222222
7,"amandamcneil",0.0222222222222222
7,"hipster",0.0222222222222222
7,"checklist",0.0222222222222222
7,"see",0.0222222222222222
7,"tell",0.0222222222222222
7,"way",0.0222222222222222
7,"beyond",0.0222222222222222
7,"butter",0.0222222222222222
7,"cows",0.0222222222222222
7,"however",0.0222222222222222
7,"moved",0.0222222222222222
7,"sculpture",0.0222222222222222
7,"sympathy",0.0222222222222222
7,"wince",0.0222222222222222
7,"fart",0.0222222222222222
7,"taste",0.0222222222222222
7,"shit",0.0222222222222222
7,"tele",0.0222222222222222
7,"watch",0.0222222222222222
8,"intervention",0.0588235294117647
8,"calzone",0.0588235294117647
8,"turns",0.0588235294117647
8,"jmgold",0.0294117647058823
8,"damn",0.0294117647058823
8,"need",0.0294117647058823
8,"planning",0.0294117647058823
8,"spent",0.0294117647058823
8,"time",0.0294117647058823
8,"amandamcneil",0.0294117647058823
8,"anyway",0.0294117647058823
8,"classes",0.0294117647058823
8,"fright",0.0294117647058823
8,"major",0.0294117647058823
8,"manage",0.0294117647058823
8,"ok",0.0294117647058823
8,"stage",0.0294117647058823
8,"teach",0.0294117647058823
8,"usually",0.0294117647058823
8,"adebeyor",0.0294117647058823
8,"bout",0.0294117647058823
8,"face",0.0294117647058823
8,"stamp",0.0294117647058823
8,"club",0.0294117647058823
8,"drinks",0.0294117647058823
8,"free",0.0294117647058823
8,"tropicana",0.0294117647058823
9,"calzone",0.0506329113924051
9,"go",0.0379746835443038
