"topic","term","beta"
1,"rt",0.0860234515825995
1,"go",0.0215058628956499
1,"lets",0.0215058628956499
1,"make",0.0215058628956499
1,"samantha518",0.0215058628956499
1,"joelmadden",0.0215058628956499
1,"wanna",0.0215058628956499
1,"lmao",0.0215058628956499
1,"sorrybowwow",0.0215055239015063
1,"twitpic.com",0.0214835772420749
2,"im",0.0463156051458198
2,"going",0.0376350546472456
2,"samantha518",0.0308770700972132
2,"bed",0.0302378574898447
2,"love",0.0231578025729099
2,"tater5295",0.0231578025729099
2,"girls",0.0231578025729099
2,"u",0.0154385350486066
2,"can",0.0154385350486066
2,"amazing",0.0154385350486066
2,"house",0.0154385350486066
2,"guys",0.0154385350486066
2,"getting",0.0154385350486066
2,"tired",0.0154385350486066
2,"mater8222",0.0154385350486066
2,"d",0.0154385350486066
2,"today",0.0154385350486066
2,"shower",0.0154385350486066
2,"blahh",0.0154385350486066
3,"hahaha",0.0367708709241187
3,"went",0.027578153193089
3,"just",0.0255719157884907
3,"sarahannash",0.0183854354620593
3,"good",0.0183854354620593
3,"home",0.0183854354620593
3,"think",0.0183854354620593
3,"watched",0.0183854354620593
3,"going",0.0183854354620593
3,"trying",0.0183854354620593
3,"time",0.0183854354620593
3,"sitting",0.0183854354620593
3,"gailr",0.0183854354620593
3,"one",0.0183854354620593
4,"feel",0.0469287199394431
4,"like",0.0469287199391183
4,"done",0.0281572319638069
4,"going",0.0199402978231867
4,"saturday",0.0187714879758713
4,"tired",0.0187714879758713
4,"got",0.0187714879758713
4,"today",0.0187714879758713
4,"fine",0.0187714879758713
4,"xd",0.0187714879758713
4,"lunch",0.0187714879758713
4,"time",0.0187714879758713
4,"dishes",0.0187714879758713
5,"new",0.0290440794351304
5,"omg",0.0290440794351304
5,"twitter",0.0223697938182662
5,"love",0.0193627196234202
5,"work",0.0193627196234202
5,"follow",0.0193627196234202
5,"photo",0.0193627196234202
5,"really",0.0193627196234202
5,"upload",0.0193627196234202
5,"ok",0.0193627196234202
5,"ppl",0.0193627196234202
5,"finally",0.0193627196234202
5,"break",0.0193627196234202
5,"lol",0.0193627196234202
5,"bibey05",0.0193627196234202
6,"work",0.0384615385886706
6,"watching",0.0384615385886706
6,"gailr",0.0384615385886706
6,"really",0.0384615352832591
6,"u",0.0288461539415029
6,"back",0.0288461539415029
6,"lol",0.0288461539415029
6,"tree",0.0288461539415029
6,"done",0.0192307692943353
6,"go",0.0192307692943353
6,"house",0.0192307692943353
6,"get",0.0192307692943353
6,"us",0.0192307692943353
6,"wish",0.0192307692943353
6,"know",0.0192307692943353
6,"mikey's",0.0192307692943353
6,"come",0.0192307692943353
6,"bluebird",0.0192307692943353
7,"work",0.0442477966566162
7,"eating",0.035398237325293
7,"show",0.0265486779939697
7,"god",0.0265486779939697
7,"go",0.0176991186626465
7,"rt",0.0176991186626465
7,"haha",0.0176991186626465
7,"tonight",0.0176991186626465
7,"ethanbeazley",0.0176991186626465
7,"oh",0.0176991186626465
7,"thank",0.0176991186626465
7,"like",0.0176991186626465
7,"around",0.0176991186626465
8,"sorrybowwow",0.0748808229176208
8,"just",0.0374404114599295
8,"myfabolouslife",0.0374404114599295
8,"54,742",0.0280803085949471
8,"followers",0.0280803085949471
8,"ur",0.0187202057299647
8,"rt",0.0187202057299647
8,"ha",0.0187202057299647
8,"finished",0.0187202057299647
8,"now",0.0187202057299647
8,"twitpic.com",0.0187202057299647
8,"cuz",0.0187202057299647
8,"gonna",0.0187202057299647
8,"mike",0.0187202057299647
9,"can",0.0315782402996116
9,"need",0.0315782402996116
9,"think",0.0315782402996116
9,"craig",0.0210521601997411
9,"vh1sjunk",0.0210521601997411
9,"right",0.0210521601997411
9,"putting",0.0210521601997411
9,"date",0.0210521601997411
9,"homecoming",0.0210521601997411
9,"jeans",0.0210521601997411
9,"skinny",0.0210521601997411
9,"stay",0.0210521601997411
9,"wear",0.0210521601997411
9,"get",0.0210521601997411
9,"watching",0.0210521601997411
9,"homework",0.0210521601997411
