"topic","term","beta"
1,"one",0.0421506510958298
1,"need",0.0281004442853639
1,"always",0.0281004442853639
1,"just",0.0247996380250778
1,"much",0.0210753332140229
1,"women",0.014050222142682
1,"rt",0.014050222142682
1,"startupprincess",0.014050222142682
1,"todaysmama",0.014050222142682
1,"seem",0.014050222142682
1,"today",0.014050222142682
1,"3bllfk",0.014050222142682
1,"cruelty",0.014050222142682
1,"deer",0.014050222142682
1,"fanatic",0.014050222142682
1,"free",0.014050222142682
1,"give",0.014050222142682
1,"heads",0.014050222142682
1,"hunting",0.014050222142682
1,"love",0.014050222142682
1,"moose",0.014050222142682
1,"neighbor",0.014050222142682
1,"nataliemacneil",0.014050222142682
1,"experience",0.014050222142682
1,"get",0.014050222142682
1,"imodelagency",0.014050222142682
1,"something",0.014050222142682
1,"way",0.014050222142682
1,"5minutesformom",0.014050222142682
1,"wasatchwoman",0.014050222142682
1,"actually",0.014050222142682
1,"archived",0.014050222142682
1,"contact",0.014050222142682
1,"emails",0.014050222142682
1,"list",0.014050222142682
1,"organized",0.014050222142682
1,"phew",0.014050222142682
1,"procrastinating",0.014050222142682
1,"setting",0.014050222142682
1,"updated",0.014050222142682
1,"went",0.014050222142682
1,"entrepreneur",0.014050222142682
1,"fantastic",0.014050222142682
1,"ff",0.014050222142682
1,"quinncurtis",0.014050222142682
1,"supporters",0.014050222142682
1,"yeah",0.014050222142682
2,"madtownbabe",0.0566725436269748
2,"byu",0.0251877971740163
2,"good",0.0204779299815311
2,"today",0.0188908478805122
2,"tonight",0.0188908478805122
2,"big",0.0188908478805122
2,"along",0.0125938985870081
2,"creativity",0.0125938985870081
2,"push",0.0125938985870081
2,"seem",0.0125938985870081
2,"stubborn",0.0125938985870081
2,"well",0.0125938985870081
2,"wow",0.0125938985870081
2,"fall",0.0125938985870081
2,"aggie",0.0125938985870081
2,"soccer",0.0125938985870081
2,"go",0.0125938985870081
2,"awesome",0.0125938985870081
2,"come",0.0125938985870081
2,"room",0.0125938985870081
2,"state",0.0125938985870081
2,"team",0.0125938985870081
2,"8pm",0.0125938985870081
3,"welcome",0.0383846090450883
3,"good",0.0370025557252832
3,"seattle",0.0329011033160298
3,"new",0.0328934147687791
3,"follower",0.0265423602783609
3,"day",0.0219340688773532
3,"next",0.0219340688773532
3,"aggies",0.0219340688773532
3,"beautiful",0.0219340688773532
3,"game",0.0164505516580149
3,"go",0.0164505516580149
3,"vs",0.0164505516580149
3,"washington",0.0164505516580149
3,"luck",0.0164505516580149
4,"just",0.0472650179956503
4,"time",0.0468271944463544
4,"stuff",0.0270085980869916
4,"loved",0.0270085976075263
4,"melissaprincess",0.0202564485652437
4,"hey",0.0202564485652437
4,"want",0.0135042990434958
4,"great",0.0135042990434958
4,"fun",0.0135042990434958
4,"bed",0.0135042990434958
4,"cleaned",0.0135042990434958
4,"climb",0.0135042990434958
4,"dd's",0.0135042990434958
4,"even",0.0135042990434958
4,"pull",0.0135042990434958
4,"scared",0.0135042990434958
4,"underneath",0.0135042990434958
4,"5minutesformom",0.0135042990434958
4,"momspark",0.0135042990434958
4,"seeing",0.0135042990434958
4,"selling",0.0135042990434958
4,"nice",0.0135042990434958
4,"beat",0.0135042990434958
4,"like",0.0135042990434958
4,"look",0.0135042990434958
4,"sweetie",0.0135042990434958
4,"ready",0.0135042990434958
5,"get",0.0320959706455163
5,"oh",0.025676776516413
5,"gothicat",0.025676776516413
5,"just",0.0222736935850066
5,"stuff",0.0192575823873098
5,"crap",0.0192575823873098
5,"feeling",0.0192575823873098
5,"tonight",0.0192575823873098
5,"well",0.0192575823873098
5,"yes",0.0191222217748289
6,"work",0.0356085157242276
6,"gwenbell",0.0284868125793821
6,"can",0.0213651094345366
6,"home",0.0213651094345366
6,"hope",0.0213651094345366
6,"check",0.0213651093312655
6,"know",0.0213651072761448
6,"great",0.0172049682729814
6,"sure",0.014243406289691
6,"tr.im",0.014243406289691
6,"duh",0.014243406289691
6,"entrepreneurs",0.014243406289691
6,"found",0.014243406289691
6,"just",0.014243406289691
6,"savor",0.014243406289691
6,"site",0.014243406289691
6,"success",0.014243406289691
6,"women",0.014243406289691
6,"zpef",0.014243406289691
6,"kids",0.014243406289691
6,"rt",0.014243406289691
6,"show",0.014243406289691
6,"well",0.014243406289691
6,"love",0.014243406289691
6,"fall",0.014243406289691
6,"friends",0.014243406289691
6,"funny",0.014243406289691
6,"hunters",0.014243406289691
6,"husbands",0.014243406289691
6,"keep",0.014243406289691
6,"maybe",0.014243406289691
6,"thanks",0.014243406289691
6,"avatar",0.014243406289691
6,"new",0.014243406289691
6,"biggest",0.014243406289691
6,"car",0.014243406289691
6,"care",0.014243406289691
6,"challenge",0.014243406289691
6,"laundry",0.014243406289691
6,"nataliemacneil",0.014243406289691
6,"pool",0.014243406289691
6,"successful",0.014243406289691
6,"world",0.014243406289691
6,"like",0.014243406289691
6,"thing",0.014243406289691
6,"also",0.014243406289691
7,"week",0.0222222222222222
7,"fetlife",0.0148148148148148
7,"gonna",0.0148148148148148
7,"applaud",0.0148148148148148
7,"designer",0.0148148148148148
7,"fashion",0.0148148148148148
7,"fast",0.0148148148148148
7,"london",0.0148148148148148
7,"mark",0.0148148148148148
7,"models",0.0148148148148148
7,"plus",0.0148148148148148
7,"size",0.0148148148148148
7,"tr.im",0.0148148148148148
7,"using",0.0148148148148148
7,"zp8j",0.0148148148148148
7,"abc",0.0148148148148148
7,"highlights",0.0148148148148148
7,"iutee",0.0148148148148148
7,"kids",0.0148148148148148
7,"miss",0.0148148148148148
7,"momfluential",0.0148148148148148
7,"rt",0.0148148148148148
7,"show",0.0148148148148148
7,"startupprincess",0.0148148148148148
7,"supa09",0.0148148148148148
7,"bank",0.0148148148148148
7,"brain",0.0148148148148148
7,"buy",0.0148148148148148
7,"can",0.0148148148148148
7,"cs9qz",0.0148148148148148
7,"encourage",0.0148148148148148
7,"fun",0.0148148148148148
7,"happens",0.0148148148148148
7,"link",0.0148148148148148
7,"stop.http",0.0148148148148148
7,"swear",0.0148148148148148
7,"swearing",0.0148148148148148
7,"melissaprincess",0.0148148148148148
7,"twin",0.0148148148148148
7,"rerunyon",0.0148148148148148
8,"utah",0.0162695719981671
8,"burgers",0.0125170794350206
8,"starting",0.0125170794350206
8,"great",0.0125170794350206
8,"4osnf6",0.0125170794350206
8,"hybrid",0.0125170794350206
8,"mom",0.0125170794350206
8,"rt",0.0125170794350206
8,"startupprincess",0.0125170794350206
8,"supa09",0.0125170794350206
8,"charity",0.0125170794350206
8,"dv4wk",0.0125170794350206
8,"event",0.0125170794350206
8,"jordan",0.0125170794350206
8,"noah's",0.0125170794350206
8,"teachers",0.0125170794350206
8,"todaysmama",0.0125170794350206
8,"hope",0.0125170794350206
8,"get",0.0125170794350206
8,"snow",0.0125170794350206
8,"now",0.0125170794350206
8,"next",0.0125170794350206
8,"right",0.0125170794350206
8,"fangtasm",0.0125170794350206
8,"stay",0.0125170794350206
8,"mexwarrior",0.0125170794350206
9,"rio",0.0348674013279734
9,"tinto",0.0348674013279734
9,"soccer",0.0278939210623787
9,"love",0.020920440796784
9,"line",0.020920440796784
9,"play",0.020920440796784
9,"aggie",0.020920440796784
9,"stadium",0.020920440796784
9,"utah",0.0167392844860428
9,"just",0.0139469605311894
9,"encouraging",0.0139469605311894
9,"fine",0.0139469605311894
9,"hard",0.0139469605311894
9,"kid",0.0139469605311894
9,"onto",0.0139469605311894
9,"pushing",0.0139469605311894
9,"sport",0.0139469605311894
9,"tip",0.0139469605311894
9,"toe",0.0139469605311894
9,"watch",0.0139469605311894
9,"ff",0.0139469605311894
9,"according2kelly",0.0139469605311894
9,"magicprincess",0.0139469605311894
9,"makeandtakes",0.0139469605311894
9,"myjoyquest",0.0139469605311894
9,"olivejuiceandco",0.0139469605311894
9,"princess",0.0139469605311894
9,"sarahjanestudio",0.0139469605311894
9,"startup",0.0139469605311894
9,"superstars",0.0139469605311894
9,"thisiscarrie",0.0139469605311894
9,"aggiesoccer.blogspot.com",0.0139469605311894
9,"blog",0.0139469605311894
9,"another",0.0139469605311894
9,"night",0.0139469605311894
9,"thursday",0.0139469605311894
