"topic","term","beta"
1,"eat",0.0909090909090909
1,"lol",0.0909090909090909
1,"dreams",0.0909090909090909
1,"foods",0.0909090909090909
1,"get",0.0909090909090909
1,"gonna",0.0909090909090909
1,"hair",0.0909090909090909
1,"people",0.0909090909090909
1,"school",0.0909090909090909
1,"tomorrow",0.0909090909090909
1,"wait",0.0909090909090909
2,"jayzaur",0.2
2,"bahaha",0.2
2,"sister",0.2
2,"talking",0.2
2,"twin",0.2
2,"sneezed",9.73908336930662e-214
2,"taco",9.73903601866412e-214
2,"just",5.84925708483509e-247
2,"melissagreen",4.08145183787323e-247
2,"d",1.96196129453663e-247
3,"anyone",0.0833333333333333
3,"ceiling",0.0833333333333333
3,"change",0.0833333333333333
3,"day",0.0833333333333333
3,"lol",0.0833333333333333
3,"make",0.0833333333333333
3,"nabsolutely",0.0833333333333333
3,"nothing",0.0833333333333333
3,"sit",0.0833333333333333
3,"stare",0.0833333333333333
3,"today",0.0833333333333333
3,"wanna",0.0833333333333333
4,"biscuits",0.125
4,"breakfast",0.125
4,"eat",0.125
4,"gravy",0.125
4,"o_o",0.125
4,"room",0.125
4,"sitting",0.125
4,"think",0.125
4,"sneezed",2.39486094450589e-247
4,"taco",2.39484437582873e-247
5,"d",0.1
5,"drawing",0.1
5,"dunno",0.1
5,"find",0.1
5,"good",0.1
5,"maybe",0.1
5,"photoshop",0.1
5,"program",0.1
5,"thats",0.1
5,"trying",0.1
6,"d",0.272727272727273
6,"xjordamore",0.0909090909090909
6,"everyone",0.0909090909090909
6,"loves",0.0909090909090909
6,"randi",0.0909090909090909
6,"melissagreen",0.0909090909090909
6,"jayzaur",0.0909090909090909
6,"never",0.0909090909090909
6,"talked",0.0909090909090909
6,"sneezed",3.54375845616695e-248
7,"awesome",0.0833333333333333
7,"beats",0.0833333333333333
7,"bought",0.0833333333333333
7,"d",0.0833333333333333
7,"drama",0.0833333333333333
7,"dramabeats",0.0833333333333333
7,"joined",0.0833333333333333
7,"oh",0.0833333333333333
7,"shirt",0.0833333333333333
7,"signature",0.0833333333333333
7,"thanks",0.0833333333333333
7,"totally",0.0833333333333333
8,"oh",0.166666666669375
8,"jordy",0.166666666669375
8,"wow",0.166666666669375
8,"xjordamore",0.166666666669375
8,"taco",0.166666666669375
8,"sneezed",0.16666666665301
8,"just",1.13699590609629e-13
8,"melissagreen",1.366869962729e-247
8,"d",6.57056868011987e-248
8,"jayzaur",5.84204005802161e-249
9,"just",0.249999999996868
9,"apparently",0.124999999998476
9,"enough",0.124999999998476
9,"great",0.124999999998476
9,"im",0.124999999998476
9,"loss",0.124999999998476
9,"said",0.124999999998476
9,"sneezed",1.22739178765242e-11
9,"taco",2.39484437542551e-247
9,"melissagreen",2.43273486923342e-248
