"topic","term","beta"
1,"home",0.0365404414076247
1,"night",0.0156601891746963
1,"like",0.0155599839825069
1,"time",0.0139201681552856
1,"go",0.0138444945903371
1,"got",0.0125884993510028
1,"new",0.0121828897545165
1,"hate",0.0121801471358749
1,"club",0.0121801471358749
1,"day",0.0119682385793815
2,"de",0.0683123709833252
2,"en",0.0579620117449038
2,"la",0.03836948936242
2,"rt",0.0359372929805713
2,"el",0.0330002091733446
2,"new",0.0302836162110512
2,"al",0.0244576213110292
2,"y",0.0227707867926638
2,"hoy",0.0227707838448131
2,"tempo",0.0165605747842582
3,"want",0.0281689256697697
3,"rt",0.0235709224877842
3,"like",0.0200601426390137
3,"weather",0.0140844628348849
3,"feel",0.0119040086969526
3,"gets",0.0100603305963464
3,"que",0.0100603305963464
3,"sleep",0.0100603305962735
3,"super",0.010060330592409
3,"just",0.0091901539503126
4,"today",0.021043921507583
4,"work",0.0208380948339738
4,"day",0.0196222994798842
4,"weekend",0.019425158314692
4,"gonna",0.0186045546378033
4,"lnk.ms",0.0162588907986028
4,"like",0.0161734586444854
4,"love",0.0135619667371937
4,"wait",0.012950105543128
4,"little",0.0129501055073759
5,"rain",0.0366366395917478
5,"winds",0.0219819838647368
5,"lol",0.0201497309473742
5,"take",0.0183183198872806
5,"10ztuu",0.0183183198872806
5,"airport",0.0183183198872806
5,"f",0.0183183198872806
5,"international",0.0183183198872806
5,"mcallen",0.0183183198872806
5,"miller",0.0183183198872806
5,"tx",0.0183183198872806
6,"get",0.0450324972785778
6,"u",0.0318911291466631
6,"love",0.0256940089916338
6,"one",0.0187635707795998
6,"thoughtintheclub",0.0147763028149773
6,"know",0.0121934170207718
6,"happy",0.00938174056033008
6,"dancing",0.00750542841727398
6,"tomorrow",0.00750542841727398
6,"buy",0.00750542841727398
6,"let",0.00750542841727398
6,"well",0.00750542841727398
7,"video",0.0479289992523583
7,"youtube",0.0325917194923083
7,"favorited",0.017254439731222
7,"awesome",0.0164505634732262
7,"game",0.0134201197880664
7,"just",0.0125976893364001
7,"haha",0.0115029598204864
7,"like",0.0115029060485747
7,"twitpic.com",0.011424851120687
7,"tv",0.0095857998506789
8,"just",0.0217778776817005
8,"malicea",0.0159887885598844
8,"good",0.0158924777793861
8,"music",0.0122886721860258
8,"thing",0.0121767597181049
8,"q",0.0121647863466092
8,"nuevo",0.0102405601550215
8,"like",0.0102405601550215
8,"come",0.0102404459935972
8,"divino",0.0081924481240172
8,"lo",0.0081924481240172
8,"hey",0.0081924481240172
9,"lol",0.0464485508366906
9,"just",0.0354355786084417
9,"watching",0.0224767198878279
9,"sooziq",0.0178650057387454
9,"lovekristenn",0.0160785051796121
9,"hahaa",0.0142920046040996
9,"got",0.0138130638358173
9,"taking",0.00893250287756226
9,"found",0.00893250287756152
9,"class",0.0089324350581095
