"topic","term","beta"
1,"bored",0.142857142857143
1,"nothing",0.142857142857143
1,"mind",0.0714285714285714
1,"im",0.0714285714285714
1,"looking",0.0714285714285714
1,"alot",0.0714285714285714
1,"forward",0.0714285714285714
1,"future",0.0714285714285714
1,"near",0.0714285714285714
1,"really",0.0714285714285714
1,"stuff",0.0714285714285714
1,"theres",0.0714285714285714
2,"like",0.105263157894737
2,"box",0.105263157894737
2,"chocolates",0.105263157894737
2,"get",0.105263157894737
2,"going",0.105263157894737
2,"know",0.105263157894737
2,"never",0.105263157894737
2,"std's",0.105263157894737
2,"allispeed",0.0526315789473684
2,"bday",0.0526315789473684
2,"happy",0.0526315789473684
3,"today",0.153846153846154
3,"bummer",0.0769230769230769
3,"go",0.0769230769230769
3,"hot",0.0769230769230769
3,"topic",0.0769230769230769
3,"orientation",0.0769230769230769
3,"bang",0.0769230769230769
3,"can",0.0769230769230769
3,"mom",0.0769230769230769
3,"super",0.0769230769230769
3,"superman",0.0769230769230769
3,"want",0.0769230769230769
4,"havent",0.285714285714286
4,"fails",0.142857142857143
4,"halo",0.142857142857143
4,"watching",0.142857142857143
4,"sucks",0.142857142857143
4,"sorry",0.142857142857143
4,"nothing",7.21182484800566e-155
4,"new",4.26673276598947e-155
4,"mind",2.53716912691874e-155
4,"orientation",2.0313996253063e-155
5,"coke",0.166666666666667
5,"like",0.166666666666667
5,"bush",0.0833333333333333
5,"diet",0.0833333333333333
5,"different",0.0833333333333333
5,"obama",0.0833333333333333
5,"slightly",0.0833333333333333
5,"suck",0.0833333333333333
5,"taste",0.0833333333333333
5,"zero",0.0833333333333333
6,"new",0.181818181818182
6,"found",0.0909090909090909
6,"marker",0.0909090909090909
6,"might",0.0909090909090909
6,"paintball",0.0909090909090909
6,"182yqd",0.0909090909090909
6,"call",0.0909090909090909
6,"funniest",0.0909090909090909
6,"history",0.0909090909090909
6,"prank",0.0909090909090909
7,"know",0.125
7,"m_iis_for_megan",0.125
7,"dont",0.125
7,"even",0.125
7,"funny",0.125
7,"im",0.125
7,"looking",0.125
7,"talking",0.125
7,"orientation",6.00554532006128e-119
7,"nothing",4.83135922434718e-155
8,"m_iis_for_megan",0.444444444444444
8,"delicious",0.111111111111111
8,"early",0.111111111111111
8,"wake",0.111111111111111
8,"fun",0.111111111111111
8,"well",0.111111111111111
8,"nothing",3.3932180011877e-155
8,"new",2.00752995711156e-155
8,"mind",1.19375721609477e-155
8,"orientation",9.55788849766844e-156
9,"found",0.0833333333333333
9,"bomb",0.0833333333333333
9,"first",0.0833333333333333
9,"hates",0.0833333333333333
9,"hit",0.0833333333333333
9,"ive",0.0833333333333333
9,"just",0.0833333333333333
9,"last",0.0833333333333333
9,"minesweeper",0.0833333333333333
9,"played",0.0833333333333333
9,"times",0.0833333333333333
9,"try",0.0833333333333333
