"topic","term","beta"
1,"mjohnson4186",0.0691010133123584
1,"www.youravon.com",0.0691010133123584
1,"avon",0.0342036423066413
1,"like",0.0307115614721593
1,"gonna",0.0230336711041195
1,"online",0.0230336711041195
1,"today",0.0230336711041195
1,"next",0.0153557807360796
1,"carlvdb",0.0153557807360796
1,"tomorrow",0.0153557807360796
1,"rt",0.0153557807360796
1,"cholawa",0.0153557807360796
1,"kyle",0.0153557807360796
1,"blah",0.0153557807360796
1,"soak",0.0153557807360796
1,"sun",0.0153557807360796
1,"apostle_john",0.0153557807360796
1,"days",0.0153557807360796
1,"mr",0.0153557807360796
1,"care",0.0153557807360796
2,"much",0.0479916994839917
2,"make",0.0399930829033264
2,"rt",0.0239958497419958
2,"sense",0.0239958497419958
2,"carriechau",0.0239958497419958
2,"interested",0.0239958497419958
2,"representative",0.0185758181146195
2,"talk",0.0159972331613306
2,"earlier",0.0159972331613306
2,"exhausted",0.0159972331613306
2,"nap",0.0159972331613306
2,"took",0.0159972331613306
2,"kind",0.0159972331613306
2,"people",0.0159972331613306
2,"can",0.0159972331613306
2,"know",0.0159972331613306
2,"biased",0.0159972331613306
2,"proactively",0.0159972331613306
3,"p",0.0499999979701643
3,"work",0.0499999979701643
3,"life",0.0374999984776233
3,"fun",0.0249999989850822
3,"times",0.0249999989850822
3,"time",0.0249999989850822
3,"missing",0.0249999989850822
3,"stephanie",0.0249999989850822
3,"haha",0.0249999989850822
3,"confused",0.0249999989850822
3,"courtneyluvspat",0.0249999989850822
3,"definitely",0.0249999989850822
3,"first",0.0249999989850822
3,"2r4qp0",0.0249999989850822
3,"area",0.0249999989850822
3,"choices",0.0249999989850822
3,"hard",0.0249999989850822
3,"josh",0.0249999989850822
3,"peers",0.0249999989850822
3,"question",0.0249999989850822
3,"stand",0.0249999989850822
3,"tinyurl.com",0.0249999989850822
4,"lol",0.107069497400973
4,"carriechau",0.0750850934756841
4,"sleep",0.0382391112375517
4,"work",0.0305912889900414
4,"time",0.0305912889900414
4,"everyone",0.0305912889900414
4,"night",0.0305912732790481
4,"early",0.022943466742531
4,"tonight",0.022943466742531
4,"last",0.0224719110932413
5,"got",0.03703703649101
5,"hey",0.03703703649101
5,"ur",0.0277777773682575
5,"want",0.0277777773682575
5,"just",0.0277777773682575
5,"dress",0.0277777773682575
5,"rt",0.018518518245505
5,"funny",0.018518518245505
5,"haha",0.018518518245505
5,"linner",0.018518518245505
5,"word",0.018518518245505
5,"yelyahwilliams",0.018518518245505
5,"amanda",0.018518518245505
5,"amandaaaasue",0.018518518245505
5,"goodnight",0.018518518245505
5,"reply",0.018518518245505
5,"saying",0.018518518245505
5,"angie",0.018518518245505
5,"angiecakes24",0.018518518245505
5,"homecoming",0.018518518245505
5,"shopping",0.018518518245505
6,"like",0.0739267457241752
6,"updates",0.0470442927335661
6,"give",0.0403236794859138
6,"address",0.0403236794859138
6,"email",0.0403236794859138
6,"products",0.0403236794859138
6,"bro",0.0403114487156008
6,"avon",0.0392882941089429
6,"get",0.0332793084853534
6,"attack",0.0268824529906092
6,"hey",0.0268824529906092
7,"ha",0.0357142857143208
7,"consultants",0.0357142857143208
7,"proudmom78",0.0357142857143208
7,"uid",0.0357142857143208
7,"www.diamondcreekcandles.com",0.0357142857143208
7,"special",0.0267857142857406
7,"bear",0.0267857142857406
7,"new",0.0267857142857406
7,"dcc",0.0267857142857406
7,"paw",0.0178571428571604
7,"done",0.0178571428571604
7,"9.0",0.0178571428571604
7,"honey",0.0178571428571604
7,"oz",0.0178571428571604
7,"scents",0.0178571428571604
8,"good",0.0336388882136568
8,"rt",0.0224260122669269
8,"really",0.0224260122669269
8,"week",0.0224260122669269
8,"thanks",0.0224260122669269
8,"need",0.0224260122669269
8,"beautiful",0.0224260122669269
8,"can",0.0224260122669269
8,"friends",0.0224260122669269
8,"help",0.0224260122669269
8,"homes",0.0224260122669269
8,"kittens",0.0224260122669269
8,"message",0.0224260122669269
8,"old",0.0224260122669269
8,"pete",0.0224260122669269
8,"please",0.0224260122669269
8,"st",0.0224260122669269
8,"tampa",0.0224260122669269
8,"think",0.0224260122669269
8,"7bry1",0.0224260122669269
8,"freedom",0.0224260122669269
8,"health",0.0224260122669269
8,"wealth",0.0224260122669269
9,"day",0.120370378680113
9,"hey",0.0555555593908216
9,"hope",0.0555555593908216
9,"national",0.0555554903560339
9,"ralynneduhhh",0.0370370395938811
9,"awesome",0.0370370395938811
9,"happy",0.0370370395938802
9,"fun",0.0185185197969405
9,"denny's",0.0185185197969405
9,"dinner",0.0185185197969405
9,"eating",0.0185185197969405
9,"family",0.0185185197969405
9,"tomorrow",0.0185185197969405
9,"play",0.0185185197969405
9,"like",0.0185185197969405
9,"well",0.0185185197969405
9,"pirate",0.0185185197969405
9,"sounds",0.0185185197969405
9,"fo",0.0185185197969405
9,"follow",0.0185185197969405
9,"mmm",0.0185185197969405
9,"real",0.0185185197969405
9,"bigfloppyluigi",0.0185185197969405
9,"kendra",0.0185185197969405
9,"kendraa8576",0.0185185197969405
9,"karter1221",0.0185185197969405
