"topic","term","beta"
1,"rt",0.035491674848611
1,"happy",0.0149096319345981
1,"please",0.0132195991256616
1,"just",0.0100476884903297
1,"kanye",0.00849831418930399
1,"follow",0.00800575002037414
1,"night",0.00772848630511275
1,"good",0.00759193232089899
1,"like",0.00707855681220973
1,"vote",0.00688862670789686
2,"new",0.0116728789896288
2,"day",0.0108620940550214
2,"got",0.0102856934839617
2,"party",0.00914230147071707
2,"im",0.00904533019114523
2,"weekend",0.00897973161165673
2,"great",0.00895068417980936
2,"today",0.00756566099941983
2,"get",0.00748176027112057
2,"good",0.00714342973579147
3,"new",0.024674070047736
3,"u",0.0181038400802402
3,"post",0.0108350100089156
3,"fun",0.0107431987798758
3,"business",0.0106979360628084
3,"free",0.00967530121387805
3,"yet",0.00966899048172786
3,"online",0.00854491073534504
3,"two",0.00813682328308471
3,"things",0.00784835350302438
4,"good",0.0189755554814948
4,"day",0.0189265608060061
4,"home",0.0161477122673254
4,"school",0.0156209576621596
4,"work",0.0154042855637275
4,"going",0.0148052190870321
4,"today",0.014733110006005
4,"just",0.0135623758362291
4,"time",0.0125056732237376
4,"get",0.0120252204328671
5,"think",0.0266310049180348
5,"get",0.0188844102215348
5,"now",0.0147559389548024
5,"know",0.0132578722155271
5,"just",0.0127133073648982
5,"yes",0.0109732516434104
5,"can",0.010420250613871
5,"back",0.00902131601665535
5,"omg",0.00894630341884385
5,"want",0.00819830422244109
6,"health",0.0323113764855388
6,"tips",0.0202805448152319
6,"love",0.0195374213631752
6,"rt",0.00953338883559346
6,"really",0.00937123454579254
6,"s",0.00833767255734874
6,"care",0.00790597509752291
6,"blog",0.00774625404607404
6,"good",0.00770554827526903
6,"new",0.00656644039314683
7,"like",0.0250289072466113
7,"just",0.0189228137866521
7,"ever",0.0159037421840463
7,"onecallband",0.0149682279379259
7,"got",0.00866915908156172
7,"rt",0.00804316210543895
7,"try",0.00748411396896296
7,"someone",0.00717227588538978
7,"time",0.00548344755130057
7,"hair",0.00498940930305527
8,"need",0.02215410428572
8,"just",0.0165841643836309
8,"oh",0.0125040886482227
8,"thanks",0.00872008936617182
8,"awesome",0.00653475263289092
8,"mobsterworld",0.00652045007948463
8,"won",0.00586840507153617
8,"may",0.00583069450875737
8,"fought",0.00554238256756194
8,"want",0.00549772187675698
9,"go",0.0326014841136412
9,"feel",0.015973454691459
9,"show",0.0130975155942675
9,"check",0.0127770730762814
9,"still",0.00975885070591199
9,"great",0.00967563368814782
9,"via",0.0080970251018953
9,"one",0.00776134512252602
9,"yay",0.00703170498716083
9,"photo",0.00671203170174502
