"topic","term","beta"
1,"travel",0.0422535211302913
1,"su.pr",0.0375586854491478
1,"daily",0.0328638497680043
1,"photo",0.0328638497680043
1,"ago",0.0234741784057174
1,"ow.ly",0.0187793427245739
1,"one",0.0140845070434304
1,"year",0.0140845070434304
1,"2f3p4i",0.0140845070434304
1,"italy",0.0140845070434304
1,"pisa",0.0140845070434304
2,"dee",0.0174418604651163
2,"just",0.0174418604651163
2,"see",0.0174418604651163
2,"spent",0.0116279069767442
2,"outside",0.0116279069767442
2,"ba",0.0116279069767442
2,"dah",0.0116279069767442
2,"things",0.0116279069767442
2,"first",0.0116279069767442
2,"watching",0.0116279069767442
2,"give",0.0116279069767442
2,"davewiner",0.0116279069767442
2,"sarajoo",0.0116279069767442
2,"bah",0.0116279069767442
3,"getting",0.0207579306401022
3,"last",0.0155684502404389
3,"well",0.0155684502404389
3,"make",0.0155684502404389
3,"woodstargh",0.0142302720366964
3,"hair",0.0103789668269592
3,"wonder",0.0103789668269592
3,"north",0.0103789668269592
3,"probably",0.0103789668269592
3,"obviously",0.0103789668269592
3,"just",0.0103789668269592
3,"tinyurl.com",0.0103789668269592
3,"ow.ly",0.0103789668269592
3,"happens",0.0103789668269592
3,"night",0.0103789668269592
3,"rt",0.0103789668269592
3,"running",0.0103789668269592
3,"dakota",0.0103789668269592
3,"must",0.0103789668269592
3,"lunch",0.0103789668269592
3,"meet",0.0103789668269592
4,"know",0.0245996238437053
4,"new",0.0186020520278509
4,"want",0.0186020520278509
4,"first",0.0180739216694302
4,"love",0.0124013680185673
4,"ravelry",0.0124013680185673
4,"dontstopbelieving",0.0124013680185673
4,"infectious",0.0124013680185673
4,"comes",0.0124013680185673
4,"cloud",0.0124013680185673
4,"happy",0.0124013680185673
4,"federal",0.0124013680185673
4,"ow.ly",0.0124013680185673
4,"meganjoysings",0.0124013680185673
4,"online",0.0124013680185673
4,"cool",0.0124013680185673
4,"hours",0.0124013680185673
4,"agency",0.0124013680185673
4,"management",0.0124013680185673
4,"fictoris",0.0124013680185673
4,"b",0.0124013680185673
5,"warriorsmedia",0.0921052631518729
5,"memorial",0.0263157894719637
5,"appendix",0.0197368421039728
5,"point",0.0197368421039728
5,"roberts",0.0197368421039728
5,"wa",0.0197368421039728
5,"today",0.0131578947359818
5,"dedication",0.0131578947359818
5,"fallen",0.0131578947359818
5,"nd",0.0131578947359818
5,"ow.ly",0.0131578947359818
5,"one",0.0131578947359818
5,"su.pr",0.0131578947359818
5,"1zkqxw",0.0131578947359818
5,"america’s",0.0131578947359818
6,"get",0.035367610069216
6,"call",0.0237257647234789
6,"now",0.0177943235426091
6,"woodstargh",0.0177943235426091
6,"drop",0.0177943235426091
6,"little",0.0177943235426091
6,"work",0.0173281204668205
6,"going",0.0118628823617394
6,"time",0.0118628823617394
6,"someone",0.0118628823617394
6,"hate",0.0118628823617394
6,"people",0.0118628823617394
6,"transfer",0.0118628823617394
6,"crap",0.0118628823617394
6,"friday",0.0118628823617394
6,"one",0.0118628823617394
6,"wait",0.0118628823617394
6,"cold",0.0118628823617394
6,"saranitschke",0.0118628823617394
6,"mjpbecker",0.0118628823617394
7,"day",0.0640655491474375
7,"tip",0.061733235340934
7,"emergency",0.0398654219494296
7,"femainfocus",0.037371569886156
7,"get",0.0166548237175813
7,"plan",0.0160163922645255
7,"work",0.0160163922645255
7,"weekend",0.0160163922645255
7,"preparedness",0.012705624669461
7,"first",0.0111323158046941
8,"freshbooks",0.0197360639748339
8,"can",0.0185581742788323
8,"cloud",0.0148020479811254
8,"wanna",0.0148020479811254
8,"ow.ly",0.0148020479811254
8,"app",0.0148020479811254
8,"love",0.00986803198741695
8,"club",0.00986803198741695
8,"join",0.00986803198741695
8,"going",0.00986803198741695
8,"new",0.00986803198741695
8,"posted",0.00986803198741695
8,"kanye",0.00986803198741695
8,"west",0.00986803198741695
8,"talking",0.00986803198741695
8,"song",0.00986803198741695
8,"rt",0.00986803198741695
8,"go",0.00986803198741695
8,"friend",0.00986803198741695
8,"quit",0.00986803198741695
8,"self",0.00986803198741695
8,"around",0.00986803198741695
8,"mind",0.00986803198741695
8,"guy",0.00986803198741695
8,"old",0.00986803198741695
8,"seriously",0.00986803198741695
9,"state",0.025085570845797
9,"like",0.0188141781343477
9,"much",0.0188141781343088
9,"beer",0.018813655947334
9,"now",0.0158528916182697
9,"can",0.0140399439359239
9,"plan",0.0125427854228985
9,"love",0.0125427854228985
9,"cross",0.0125427854228985
9,"fingers",0.0125427854228985
9,"know",0.0125427854228985
9,"tip",0.0125427854228985
9,"hi",0.0125427854228985
9,"sdcc",0.0125427854228985
9,"just",0.0125427854228985
9,"disaster",0.0125427854228985
9,"femainfocus",0.0125427854228985
9,"tinyurl.com",0.0125427854228985
9,"tried",0.0125427854228985
9,"penn",0.0125427854228985
