"topic","term","beta"
1,"want",0.0290255516075624
1,"ya",0.0213872485529438
1,"lmao",0.0198595660075236
1,"like",0.0183171188411439
1,"lol",0.0168384408098914
1,"just",0.0145463608069734
1,"u",0.0122212848873965
1,"love",0.00942083373103758
1,"tumblr.com",0.00940771530242302
1,"hit",0.00916596366554735
1,"new",0.00916596366554735
2,"video",0.0309353234038346
2,"life",0.0282488739165009
2,"youtube",0.0227336019884786
2,"time",0.0179242439994891
2,"now",0.0165184465583872
2,"favorited",0.0134518447246465
2,"well",0.012875708037273
2,"spent",0.0107614757797172
2,"train",0.0107614757797172
2,"dave",0.0107614757797172
3,"one",0.0304130688891935
3,"just",0.0288127048229863
3,"like",0.0156381820947452
3,"got",0.0142318294118625
3,"lol",0.014102239853739
3,"bit",0.0125336095185048
3,"little",0.0112049465083637
3,"new",0.00976032336905926
3,"twitter",0.00919828815264532
3,"first",0.00860343013408906
4,"music",0.0256454739978428
4,"nj.com",0.0249805518638134
4,"good",0.0210821683381322
4,"jersey",0.0187354138978601
4,"journal",0.0124902759319067
4,"ledger",0.012490275931906
4,"star",0.0124902759319045
4,"family",0.0109289914404184
4,"morning",0.0109243966079628
4,"tinyurl.com",0.00979790586354979
5,"u",0.058830633917428
5,"back",0.0288932565028449
5,"lol",0.0287537314096442
5,"im",0.0271434807805121
5,"go",0.0208666567765209
5,"man",0.0160541741849948
5,"pretty",0.0143643042657577
5,"now",0.0132054306224331
5,"ya",0.0128433468323128
5,"buy",0.0128433466812494
6,"love",0.017835732150458
6,"going",0.0139327169625405
6,"know",0.011350626473956
6,"monkiekitty",0.0108448237655087
6,"work",0.00989600450743281
6,"please",0.0092955632275789
6,"lil",0.0092955632275789
6,"ur",0.00914921572760844
6,"b",0.00774630268964909
6,"omg",0.00774628433340712
7,"make",0.0282418605554348
7,"money",0.0266067569465094
7,"happy",0.0132796805640004
7,"rt",0.0126720910758745
7,"now",0.0116404561641046
7,"college",0.0116404561641041
7,"1koegx",0.0106821310388111
7,"da",0.0099775338549468
7,"reporter",0.0099775338549468
7,"hudson",0.00997753385494679
8,"day",0.0253129511113644
8,"tinyurl.com",0.0236925074915043
8,"can",0.0223518751855466
8,"bdavid18a",0.0204588876553016
8,"njcu",0.0138103998174891
8,"give",0.0138103998174891
8,"twit.ac",0.0138103973052434
8,"first",0.0128401391177654
8,"yes",0.0120840998403027
8,"new",0.0105900263176683
9,"rt",0.120386772976458
9,"inventorspot",0.0915807196655575
9,"retwt.me",0.0634020366915398
9,"twitter",0.028625327758486
9,"powerful",0.0281786829736689
9,"free",0.0228951537057074
9,"1koegx",0.0203877874760871
9,"guaranteed",0.0140893414870088
9,"bmad",0.0140893414870084
9,"foursquare",0.0140893414870084
