"topic","term","beta"
1,"dinner",0.125000914054022
1,"yfrog.com",0.124967403978305
1,"big",0.0625026401639722
1,"0pcxqj",0.0625026401639722
1,"chicken",0.0625026401639722
1,"fried",0.0625026401639722
1,"head",0.0625026401639722
1,"hoe",0.0625026401639722
1,"linguini",0.0625026401639722
1,"look",0.0625026401639722
1,"obscene",0.0625026401639722
1,"s",0.0625026401639722
1,"sage",0.0625026401639722
1,"snyde",0.0625026401639722
2,"just",0.024389841854678
2,"look",0.024389841854678
2,"chef",0.024389841854678
2,"five",0.024389841854678
2,"give",0.024389841854678
2,"happens",0.024389841854678
2,"michaelcarrera",0.024389841854678
2,"pot",0.024389841854678
2,"says",0.024389841854678
2,"star",0.024389841854678
2,"ton",0.024389841854678
2,"ass",0.024389841854678
2,"dehydration",0.024389841854678
2,"drained",0.024389841854678
2,"drinking",0.024389841854678
2,"getting",0.024389841854678
2,"kicked",0.024389841854678
2,"still",0.024389841854678
2,"tons",0.024389841854678
2,"water",0.024389841854678
2,"dance",0.024389841854678
2,"benjibc",0.024389841854678
2,"car",0.024389841854678
2,"crash",0.024389841854678
2,"facebook",0.024389841854678
2,"kind",0.024389841854678
2,"trainwreck",0.024389841854678
2,"ways",0.024389841854678
2,"already",0.024389841854678
2,"fun",0.024389841854678
2,"realized",0.024389841854678
2,"regardless",0.024389841854678
2,"way",0.024389841854678
3,"michaelcarrera",0.0454545454545454
3,"around",0.0454545454545454
3,"driving",0.0454545454545454
3,"hillcrest",0.0454545454545454
3,"lol",0.0454545454545454
3,"spekrfreks",0.0454545454545454
3,"wayyyyyysted",0.0454545454545454
3,"ghey",0.0454545454545454
3,"ps",0.0454545454545454
3,"club",0.0454545454545454
3,"bitchin",0.0454545454545454
3,"boggest",0.0454545454545454
3,"huge",0.0454545454545454
3,"lasers",0.0454545454545454
3,"like",0.0454545454545454
3,"lots",0.0454545454545454
3,"non",0.0454545454545454
3,"patrons",0.0454545454545454
3,"place",0.0454545454545454
3,"seen",0.0454545454545454
3,"sound",0.0454545454545454
3,"wharehous",0.0454545454545454
4,"even",0.0666666666666667
4,"super",0.0666666666666667
4,"also",0.0666666666666667
4,"every",0.0666666666666667
4,"fig",0.0666666666666667
4,"fived",0.0666666666666667
4,"guy",0.0666666666666667
4,"high",0.0666666666666667
4,"huh",0.0666666666666667
4,"least",0.0666666666666667
4,"now",0.0666666666666667
4,"ones",0.0666666666666667
4,"straight",0.0666666666666667
4,"though",0.0666666666666667
4,"tired",0.0666666666666667
5,"give",0.0833333333333333
5,"edlectronic",0.0833333333333333
5,"beats",0.0833333333333333
5,"downright",0.0833333333333333
5,"dude",0.0833333333333333
5,"rock",0.0833333333333333
5,"slammin",0.0833333333333333
5,"thanks",0.0833333333333333
5,"tonight",0.0833333333333333
5,"hawt",0.0833333333333333
5,"unclebubb",0.0833333333333333
5,"us",0.0833333333333333
6,"just",0.0952380952380952
6,"spekrfreks",0.0952380952380952
6,"edwin",0.0952380952380952
6,"la",0.0952380952380952
6,"happens",0.0476190476190476
6,"bulletproof",0.0476190476190476
6,"dropped",0.0476190476190476
6,"free",0.0476190476190476
6,"itunes",0.0476190476190476
6,"mix",0.0476190476190476
6,"roux's",0.0476190476190476
6,"single",0.0476190476190476
6,"week",0.0476190476190476
6,"edlectronic",0.0476190476190476
6,"pimp",0.0476190476190476
6,"right",0.0476190476190476
6,"sorry",0.0476190476190476
7,"blade",0.0833333333333333
7,"come",0.0833333333333333
7,"just",0.0416666666666667
7,"friend",0.0416666666666667
7,"got",0.0416666666666667
7,"item",0.0416666666666667
7,"make",0.0416666666666667
7,"mats",0.0416666666666667
7,"need",0.0416666666666667
7,"online",0.0416666666666667
7,"sexy",0.0416666666666667
7,"wuu",0.0416666666666667
7,"www.wowhead.com",0.0416666666666667
7,"one",0.0416666666666667
7,"dance",0.0416666666666667
7,"em",0.0416666666666667
7,"fucks",0.0416666666666667
7,"maybe",0.0416666666666667
7,"places",0.0416666666666667
7,"shows",0.0416666666666667
7,"trilogy",0.0416666666666667
7,"vampires",0.0416666666666667
8,"fat",0.0714285714285714
8,"look",0.0357142857142857
8,"ass",0.0357142857142857
8,"getting",0.0357142857142857
8,"awww",0.0357142857142857
8,"busy",0.0357142857142857
8,"couch",0.0357142857142857
8,"day",0.0357142857142857
8,"havin",0.0357142857142857
8,"laid",0.0357142857142857
8,"mc",0.0357142857142857
8,"minutes",0.0357142857142857
8,"moment",0.0357142857142857
8,"much",0.0357142857142857
8,"sleep",0.0357142857142857
8,"sun",0.0357142857142857
8,"within",0.0357142857142857
8,"one",0.0357142857142857
8,"first",0.0357142857142857
8,"god",0.0357142857142857
8,"move",0.0357142857142857
8,"pictures",0.0357142857142857
8,"see",0.0357142857142857
8,"super",0.0357142857142857
8,"thought",0.0357142857142857
8,"ugh",0.0357142857142857
8,"wants",0.0357142857142857
9,"big",0.0869565217391304
9,"1638453696j",0.0434782608695652
9,"bacon",0.0434782608695652
9,"burger",0.0434782608695652
9,"cheddar",0.0434782608695652
9,"dinner",0.0434782608695652
9,"mashed",0.0434782608695652
9,"potato",0.0434782608695652
9,"really",0.0434782608695652
9,"yfrog.com",0.0434782608695652
9,"getting",0.0434782608695652
9,"spekrfreks",0.0434782608695652
9,"called",0.0434782608695652
9,"club",0.0434782608695652
9,"color",0.0434782608695652
9,"confused",0.0434782608695652
9,"diego",0.0434782608695652
9,"go",0.0434782608695652
9,"one",0.0434782608695652
9,"ready",0.0434782608695652
9,"san",0.0434782608695652
9,"spin",0.0434782608695652
