"topic","term","beta"
1,"great",0.0272478594874469
1,"time",0.0225155272474405
1,"see",0.0181652396582979
1,"dont",0.0181644902089073
1,"something",0.0180437360614922
1,"work",0.0175788417833427
1,"know",0.0152610946187825
1,"like",0.0136239297437234
1,"much",0.0136239297437234
1,"story",0.0136239297437234
1,"else",0.0136239297437234
1,"let",0.0136239297437234
2,"fred",0.0653811476897507
2,"watching",0.0326955406768127
2,"miles",0.0326955406768127
2,"vero",0.0326955406764744
2,"hurricane",0.0280247491515537
2,"models",0.0233539576262948
2,"pressure",0.0186831661010358
2,"prediction",0.0140123745757769
2,"florida",0.0140123745757769
2,"still",0.0140123745756299
3,"thanks",0.044913722689906
3,"post",0.0349328954271173
3,"much",0.029942481794672
3,"rt's",0.029942481794672
3,"right",0.0291414408441633
3,"appreciated",0.0199616545297813
3,"rickross10",0.0199616545297813
3,"wrong",0.0192189150716911
3,"day",0.014971240897336
3,"feels",0.014971240897336
3,"hate",0.014971240897336
4,"like",0.0196868345770142
4,"best",0.0147651259327606
4,"less",0.0147651259327606
4,"thing",0.0141806958945181
4,"rt",0.00984341728850708
4,"students",0.00984341728850708
4,"day",0.00984341728850708
4,"great",0.00984341728850708
4,"thanks",0.00984341728850708
4,"ap",0.00984341728850708
4,"belated",0.00984341728850708
4,"biggie",0.00984341728850708
4,"client",0.00984341728850708
4,"defines",0.00984341728850708
4,"list",0.00984341728850708
4,"replying",0.00984341728850708
4,"spideas",0.00984341728850708
4,"left",0.00984341728850708
4,"excellent",0.00984341728850708
4,"businessweek",0.00984341728850708
4,"companies",0.00984341728850708
4,"eschreyer",0.00984341728850708
4,"insights",0.00984341728850708
4,"tops",0.00984341728850708
4,"trust",0.00984341728850708
4,"v1u9w",0.00984341728850708
4,"really",0.00984341728850708
4,"hope",0.00984341728850708
4,"ever",0.00984341728850708
4,"even",0.00984341728850708
4,"sucked",0.00984341728850708
4,"fall",0.00984341728850708
4,"imtheantitwitt",0.00984341728850708
4,"sounds",0.00984341728850708
4,"movie",0.00984341728850708
4,"power",0.00984341728850708
5,"last",0.034640047699072
5,"like",0.0263458972753926
5,"can",0.0226634661214797
5,"night",0.0226634661214796
5,"max",0.0179079507125086
5,"just",0.0135980796728878
5,"please",0.0135980796728878
5,"tweet",0.0135980796728878
5,"ever",0.0134460413478911
5,"finally",0.00906538644859187
5,"fuck",0.00906538644859187
5,"metro",0.00906538644859187
5,"people",0.00906538644859187
5,"thanks",0.00906538644859187
5,"comment",0.00906538644859187
5,"left",0.00906538644859187
5,"comments",0.00906538644859187
5,"pamwyess",0.00906538644859187
5,"rts",0.00906538644859187
5,"wallybock",0.00906538644859187
5,"problems",0.00906538644859187
5,"recently",0.00906538644859187
5,"reply",0.00906538644859187
5,"site",0.00906538644859187
5,"tried",0.00906538644859187
5,"www.randomactsofleadership.com",0.00906538644859187
5,"rick",0.00906538644859187
5,"rolled",0.00906538644859187
5,"maybe",0.00906538644859187
5,"winterlites",0.00906538644859187
5,"today",0.00906538644859187
5,"love",0.00906538644859187
5,"glennbeck",0.00906538644859187
5,"oh",0.00906538644859187
5,"know",0.00906538644859187
5,"douche",0.00906538644859187
5,"twitter",0.00906538644859187
6,"go",0.0257350485178816
6,"life",0.0214458737691461
6,"rt",0.0171566990153169
6,"great",0.0128675242614877
6,"good",0.0128675242614877
6,"think",0.0128675242614877
6,"time",0.0126077169911432
6,"just",0.0121166932265065
6,"can",0.00857834950765845
6,"tiff",0.00857834950765845
6,"3obzq8",0.00857834950765845
6,"bridge",0.00857834950765845
6,"laurinda",0.00857834950765845
6,"laurindab",0.00857834950765845
6,"nowhere",0.00857834950765845
6,"stuff",0.00857834950765845
6,"susanmazza",0.00857834950765845
6,"thanks",0.00857834950765845
6,"via",0.00857834950765845
6,"world",0.00857834950765845
6,"someone",0.00857834950765845
6,"country",0.00857834950765845
6,"cross",0.00857834950765845
6,"days",0.00857834950765845
6,"distance",0.00857834950765845
6,"drmolliemarti",0.00857834950765845
6,"meet",0.00857834950765845
6,"mental",0.00857834950765845
6,"physical",0.00857834950765845
6,"running",0.00857834950765845
6,"shirt",0.00857834950765845
6,"son's",0.00857834950765845
6,"true",0.00857834950765845
6,"crashing",0.00857834950765845
6,"hope",0.00857834950765845
6,"get",0.00857834950765845
6,"hahaha",0.00857834950765845
6,"song",0.00857834950765845
6,"wanted",0.00857834950765845
7,"need",0.028072169739176
7,"love",0.028072169739176
7,"feel",0.0277229468395339
7,"like",0.019377708757263
7,"owhhp",0.0187147798261173
7,"curiosity",0.0187147798261173
7,"want",0.0187147798261173
7,"life",0.014036084869588
7,"well",0.014036084869588
7,"go",0.014036084869588
7,"weekend",0.014036084869588
7,"get",0.014036084869588
7,"weeks",0.014036084869588
8,"im",0.0408918938289914
8,"rt",0.0306689203719667
8,"just",0.0306689203719667
8,"one",0.0255574336433056
8,"vision",0.0204459469146445
8,"post",0.0204459469146445
8,"wonderful",0.0204459469146445
8,"comment",0.0204459469146445
8,"monedays",0.0204459469146445
8,"home",0.0153344601859834
9,"rt",0.0514285714285714
9,"democracy",0.0228571428571429
9,"wait",0.0228571428571429
9,"world",0.0171428571428571
9,"thought",0.0171428571428571
9,"need",0.0114285714285714
9,"anne",0.0114285714285714
9,"frank",0.0114285714285714
9,"goforno",0.0114285714285714
9,"improve",0.0114285714285714
9,"leadtoday",0.0114285714285714
9,"moment",0.0114285714285714
9,"nobody",0.0114285714285714
9,"single",0.0114285714285714
9,"starting",0.0114285714285714
9,"wonderful",0.0114285714285714
9,"elizweiland",0.0114285714285714
9,"frances",0.0114285714285714
9,"gullmaj",0.0114285714285714
9,"it’s",0.0114285714285714
9,"lappé",0.0114285714285714
9,"moore",0.0114285714285714
9,"must",0.0114285714285714
9,"never",0.0114285714285714
9,"save",0.0114285714285714
9,"take",0.0114285714285714
9,"really",0.0114285714285714
9,"easy",0.0114285714285714
9,"oh",0.0114285714285714
9,"retwt.me",0.0114285714285714
9,"rainbowparfait",0.0114285714285714
9,"updated",0.0114285714285714
