"topic","term","beta"
1,"rain",0.0721361111576883
1,"pm",0.0689254256837009
1,"f",0.0668277504214138
1,"mph",0.0668266772374825
1,"nc",0.0668256844112902
1,"statesville",0.0668247658766468
1,"temp",0.0668239160422022
1,"today",0.0668231297473453
1,"weather",0.066822402223356
1,"wind",0.0668217290594675
2,"rt",0.04
2,"w",0.04
2,"just",0.04
2,"red",0.04
2,"tinyurl.com",0.04
2,"mch642",0.04
2,"virgotex",0.04
2,"good",0.02
2,"dawn",0.02
2,"heck",0.02
2,"jchawes",0.02
2,"scared",0.02
2,"thru",0.02
2,"hate",0.02
2,"new",0.02
2,"added",0.02
2,"bad",0.02
2,"commentary",0.02
2,"fun",0.02
2,"project",0.02
2,"retweet",0.02
2,"adding",0.02
2,"confusing",0.02
2,"either",0.02
2,"fix",0.02
2,"previous",0.02
2,"think",0.02
2,"tweet",0.02
2,"understand",0.02
2,"users",0.02
2,"via",0.02
2,"yr",0.02
2,"carpet",0.02
2,"designers",0.02
2,"dresses",0.02
2,"emmys",0.02
2,"fashion",0.02
2,"flipped",0.02
2,"gallery",0.02
2,"impressed",0.02
2,"lose",0.02
2,"mojo",0.02
2,"wtf",0.02
3,"80s",0.0263157894736842
3,"tamiheim",0.0263157894736842
3,"yes",0.0263157894736842
3,"tell",0.0263157894736842
3,"loved",0.0263157894736842
3,"work",0.0263157894736842
3,"andygifford",0.0263157894736842
3,"rt",0.0131578947368421
3,"w",0.0131578947368421
3,"indeed",0.0131578947368421
3,"rachel",0.0131578947368421
3,"rachelrandolph",0.0131578947368421
3,"thanks",0.0131578947368421
3,"jamiepruitt",0.0131578947368421
3,"fb",0.0131578947368421
3,"just",0.0131578947368421
3,"read",0.0131578947368421
3,"ah",0.0131578947368421
3,"football",0.0131578947368421
3,"counsel",0.0131578947368421
3,"good",0.0131578947368421
3,"might",0.0131578947368421
3,"need",0.0131578947368421
3,"nights",0.0131578947368421
3,"o",0.0131578947368421
3,"thing",0.0131578947368421
3,"tried",0.0131578947368421
3,"week",0.0131578947368421
3,"zolla",0.0131578947368421
3,"charts",0.0131578947368421
3,"chippendale",0.0131578947368421
3,"chris",0.0131578947368421
3,"farley",0.0131578947368421
3,"skit",0.0131578947368421
3,"snl",0.0131578947368421
3,"swayze's",0.0131578947368421
3,"come",0.0131578947368421
3,"highlight",0.0131578947368421
3,"mind",0.0131578947368421
3,"said",0.0131578947368421
3,"bad",0.0131578947368421
3,"think",0.0131578947368421
3,"noonan",0.0131578947368421
3,"libbyspencer",0.0131578947368421
3,"tv",0.0131578947368421
3,"damn",0.0131578947368421
3,"get",0.0131578947368421
3,"kids",0.0131578947368421
3,"lawn",0.0131578947368421
3,"literally",0.0131578947368421
3,"lol",0.0131578947368421
3,"make",0.0131578947368421
3,"offa",0.0131578947368421
3,"snausages",0.0131578947368421
3,"annoyance",0.0131578947368421
3,"click",0.0131578947368421
3,"joke",0.0131578947368421
3,"journalism",0.0131578947368421
3,"peggy",0.0131578947368421
3,"stormkite",0.0131578947368421
3,"worth",0.0131578947368421
3,"yr",0.0131578947368421
3,"copy",0.0131578947368421
3,"farm",0.0131578947368421
3,"living",0.0131578947368421
3,"missed",0.0131578947368421
3,"ran",0.0131578947368421
3,"shit",0.0131578947368421
3,"worse",0.0131578947368421
4,"thanks",0.0352941176470588
4,"leg",0.0235294117647059
4,"dog's",0.0235294117647059
4,"happy",0.0235294117647059
4,"miss",0.0235294117647059
4,"funny",0.0235294117647059
4,"pearlagogo",0.0235294117647059
4,"going",0.0117647058823529
4,"jamiepruitt",0.0117647058823529
4,"rumors",0.0117647058823529
4,"start",0.0117647058823529
4,"weird",0.0117647058823529
4,"amputate",0.0117647058823529
4,"dog",0.0117647058823529
4,"hind",0.0117647058823529
4,"how'd",0.0117647058823529
4,"may",0.0117647058823529
4,"missing",0.0117647058823529
4,"mobile",0.0117647058823529
4,"relatively",0.0117647058823529
4,"bellafefilms",0.0117647058823529
4,"just",0.0117647058823529
4,"ken",0.0117647058823529
4,"like",0.0117647058823529
4,"limb",0.0117647058823529
4,"lost",0.0117647058823529
4,"read",0.0117647058823529
4,"traumatized",0.0117647058823529
4,"absence",0.0117647058823529
4,"jendeshler",0.0117647058823529
4,"office",0.0117647058823529
4,"sound",0.0117647058823529
4,"years",0.0117647058823529
4,"good",0.0117647058823529
4,"thing",0.0117647058823529
4,"actually",0.0117647058823529
4,"art",0.0117647058823529
4,"chairs",0.0117647058823529
4,"cool",0.0117647058823529
4,"doggy",0.0117647058823529
4,"pretty",0.0117647058823529
4,"researching",0.0117647058823529
4,"state",0.0117647058823529
4,"wheel",0.0117647058823529
4,"work",0.0117647058823529
4,"ur",0.0117647058823529
4,"hate",0.0117647058823529
4,"mention",0.0117647058823529
4,"much",0.0117647058823529
4,"patriots",0.0117647058823529
4,"ummmm",0.0117647058823529
4,"andygifford",0.0117647058823529
4,"missed",0.0117647058823529
4,"better",0.0117647058823529
4,"elegance",0.0117647058823529
4,"glad",0.0117647058823529
4,"let",0.0117647058823529
4,"now",0.0117647058823529
4,"rip",0.0117647058823529
4,"simple",0.0117647058823529
4,"yikes",0.0117647058823529
4,"look",0.0117647058823529
4,"appreciating",0.0117647058823529
4,"crazies",0.0117647058823529
4,"got",0.0117647058823529
4,"rest",0.0117647058823529
4,"ricksanchezcnn",0.0117647058823529
4,"truth",0.0117647058823529
4,"upset",0.0117647058823529
4,"us",0.0117647058823529
4,"validation",0.0117647058823529
4,"want",0.0117647058823529
4,"wow",0.0117647058823529
4,"avatar",0.0117647058823529
4,"young",0.0117647058823529
4,"birthday",0.0117647058823529
4,"oh",0.0117647058823529
5,"rain",0.115560995413552
5,"wind",0.0737947853776689
5,"weather",0.073793704650446
5,"today",0.0737925366511017
5,"temp",0.0737912742983947
5,"statesville",0.0737899099364098
5,"nc",0.0737884352800726
5,"mph",0.0737868413527811
5,"f",0.0737851184156045
5,"66.5",0.0301788931399578
6,"know",0.0454545454545455
6,"rt",0.0227272727272727
6,"w",0.0227272727272727
6,"works",0.0227272727272727
6,"time",0.0227272727272727
6,"admission",0.0227272727272727
6,"anyway",0.0227272727272727
6,"first",0.0227272727272727
6,"hell",0.0227272727272727
6,"knows",0.0227272727272727
6,"one",0.0227272727272727
6,"recovery",0.0227272727272727
6,"saying",0.0227272727272727
6,"step",0.0227272727272727
6,"stringsandwood",0.0227272727272727
6,"pretty",0.0227272727272727
6,"amen",0.0227272727272727
6,"chrissligh",0.0227272727272727
6,"bills",0.0227272727272727
6,"foxboro",0.0227272727272727
6,"house",0.0227272727272727
6,"impressive",0.0227272727272727
6,"takin",0.0227272727272727
6,"b",0.0227272727272727
6,"get",0.0227272727272727
6,"actor",0.0227272727272727
6,"becuz",0.0227272727272727
6,"dead",0.0227272727272727
6,"guess",0.0227272727272727
6,"moves",0.0227272727272727
6,"older",0.0227272727272727
6,"remember",0.0227272727272727
6,"tribute",0.0227272727272727
6,"disagree",0.0227272727272727
6,"full",0.0227272727272727
6,"invite",0.0227272727272727
6,"joe",0.0227272727272727
6,"joenbc",0.0227272727272727
6,"maddow",0.0227272727272727
6,"morning",0.0227272727272727
6,"people",0.0227272727272727
6,"shocking",0.0227272727272727
6,"urself",0.0227272727272727
7,"rain",0.0754716981132075
7,"showers",0.0754716981132075
7,"show",0.0377358490566038
7,"months",0.0377358490566038
7,"today",0.0377358490566038
7,"weather",0.0377358490566038
7,"chance",0.0377358490566038
7,"county",0.0377358490566038
7,"forecast",0.0377358490566038
7,"iredell",0.0377358490566038
7,"likely",0.0377358490566038
7,"nqeq9j",0.0377358490566038
7,"tinyurl.com",0.0377358490566038
7,"tomorrow",0.0377358490566038
8,"u",0.0689655172413793
8,"rt",0.0344827586206897
8,"watch",0.0344827586206897
8,"gottalaff",0.0344827586206897
8,"know",0.0344827586206897
8,"ppl",0.0344827586206897
8,"tv",0.0344827586206897
8,"closer.what",0.0172413793103448
8,"comes",0.0172413793103448
8,"conflict",0.0172413793103448
8,"correctly",0.0172413793103448
8,"grow",0.0172413793103448
8,"handled",0.0172413793103448
8,"intimacy",0.0172413793103448
8,"isnt",0.0172413793103448
8,"marriage",0.0172413793103448
8,"path",0.0172413793103448
8,"pretending",0.0172413793103448
8,"problem",0.0172413793103448
8,"r",0.0172413793103448
8,"rickwarren",0.0172413793103448
8,"thru",0.0172413793103448
8,"ur",0.0172413793103448
8,"via",0.0172413793103448
8,"b",0.0172413793103448
8,"boorish",0.0172413793103448
8,"highpaid",0.0172413793103448
8,"hvd64",0.0172413793103448
8,"least",0.0172413793103448
8,"means",0.0172413793103448
8,"never",0.0172413793103448
8,"noonan",0.0172413793103448
8,"peg",0.0172413793103448
8,"pundit",0.0172413793103448
8,"understood",0.0172413793103448
8,"educate",0.0172413793103448
8,"ha",0.0172413793103448
8,"instead",0.0172413793103448
8,"interesting",0.0172413793103448
8,"learn",0.0172413793103448
8,"libbyspencer",0.0172413793103448
8,"something",0.0172413793103448
8,"emmys",0.0172413793103448
8,"care",0.0172413793103448
8,"enough",0.0172413793103448
8,"little",0.0172413793103448
8,"shows",0.0172413793103448
8,"wins",0.0172413793103448
8,"xfrosch",0.0172413793103448
9,"become",0.027027027027027
9,"reason",0.027027027027027
9,"old",0.027027027027027
9,"w",0.0135135135135135
9,"carol1069",0.0135135135135135
9,"due",0.0135135135135135
9,"family",0.0135135135135135
9,"far",0.0135135135135135
9,"fb",0.0135135135135135
9,"touch",0.0135135135135135
9,"weird",0.0135135135135135
9,"whatever",0.0135135135135135
9,"works",0.0135135135135135
9,"aha",0.0135135135135135
9,"bullying",0.0135135135135135
9,"live",0.0135135135135135
9,"lnobles",0.0135135135135135
9,"scars",0.0135135135135135
9,"side",0.0135135135135135
9,"still",0.0135135135135135
9,"story",0.0135135135135135
9,"vuq4a",0.0135135135135135
9,"just",0.0135135135135135
9,"like",0.0135135135135135
9,"first",0.0135135135135135
9,"good",0.0135135135135135
9,"thing",0.0135135135135135
9,"comes",0.0135135135135135
9,"ratings",0.0135135135135135
9,"assertions",0.0135135135135135
9,"bombarded",0.0135135135135135
9,"false",0.0135135135135135
9,"grads",0.0135135135135135
9,"jaketapper",0.0135135135135135
9,"making",0.0135135135135135
9,"michellemalkinmath",0.0135135135135135
9,"school",0.0135135135135135
9,"tweets",0.0135135135135135
9,"tv",0.0135135135135135
9,"anymore",0.0135135135135135
9,"barrymore",0.0135135135135135
9,"drew",0.0135135135135135
9,"idea",0.0135135135135135
9,"kid",0.0135135135135135
9,"look",0.0135135135135135
9,"us",0.0135135135135135
9,"remember",0.0135135135135135
9,"color",0.0135135135135135
9,"ducyn",0.0135135135135135
9,"saw",0.0135135135135135
9,"disappear",0.0135135135135135
9,"fundies",0.0135135135135135
9,"heaven",0.0135135135135135
9,"mean",0.0135135135135135
9,"pray",0.0135135135135135
9,"rapture",0.0135135135135135
9,"tmrw",0.0135135135135135
9,"willing",0.0135135135135135
9,"break",0.0135135135135135
9,"court",0.0135135135135135
9,"ergg04",0.0135135135135135
9,"hearing",0.0135135135135135
9,"hopefully",0.0135135135135135
9,"keep",0.0135135135135135
9,"luck",0.0135135135135135
9,"middle",0.0135135135135135
9,"ntoddpax",0.0135135135135135
9,"posted",0.0135135135135135
9,"ready",0.0135135135135135
9,"s",0.0135135135135135
9,"water",0.0135135135135135
