"topic","term","beta"
1,"c",0.025
1,"storms",0.025
1,"go",0.025
1,"close",0.025
1,"compton",0.025
1,"jonathan",0.025
1,"keeps",0.025
1,"kiffin",0.025
1,"lose",0.025
1,"one",0.025
1,"prediction",0.025
1,"quarter",0.025
1,"quick",0.025
1,"takes",0.025
1,"away",0.025
1,"beer",0.025
1,"bows",0.025
1,"card",0.025
1,"dog",0.025
1,"drink",0.025
1,"game",0.025
1,"hair",0.025
1,"home",0.025
1,"just",0.025
1,"lap",0.025
1,"man",0.025
1,"must",0.025
1,"pet",0.025
1,"pink",0.025
1,"store",0.025
1,"taken",0.025
1,"walked",0.025
1,"watch",0.025
2,"get",0.0253164556962025
2,"bad",0.0253164556962025
2,"can",0.0253164556962025
2,"see",0.0253164556962025
2,"dat",0.0253164556962025
2,"got",0.0253164556962025
2,"saints",0.0253164556962025
2,"shirt",0.0253164556962025
2,"today",0.0253164556962025
2,"open",0.0253164556962025
2,"bridal",0.0253164556962025
2,"doors",0.0253164556962025
2,"floor",0.0253164556962025
2,"goin",0.0253164556962025
2,"hotel",0.0253164556962025
2,"inside",0.0253164556962025
2,"merchandise",0.0253164556962025
2,"room",0.0253164556962025
2,"show",0.0253164556962025
2,"lose",0.0253164556962025
2,"win",0.0253164556962025
2,"act",0.0253164556962025
2,"annual",0.0253164556962025
2,"every",0.0253164556962025
2,"losing",0.0253164556962025
2,"mikerandallteam",0.0253164556962025
2,"pac",0.0253164556962025
2,"suprised",0.0253164556962025
2,"team",0.0253164556962025
2,"th",0.0253164556962025
2,"thing",0.0253164556962025
2,"usc",0.0253164556962025
2,"willy",0.0253164556962025
2,"year",0.0253164556962025
2,"bitch",0.0253164556962025
2,"cut",0.0253164556962025
3,"way",0.0606060606060606
3,"jasper",0.0505050505050505
3,"tx",0.0303030303030303
3,"defense",0.0202020202020202
3,"around",0.0202020202020202
3,"better",0.0202020202020202
3,"either",0.0202020202020202
3,"get",0.0202020202020202
3,"go",0.0202020202020202
3,"long",0.0202020202020202
3,"looks",0.0202020202020202
3,"mullen",0.0202020202020202
3,"offense",0.0202020202020202
3,"things",0.0202020202020202
3,"think",0.0202020202020202
3,"turned",0.0202020202020202
3,"atlanta",0.0202020202020202
3,"training",0.0202020202020202
3,"week",0.0202020202020202
3,"place",0.0202020202020202
3,"1st",0.0202020202020202
3,"cokdo",0.0202020202020202
3,"faircloth",0.0202020202020202
3,"rmstringer",0.0202020202020202
3,"todd",0.0202020202020202
4,"difference",0.0404040403015307
4,"big",0.0404040403015307
4,"can",0.030303030226148
4,"j.mp",0.030303030226148
4,"already",0.0202020201507653
4,"amazing",0.0202020201507653
4,"bad",0.0202020201507653
4,"coaching",0.0202020201507653
4,"lost",0.0202020201507653
4,"see",0.0202020201507653
4,"special",0.0202020201507653
4,"teams",0.0202020201507653
4,"damn",0.0202020201507653
4,"pretty",0.0202020201507653
4,"wasnt",0.0202020201507653
4,"win",0.0202020201507653
4,"hospital",0.0202020201507653
5,"new",0.027972027972028
5,"jasper",0.020979020979021
5,"alert",0.020979020979021
5,"tx",0.020979020979021
5,"rt",0.020979020979021
5,"hospital",0.020979020979021
5,"flatbed",0.020979020979021
5,"load",0.020979020979021
5,"osb",0.020979020979021
5,"ready",0.020979020979021
5,"j.mp",0.020979020979021
6,"byu",0.0344827586206897
6,"good",0.0344827586206897
6,"can",0.0258620689655173
6,"thanks",0.0258620689655173
6,"j.mp",0.0258620689655173
