"topic","term","beta"
1,"just",0.0188345565535072
1,"new",0.0151514316699758
1,"man",0.015082766778186
1,"blog",0.0126261930583131
1,"need",0.0126261930583131
1,"moving",0.0126261930583131
1,"amazing",0.0126261930583131
1,"haha",0.0117863177290055
1,"query",0.0101009544466505
1,"play",0.0101009544466505
1,"across",0.0101009544466505
1,"amounts",0.0101009544466505
1,"arkansas",0.0101009544466505
1,"continue",0.0101009544466505
1,"kf.htm",0.0101009544466505
1,"mph",0.0101009544466505
1,"north",0.0101009544466505
1,"northwest",0.0101009544466505
1,"pm",0.0101009544466505
1,"rainfall",0.0101009544466505
1,"s3z.us",0.0101009544466505
1,"scattered",0.0101009544466505
1,"showers",0.0101009544466505
1,"wi",0.0101009544466505
2,"night",0.0168302969876761
2,"today",0.0165603822727413
2,"twitpic.com",0.014454401001352
2,"getting",0.0120453341677933
2,"even",0.00963626733423466
2,"like",0.00963626733423466
2,"love",0.00963626733423466
2,"francocarp",0.00963626733423466
2,"johnfwarrenjr",0.00963626733423466
2,"finally",0.00963626733423465
3,"u",0.0223902944149303
3,"thank",0.0196012637601625
3,"one",0.0195882467743695
3,"like",0.018662916479488
3,"haha",0.0174397680282704
3,"yeah",0.0170171893031638
3,"andrewindie",0.0152597970247366
3,"allaboutcj",0.0141246057160693
3,"need",0.0130798260212028
3,"girl",0.0130798260212028
4,"game",0.0222989757971129
4,"want",0.0179342062020051
4,"still",0.0155242452775356
4,"go",0.0112718147894943
4,"like",0.010858550861998
4,"today",0.0107599746269247
4,"love",0.00901745183159543
4,"time",0.00896009145192333
4,"feel",0.00874451855450202
4,"football",0.00719521630787892
5,"good",0.0358522116129432
5,"day",0.0282162748428385
5,"going",0.026788623914422
5,"come",0.0179261010345443
5,"just",0.0177728092496504
5,"really",0.0156853420602681
5,"music",0.0155000521461404
5,"oh",0.0144183496341672
5,"bed",0.0126176079173429
5,"time",0.0122856585600371
6,"back",0.027543210290037
6,"ow.ly",0.0131105665243908
6,"much",0.0104884532194709
6,"put",0.0102749652736258
6,"like",0.00949790443292688
6,"allaboutcj",0.00903508673345596
6,"hot",0.00786633991463448
6,"just",0.00786633991463448
6,"home",0.00786633991463448
6,"david",0.00786633991463448
6,"freedom",0.00786633991463448
6,"horowitz",0.00786633991463448
6,"going",0.00786633991463448
6,"week",0.00786633991463448
6,"move",0.00786633991463448
6,"life",0.00786633991463448
6,"free",0.00786633991463448
7,"go",0.0368248584100821
7,"now",0.024550251507575
7,"wow",0.0196402012399422
7,"trying",0.0196395550377131
7,"avon",0.014730150954826
7,"ready",0.0147301509548247
7,"d",0.0122751257956884
7,"love",0.0115287259672485
7,"get",0.0104985187830937
7,"just",0.00994603690981083
8,"field",0.060655737704918
8,"airport",0.0590163934426229
8,"ar",0.0590163934426229
8,"bluff",0.0590163934426229
8,"f",0.0590163934426229
8,"grider",0.0590163934426229
8,"lb.htm",0.0590163934426229
8,"pine",0.0590163934426229
8,"pressure",0.0590163934426229
8,"s1z.us",0.0590163934426229
8,"winds",0.0590163934426229
9,"wayne",0.0342765280889374
9,"kasonm",0.0182808149807642
9,"work",0.0156891560576212
9,"phone",0.0137106112355749
9,"get",0.0116585283399209
9,"jakefincher",0.0114255093629791
9,"home",0.011416716391958
9,"good",0.0091404074903833
9,"wish",0.0091404074903833
9,"one",0.0091404074903833
9,"nice",0.0091404074903833
9,"rcskateparty",0.0091404074903833
