"topic","term","beta"
1,"want",0.0405405405405405
1,"time",0.027027027027027
1,"commercial",0.027027027027027
1,"lobster",0.027027027027027
1,"red",0.027027027027027
1,"shrimp",0.027027027027027
1,"thank",0.027027027027027
1,"dinner",0.027027027027027
1,"florence's",0.027027027027027
1,"making",0.027027027027027
1,"meatloaf",0.027027027027027
1,"recipe",0.027027027027027
1,"thedavidcook",0.027027027027027
1,"tonight",0.027027027027027
1,"tyler",0.027027027027027
1,"just",0.027027027027027
1,"always",0.027027027027027
1,"go",0.027027027027027
1,"one",0.027027027027027
2,"kayten",0.0388349514563107
2,"week",0.029126213592233
2,"going",0.029126213592233
2,"day",0.029126213592233
2,"coffee",0.0194174757281553
2,"drinking",0.0194174757281553
2,"eat",0.0194174757281553
2,"lunch",0.0194174757281553
2,"need",0.0194174757281553
2,"stop",0.0194174757281553
2,"brother",0.0194174757281553
2,"glad",0.0194174757281553
2,"hear",0.0194174757281553
2,"actually",0.0194174757281553
2,"hours",0.0194174757281553
2,"rough",0.0194174757281553
2,"tabling",0.0194174757281553
2,"get",0.0194174757281553
2,"hot",0.0194174757281553
2,"tub",0.0194174757281553
3,"work",0.0588235294117647
3,"good",0.0441176470588235
3,"another",0.0441176470588235
3,"going",0.0294117647058823
3,"today",0.0294117647058823
3,"dinner",0.0294117647058823
3,"making",0.0294117647058823
3,"benmeyer",0.0294117647058823
3,"chicken",0.0294117647058823
3,"decimate",0.0294117647058823
3,"hungry",0.0294117647058823
3,"parmasean",0.0294117647058823
3,"10p",0.0294117647058823
3,"6p",0.0294117647058823
3,"7p",0.0294117647058823
3,"9a",0.0294117647058823
3,"building",0.0294117647058823
3,"drowsy",0.0294117647058823
3,"fix",0.0294117647058823
3,"great",0.0294117647058823
3,"helloooo",0.0294117647058823
3,"little",0.0294117647058823
3,"mistake",0.0294117647058823
3,"overtime",0.0294117647058823
3,"slept",0.0294117647058823
3,"still",0.0294117647058823
4,"going",0.0227272727272727
4,"kayten",0.0227272727272727
4,"biorhythmist",0.0227272727272727
4,"cigarettes",0.0227272727272727
4,"herbal",0.0227272727272727
4,"like",0.0227272727272727
4,"yfrog.com",0.0227272727272727
4,"cursed",0.0227272727272727
4,"dad",0.0227272727272727
4,"feisty",0.0227272727272727
4,"knees",0.0227272727272727
4,"lol",0.0227272727272727
4,"nurse",0.0227272727272727
4,"replaced",0.0227272727272727
4,"sounds",0.0227272727272727
4,"0letloj",0.0227272727272727
4,"big",0.0227272727272727
4,"clothes",0.0227272727272727
4,"fit",0.0227272727272727
4,"longer",0.0227272727272727
4,"goodnight",0.0227272727272727
4,"tired",0.0227272727272727
4,"first",0.0227272727272727
4,"meeting",0.0227272727272727
4,"rhapsodymusic1",0.0227272727272727
5,"check",0.0350877192982456
5,"can",0.0263157894736842
5,"found",0.0175438596491228
5,"gutter",0.0175438596491228
5,"played",0.0175438596491228
5,"rocks",0.0175438596491228
5,"slimey",0.0175438596491228
5,"slugs",0.0175438596491228
5,"making",0.0175438596491228
5,"0nsqij",0.0175438596491228
5,"blueberry",0.0175438596491228
5,"scones",0.0175438596491228
5,"scratch",0.0175438596491228
5,"yfrog.com",0.0175438596491228
5,"great",0.0175438596491228
5,"think",0.0175438596491228
5,"show",0.0175438596491228
5,"bamboo",0.0175438596491228
5,"clean",0.0175438596491228
6,"keyc.tv",0.0520833333333333
6,"node",0.0520833333333333
6,"play",0.0208333333333333
6,"yamaha",0.0208333333333333
6,"books",0.0208333333333333
6,"came",0.0208333333333333
6,"mail",0.0208333333333333
6,"moon",0.0208333333333333
6,"new",0.0208333333333333
6,"today",0.0208333333333333
6,"twilight",0.0208333333333333
6,"woohoo",0.0208333333333333
6,"device",0.0208333333333333
6,"medical",0.0208333333333333
6,"pawlenty",0.0208333333333333
6,"somebody",0.0208333333333333
7,"weather",0.125711909598762
7,"keyc.tv",0.0865178141405915
7,"chief",0.0480654523003286
7,"mark",0.0480654523003286
7,"meteorologist",0.0480654523003286
7,"tarello's",0.0480654523003286
7,"new",0.0480653793863835
7,"news",0.0386529105432943
7,"sunshine",0.0384523618402629
7,"six",0.0378075897124064
8,"today",0.0535833027884764
8,"forecast",0.0446527523237304
8,"week",0.0357222018589843
8,"rain",0.0357222018589843
8,"just",0.0267916513942382
8,"saw",0.0267916513942382
8,"weather",0.0261025814752966
8,"billy_burke",0.0178611009294922
8,"episode",0.0178611009294922
8,"fringe",0.0178611009294922
8,"good",0.0178611009294922
8,"lookin",0.0178611009294922
8,"season",0.0178611009294922
8,"day",0.0178611009294922
8,"high",0.0178611009294922
8,"mostly",0.0178611009294922
8,"next",0.0178611009294922
8,"sunny",0.0178611009294922
8,"latest",0.0178611009294922
8,"mark's",0.0178611009294922
8,"fall",0.0178611009294922
8,"ok",0.0178611009294922
9,"happy",0.0283018867863634
9,"tweeting",0.0283018867863634
9,"csu",0.0283018867863634
9,"cream",0.0188679245242423
9,"ice",0.0188679245242423
9,"setting",0.0188679245242423
9,"urg",0.0188679245242423
9,"well",0.0188679245242423
9,"gym",0.0188679245242423
9,"like",0.0188679245242423
9,"mattsanass",0.0188679245242423
9,"wife",0.0188679245242423
9,"yfrog.com",0.0188679245242423
9,"0unbwcj",0.0188679245242423
9,"bags",0.0188679245242423
9,"filled",0.0188679245242423
9,"garbage",0.0188679245242423
9,"day",0.0188679245242423
9,"meeting",0.0188679245242423
9,"pm",0.0188679245242423
9,"school",0.0188679245242423
9,"square",0.0188679245242423
9,"year",0.0188679245242423
