"topic","term","beta"
1,"im",0.0292678321380507
1,"tinyurl.com",0.0220782379088281
1,"us",0.020510853562684
1,"advocate",0.0175807316250443
1,"norwalk",0.0146506096825156
1,"rt",0.0136779521121176
1,"tonight",0.0130800010364957
1,"use",0.0117204877501051
1,"come",0.011720483707691
1,"stamford",0.0101365053409084
2,"house",0.0517280182078854
2,"video",0.0197644406715065
2,"flush",0.0182569476027831
2,"blog",0.0182569476027831
2,"youtube",0.0182569476027831
2,"new",0.0152141230023192
2,"uploaded",0.0152141230023192
2,"compressions",0.0121712984018554
2,"mouth",0.0121712984018554
2,"dig",0.0121712984018554
2,"real",0.0121712984018554
2,"posting",0.0121712984018554
2,"hop",0.0121712984018554
2,"lindy",0.0121712984018554
3,"sold",0.0246730998541972
3,"stamford",0.0219316443164358
3,"now",0.0204344155083379
3,"overbought",0.0164487332373269
3,"portfolio",0.0164487332373269
3,"rt",0.0137072776977724
3,"position",0.0137072776977724
3,"bot",0.0137072776977724
3,"awesome",0.0109658221582179
3,"social",0.0109658221582179
3,"read",0.0109658221582179
3,"huge",0.0109658221582179
3,"winner",0.0109658221582179
4,"lol",0.0280032649208724
4,"take",0.0158412739668901
4,"u",0.0157629133664836
4,"way",0.0156754015958677
4,"borgata",0.0126730191735121
4,"jen",0.0126730191735121
4,"sick",0.0126730191735121
4,"see",0.0126730191735121
4,"nelldamylf",0.0126730191735121
4,"lmao",0.0124251028675362
5,"video",0.0259162863181171
5,"hop",0.0245404545180949
5,"lindy",0.0245404545180949
5,"team",0.0245404545180949
5,"youtube",0.0245404545180949
5,"good",0.0205247446693862
5,"sling",0.013633585843386
5,"viewed",0.013633585843386
5,"week",0.013633585843386
5,"get",0.0109068686747088
5,"american",0.0109068686747088
5,"championships",0.0109068686747088
5,"event",0.0109068686747088
5,"uploaded",0.0109068686747088
5,"alhc",0.0109068686747088
6,"rt",0.0272182669930434
6,"healthcare",0.0260018617973213
6,"just",0.0187618449246451
6,"far",0.0173345745315475
6,"duncanville",0.0173345745315475
6,"women",0.0144454784356324
6,"tinyurl.com",0.0118283030573275
6,"viigo.im",0.0115563830210317
6,"lol",0.0115563830210317
6,"thanks",0.0115563830210317
6,"tx",0.0115563830210317
7,"home",0.0186634215302597
7,"tinyurl.com",0.0167095709466087
7,"manufacturing",0.015420137825696
7,"may",0.0133789483777748
7,"can",0.0133789483777748
7,"go",0.0133789483777748
7,"rt",0.0131405837895874
7,"viigo.im",0.0124538407712657
7,"patient",0.0107031587022198
7,"wash",0.0107031587022198
7,"quiz",0.0107031587022198
7,"jmilsz",0.0107031587022198
7,"morning",0.0107031587022198
7,"game",0.0107031587022198
7,"cambridge",0.0107031587022198
8,"white",0.0592114337237483
8,"plains",0.0501021506191128
8,"f",0.040992668688365
8,"ny",0.040992668688365
8,"airport",0.040992668688365
8,"county",0.040992668688365
8,"ej.htm",0.040992668688365
8,"s1z.us",0.040992668688365
8,"westchester",0.040992668688365
8,"winds",0.040992668688365
9,"viigo.im",0.0379481882252441
9,"new",0.03010239244681
9,"year",0.0200682616312066
9,"show",0.0167235513593389
9,"one",0.0167235513593389
9,"stent",0.0133788410874711
9,"heading",0.0133788410874711
9,"good",0.0133788410874711
9,"sounds",0.0133788410874711
9,"healthy",0.0133788410874711
9,"mi",0.0133788410874711
9,"late",0.0133788410874711
