"topic","term","beta"
1,"live",0.0265671414658503
1,"tinyurl.com",0.0221767204733475
1,"watch",0.0211945756185969
1,"vs",0.0177005577187809
1,"really",0.0153174220886479
1,"thanks",0.0123812132219947
1,"ha",0.0123270404622846
1,"l",0.008838722889649
1,"music",0.0075779157051322
1,"cfb",0.00708457105756051
2,"man",0.0162254707395219
2,"good",0.0150912051215271
2,"twitter",0.014008849164266
2,"tonight",0.0133255414248803
2,"make",0.013040673352949
2,"tumblr.com",0.0105659479456269
2,"old",0.0105544292858053
2,"lol",0.0102245848926682
2,"yes",0.009271920484746
2,"one",0.00921041040069817
3,"joke",0.0255613441813981
3,"day",0.0248906516661885
3,"stan",0.0179620256409824
3,"tinyurl.com",0.0145077899408755
3,"watch",0.0129579071122187
3,"boreme.com",0.0124352485206801
3,"world",0.0123171022362583
3,"trolley",0.009671859960529
3,"trolley's",0.00829016568045344
3,"one",0.00774781399709748
4,"just",0.0133068582660926
4,"lol",0.0126237197928555
4,"can",0.0117558194184639
4,"one",0.011607344091449
4,"like",0.0113321407867459
4,"pakistan",0.010868236867632
4,"bristol",0.00869605901833107
4,"weekend",0.00869458949099136
4,"feel",0.00819293467640711
4,"new",0.00793746911335242
5,"tinyurl.com",0.0417575666203849
5,"see",0.0251230462469392
5,"know",0.0218347594222889
5,"week",0.0174775362939082
5,"west",0.0109260673441614
5,"nice",0.0100779820810078
5,"afc",0.0098334606097453
5,"sure",0.00863851874093101
5,"twitpic.com",0.00819452674780316
5,"game",0.00788535062993094
6,"rt",0.0472853341881827
6,"just",0.017273683714852
6,"way",0.0146394916787587
6,"love",0.0145808851541973
6,"get",0.0137131550020267
6,"got",0.0105984182219305
6,"like",0.0105485208998574
6,"think",0.00715652339261155
6,"well",0.00651406531184212
6,"back",0.0060751289519766
7,"everyone",0.020077293342666
7,"morning",0.015748573478774
7,"good",0.0128117095122709
7,"new",0.012790323087602
7,"x",0.0116469116997107
7,"like",0.0106401860352509
7,"u",0.0104212306533844
7,"follow",0.0101620522588438
7,"today",0.00830032406153662
7,"talk",0.00681261640224183
8,"now",0.0209232501982135
8,"weather",0.0137790672081369
8,"c",0.0137790672081369
8,"north",0.0125808874509337
8,"data",0.0125808874509076
8,"pm",0.0125808874509076
8,"mph",0.0119817975722929
8,"pct",0.0119817975722929
8,"yate",0.0119817975722929
8,"going",0.0102268327798857
9,"great",0.0203944003330716
9,"night",0.0196159233302099
9,"now",0.017149487970198
9,"day",0.0134219719492355
9,"take",0.0110778251276251
9,"today",0.0108455553529032
9,"work",0.0084677353924057
9,"look",0.00844402621576462
9,"evening",0.0084217180224454
9,"time",0.00752955327286224
