"topic","term","beta"
1,"tomorrow",0.035389101914949
1,"awesome",0.0265418264362117
1,"family",0.0265418264362117
1,"work",0.0265418264362117
1,"going",0.0265390801366982
1,"get",0.0265364790728114
1,"night",0.0264348306948072
1,"log",0.0176945509574745
1,"emmy",0.0176945509574745
1,"guy",0.0176945509574745
1,"showing",0.0176945509574745
1,"vote",0.0176945509574745
1,"free",0.0176945509574745
1,"need",0.0176945509574745
1,"boxing",0.0176945509574745
1,"fight",0.0176945509574745
1,"mayweather",0.0176945509574745
1,"theatre",0.0176945509574745
1,"undercard",0.0176945509574745
2,"can",0.0659754492106743
2,"emmys",0.0494815874193872
2,"dance",0.0487518854630258
2,"now",0.0329877249462581
2,"weekend",0.0164938624731291
2,"like",0.0164938624731291
2,"tv",0.0164938624731291
2,"background",0.0164938624731291
2,"looks",0.0164938624731291
2,"think",0.0164938624731291
2,"around",0.0164938624731291
2,"foot",0.0164938624731291
2,"national",0.0164938624731291
2,"shake",0.0164938624731291
2,"ish",0.0164938624731291
2,"short",0.0164938624731291
2,"speech",0.0164938624731291
2,"gameday",0.0164938624731291
2,"great",0.0164938624731291
2,"hate",0.0164938624731291
2,"bed",0.0164938624731291
2,"rawritsdeanna",0.0164938624731291
2,"asleep",0.0164938624731291
3,"emmys",0.0449438361741057
3,"know",0.0449438361741057
3,"want",0.0337078771305793
3,"reality",0.0224719180870529
3,"show",0.0224719180870529
3,"tv",0.0224719180870529
3,"aliens",0.0224719180870529
3,"deserve",0.0224719180870529
3,"extermination",0.0224719180870529
3,"montage",0.0224719180870529
3,"spared",0.0224719180870529
3,"cmerkovskiy",0.0224719180870529
3,"dance",0.0224719180870529
3,"markina",0.0224719180870529
3,"maxsim",0.0224719180870529
3,"routine",0.0224719180870529
3,"smornoff",0.0224719180870529
3,"sorry",0.0224719180870529
3,"sp",0.0224719180870529
3,"good",0.0224719180870529
3,"today",0.0224719180870529
3,"traynor3",0.0224719180870529
3,"kristensrslyx",0.0224719180870529
4,"lowe",0.0764939027160034
4,"rob",0.0764613605754989
4,"alec",0.0512369672692646
4,"look",0.0512369672692646
4,"cool",0.0512369647251201
4,"yes",0.0384277254519484
4,"back",0.0384277254519484
4,"emmys",0.0272532629444092
4,"baldwin",0.0256184836346323
4,"emmy",0.0256184836346323
4,"horrible",0.0256184836346323
4,"jokes",0.0256184836346323
4,"like",0.0256184836346323
4,"orange",0.0256184836346323
4,"tans",0.0256184836346323
4,"trading",0.0256184836346323
4,"w",0.0256184836346323
4,"cam",0.0256184836346323
4,"case",0.0256184836346323
4,"forgot",0.0256184836346323
4,"freaking",0.0256184836346323
4,"traffic",0.0256184836346323
4,"van",0.0256184836346323
4,"video",0.0256184836346323
4,"wow",0.0256184836346323
5,"twitter",0.0375756119344059
5,"trying",0.0373724775513634
5,"makes",0.0281817089508045
5,"emmys",0.0226668757785617
5,"goo",0.018787805967203
5,"cbs",0.018787805967203
5,"color",0.018787805967203
5,"cw",0.018787805967203
5,"green",0.018787805967203
5,"predominate",0.018787805967203
5,"promos",0.018787805967203
5,"using",0.018787805967203
5,"chosing",0.018787805967203
5,"vegas",0.018787805967203
5,"howard",0.018787805967203
5,"ken",0.018787805967203
5,"funny",0.018787805967203
5,"joe",0.018787805967203
5,"joint",0.018787805967203
5,"joke",0.018787805967203
5,"kanye",0.018787805967203
5,"must",0.018787805967203
5,"stopped",0.018787805967203
5,"tuesday",0.018787805967203
5,"wilson",0.018787805967203
5,"night",0.018787805967203
5,"sleep",0.018787805967203
5,"bird",0.018787805967203
5,"michwendysdeals",0.018787805967203
6,"tonight",0.0252789594783817
6,"oh",0.0252789594783817
6,"need",0.0252789594783817
6,"new",0.0252789594727253
6,"think",0.0252789593377277
6,"weekend",0.0168526396522545
6,"like",0.0168526396522545
6,"wins",0.0168526396522545
6,"just",0.0168526396522545
6,"gardens",0.0168526396522545
6,"grey",0.0168526396522545
6,"howard",0.0168526396522545
6,"ken",0.0168526396522545
6,"miniseries",0.0168526396522545
6,"movie",0.0168526396522545
6,"life",0.0168526396522545
6,"without",0.0168526396522545
6,"congrats",0.0168526396522545
6,"friday",0.0168526396522545
6,"fun",0.0168526396522545
6,"great",0.0168526396522545
6,"good",0.0168526396522545
6,"well",0.0168526396522545
6,"god",0.0168526396522545
6,"really",0.0168526396522545
6,"man",0.0168526396522545
6,"time",0.0168526396522545
7,"emmys",0.124826951685765
7,"reality",0.102020404901889
7,"best",0.0680135107648605
7,"outstanding",0.0510102024509445
7,"comedy",0.0510102024504595
7,"actor",0.0510085682266104
7,"spoilers",0.034006801633963
7,"competition",0.034006801633963
7,"host",0.034006801633963
7,"program",0.034006801633963
8,"just",0.0351452166616052
8,"lost",0.0263589124962039
8,"watching",0.0263589124962039
8,"jerk",0.0263589124962039
8,"emmys",0.0240281684386694
8,"saw",0.0175726083308026
8,"grandville",0.0175726083308026
8,"hearing",0.0175726083308026
8,"hhmm",0.0175726083308026
8,"raindrops",0.0175726083308026
8,"raining",0.0175726083308026
8,"wait",0.0175726083308026
8,"wmiwx",0.0175726083308026
8,"awesome",0.0175726083308026
8,"award",0.0175726083308026
8,"s",0.0175726083308026
8,"terrormom",0.0175726083308026
8,"wins",0.0175726083308026
8,"amazing",0.0175726083308026
8,"assumed",0.0175726083308026
8,"btw",0.0175726083308026
8,"everyone",0.0175726083308026
8,"knew",0.0175726083308026
8,"race",0.0175726083308026
8,"won",0.0175726083308026
8,"way",0.0175726083308026
8,"lot",0.0175726083308026
8,"right",0.0175726083308026
8,"cigarettes",0.0175726083308026
8,"rawritsdeanna",0.0175726083308026
9,"jgaler",0.0493389147631313
9,"share",0.0201856668144764
9,"song",0.0201856668144764
9,"need",0.0201856668144764
9,"pic",0.0201856668144764
9,"profile",0.0201856668144764
9,"buy",0.0201856668144764
9,"never",0.0201856668144764
9,"night",0.020176265057649
9,"love",0.0172057945199905
