"topic","term","beta"
1,"just",0.0635389053296975
1,"now",0.0413294811760323
1,"day",0.0318412215148339
1,"go",0.031144476586604
1,"going",0.0263192912781789
1,"right",0.016081509901427
1,"time",0.0155931379968104
1,"first",0.0142053084160571
1,"take",0.0109664820639092
1,"happy",0.00986332647272823
2,"like",0.0415827697312559
2,"get",0.0403047071236065
2,"can",0.0296833476449245
2,"think",0.019738630908389
2,"want",0.0172711969423792
2,"need",0.0172661618307883
2,"come",0.012965196390736
2,"never",0.0110374222056864
2,"know",0.0102953891258421
2,"yeah",0.00987406200516856
3,"good",0.0421211338866297
3,"love",0.0352895856950692
3,"great",0.0261980321795107
3,"show",0.0168670001419199
3,"check",0.0158504153848702
3,"got",0.0138119832194608
3,"book",0.00924071195757153
3,"kids",0.00837380436313574
3,"hate",0.00765604953273301
3,"seattle",0.00742930186926036
4,"rt",0.0452413090922487
4,"last",0.018673773930172
4,"twitter",0.0161504593721777
4,"getting",0.0139330829614197
4,"live",0.011775304171924
4,"hope",0.0104759090278909
4,"house",0.00986381457261913
4,"im",0.00918478439141176
4,"made",0.00911730083148728
4,"bad",0.0084461601302733
5,"one",0.0318467007594063
5,"today",0.0252610959443407
5,"work",0.0199949567618428
5,"still",0.0163687878202916
5,"home",0.0158445566190036
5,"oh",0.0153060844763711
5,"way",0.0153058674040299
5,"tomorrow",0.0135275747322224
5,"well",0.00972943548660956
5,"yes",0.00944747303714281
6,"rt",0.0286332225555601
6,"see",0.0250778946289036
6,"people",0.0187541143441735
6,"via",0.0137026626912789
6,"awesome",0.0113819573785455
6,"always",0.010228588611697
6,"ever",0.00925690313256911
6,"wait",0.00858697547331407
6,"win",0.00779529393677144
6,"food",0.00729822568012386
7,"lol",0.0249956576393143
7,"twitpic.com",0.0217304066580623
7,"tonight",0.0195113023769289
7,"game",0.0171420068263296
7,"week",0.0137006158880912
7,"fun",0.0134408537456107
7,"news",0.00915539007834626
7,"video",0.00847395194059908
7,"play",0.00792155398443931
7,"song",0.00766195828223612
8,"new",0.0351785364445127
8,"tinyurl.com",0.0235242410733591
8,"time",0.0181947412635535
8,"watching",0.0118522872463225
8,"man",0.011223909250379
8,"d",0.0106382702379016
8,"free",0.00973776889757237
8,"blog",0.00958301939433734
8,"looking",0.00911851777224268
8,"year",0.00844987525943757
9,"seattle",0.0337564395599606
9,"u",0.0161200288069354
9,"much",0.0145317864787739
9,"know",0.0143404374688414
9,"better",0.0121785130336549
9,"us",0.0116261180238668
9,"weekend",0.0098724196265776
9,"next",0.00972423315397137
9,"big",0.00941334614359407
9,"say",0.00897632389610249
