"topic","term","beta"
1,"just",0.0257022775630702
1,"now",0.0166955445867439
1,"jimmy",0.0146871926929591
1,"nikkijfox",0.0146871926929591
1,"great",0.0110153945197193
1,"game",0.0110153945197193
1,"time",0.0110153945197193
1,"us",0.0110153945197193
1,"got",0.0110153945197193
1,"live",0.0105713037732317
2,"rt",0.0681287492393651
2,"tweetmeme",0.0463275494828037
2,"forces2canaries",0.0299766496653436
2,"city",0.0299766496653436
2,"blog",0.0299766496650625
2,"norwich",0.0284476755210431
2,"fc",0.0245263497261902
2,"group",0.0245263497261902
2,"official",0.0245263497261902
2,"supporters",0.0245263497261902
3,"great",0.0235751075044412
3,"now",0.0235751074941094
3,"good",0.0134714900025378
3,"house",0.0134714900025378
3,"tinyurl.com",0.0134714900025378
3,"evening",0.0101036175019034
3,"u",0.0101036175019034
3,"tomorrow",0.0101036175019034
3,"food",0.0101036175019034
3,"rachaelpapers",0.0101036175019034
3,"getting",0.0101036175019034
3,"hit",0.0101036175019034
3,"twitter",0.0101036175019034
3,"garden",0.0101036175019034
4,"good",0.0198679375199285
4,"get",0.0173552005564982
4,"back",0.0144626671304152
4,"well",0.0144626671304152
4,"bridal",0.0115701337043321
4,"great",0.0115701337043321
4,"day",0.0115701337043321
4,"night",0.0115369221862156
4,"guinness",0.00867760027824911
4,"u",0.00867760027824911
4,"harrogate",0.00867760027824911
4,"last",0.00867760027824911
4,"right",0.00867760027824911
5,"d",0.0303464589259946
5,"can",0.0238300821395003
5,"night",0.0163247394072495
5,"get",0.0139041178403458
5,"now",0.0135133787474034
5,"line",0.0121385835703978
5,"know",0.0121385835703978
5,"good",0.0121385834559008
5,"frankiechan14",0.0117725159554128
5,"ale",0.00910393767779838
5,"free",0.00910393767779838
5,"tv",0.00910393767779838
5,"birthday",0.00910393767779838
5,"party",0.00910393767779838
5,"house",0.00910393767779838
5,"first",0.00910393767779838
5,"went",0.00910393767779838
5,"working",0.00910393767779838
6,"get",0.0160782249267382
6,"lewisdenby",0.0160782249267382
6,"night",0.0116423890826011
6,"hallmarkshirts",0.0096469349560429
6,"big",0.0096469349560429
6,"done",0.0096469349560429
6,"good",0.0096469349560429
6,"cafe",0.0096469349560429
6,"cup",0.0096469349560429
6,"tea",0.0096469349560429
6,"home",0.0096469349560429
6,"morning",0.0096469349560429
6,"way",0.0096469349560429
6,"jackpot",0.0096469349560429
6,"quiz",0.0096469349560429
6,"bed",0.0096469349560429
7,"really",0.0288306179811025
7,"today",0.0217542330017586
7,"day",0.0166800564391056
7,"dragonmand",0.0166800564391056
7,"office",0.0166800564391055
7,"frankiechan14",0.0137464663031803
7,"like",0.0123244128230088
7,"see",0.010733723157919
7,"u",0.0100080338634634
7,"come",0.0100080338634634
7,"long",0.0100080338634634
7,"still",0.0100080338634634
7,"heading",0.0100080338634634
7,"make",0.0100080338634634
7,"sad",0.0100080338634634
7,"sure",0.0100080338634634
7,"much",0.0100080338634634
8,"watching",0.0230641360841607
8,"cd",0.0184513088673296
8,"finally",0.0184513088673296
8,"got",0.0184513088671715
8,"today",0.016047882919811
8,"friday",0.0138384816504972
8,"video",0.0138384816504972
8,"check",0.0138384816504972
8,"work",0.0138384816504972
8,"world",0.0138381961041535
9,"new",0.0623151573089826
9,"airport",0.051947076061231
9,"ct",0.051947076061231
9,"f",0.051947076061231
9,"groton",0.051947076061231
9,"lm.htm",0.051947076061231
9,"london",0.051947076061231
9,"pressure",0.051947076061231
9,"s1z.us",0.051947076061231
9,"winds",0.051947076061231
