"topic","term","beta"
1,"kacom",0.105263157894737
1,"u",0.105263157894737
1,"lol",0.105263157894737
1,"keith",0.105263157894737
1,"see",0.0526315789473684
1,"well",0.0526315789473684
1,"hellllooo",0.0526315789473684
1,"damn",0.0526315789473684
1,"greets",0.0526315789473684
1,"meet",0.0526315789473684
1,"rain",0.0526315789473684
1,"start",0.0526315789473684
1,"times",0.0526315789473684
1,"ur",0.0526315789473684
1,"way",0.0526315789473684
2,"kacom",0.176470588235294
2,"fun",0.117647058823529
2,"beer",0.117647058823529
2,"later",0.117647058823529
2,"go",0.0588235294117647
2,"lol",0.0588235294117647
2,"wanna",0.0588235294117647
2,"aww",0.0588235294117647
2,"def",0.0588235294117647
2,"hehe",0.0588235294117647
2,"look",0.0588235294117647
2,"run",0.0588235294117647
3,"cant",0.0666666666666667
3,"u",0.0666666666666667
3,"jaydemarcus",0.0666666666666667
3,"dont",0.0666666666666667
3,"hell",0.0666666666666667
3,"b",0.0666666666666667
3,"change",0.0666666666666667
3,"count",0.0666666666666667
3,"even",0.0666666666666667
3,"need",0.0666666666666667
3,"nobody",0.0666666666666667
3,"offended",0.0666666666666667
3,"restrnt",0.0666666666666667
3,"shouldnt",0.0666666666666667
3,"well",0.0666666666666667
4,"rascalflatts",0.133333333333333
4,"kacom",0.0666666666666667
4,"next",0.0666666666666667
4,"u",0.0666666666666667
4,"bday",0.0666666666666667
4,"happy",0.0666666666666667
4,"joedon",0.0666666666666667
4,"dont",0.0666666666666667
4,"remembered",0.0666666666666667
4,"think",0.0666666666666667
4,"time",0.0666666666666667
4,"hold",0.0666666666666667
4,"ill",0.0666666666666667
4,"pick",0.0666666666666667
5,"cant",0.136363636365218
5,"wait",0.136363636365218
5,"friday",0.0909090909101455
5,"kacom",0.0909090909092752
5,"u",0.090909090898123
5,"seeing",0.0454545454550727
5,"next",0.0454545454550727
5,"see",0.0454545454550727
5,"alwaysflattinit",0.0454545454550727
5,"get",0.0454545454550727
5,"haw",0.0454545454550727
5,"sooooooooon",0.0454545454550727
5,"started",0.0454545454550727
5,"weekend",0.0454545454550727
5,"yeee",0.0454545454550727
6,"kacom",0.142857142857143
6,"good",0.142857142857143
6,"sounds",0.0952380952380952
6,"lol",0.0476190476190476
6,"awww",0.0476190476190476
6,"hell",0.0476190476190476
6,"like",0.0476190476190476
6,"shot",0.0476190476190476
6,"take",0.0476190476190476
6,"time",0.0476190476190476
6,"anything",0.0476190476190476
6,"smoke",0.0476190476190476
6,"better",0.0476190476190476
6,"jack",0.0476190476190476
6,"nothin",0.0476190476190476
6,"ol",0.0476190476190476
7,"chrisyoungmusic",0.117647058821763
7,"charlotte",0.0588235294108816
7,"seeing",0.0588235294108816
7,"sooooo",0.0588235294108816
7,"tonight",0.0588235294108816
7,"wish",0.0588235294108816
7,"ya",0.0588235294108816
7,"keith",0.0588235294108816
7,"anderson",0.0588235294108816
7,"back",0.0588235294108816
7,"hi",0.0588235294108816
7,"says",0.0588235294108816
8,"chrisyoungmusic",0.166666666666667
8,"good",0.166666666666667
8,"feels",0.166666666666667
8,"home",0.166666666666667
8,"im",0.166666666666667
8,"sure",0.166666666666667
8,"kacom",3.15810793861057e-88
8,"u",7.70338663549114e-132
8,"lol",4.87182670833996e-132
8,"next",1.78968161437891e-132
9,"jaydemarcus",0.166666666666667
9,"u",0.0833333333333333
9,"hat",0.0833333333333333
9,"jds",0.0833333333333333
9,"love",0.0833333333333333
9,"sportin",0.0833333333333333
9,"good",0.0833333333333333
9,"amazing",0.0833333333333333
9,"guys",0.0833333333333333
9,"pretty",0.0833333333333333
9,"yes",0.0833333333333333
