"topic","term","beta"
1,"night",0.0227937745367419
1,"morning",0.017888538719549
1,"looking",0.0124067380381247
1,"read",0.0124066870890097
1,"lovely",0.0124031319741241
1,"tinyurl.com",0.00894379329806574
1,"time",0.00882286218371365
1,"good",0.00770566772888362
1,"bit",0.00764322690687069
1,"last",0.00749606598077626
2,"rt",0.0508867148444217
2,"love",0.0297401946134035
2,"please",0.0153688951698966
2,"new",0.0138193914916302
2,"tinyurl.com",0.0118129031142835
2,"funny",0.00683712553003732
2,"big",0.00674035144569829
2,"ny",0.00668214368289605
2,"seen",0.0065217037667948
2,"playing",0.00643992063956321
3,"twitpic.com",0.0183012610025347
3,"really",0.0142269689269861
3,"went",0.00873125186518089
3,"hot",0.00810758854325483
3,"take",0.00804211864983978
3,"tinyurl.com",0.0077324522358062
3,"game",0.00745478707127876
3,"back",0.00705605531406437
3,"say",0.00701647322497095
3,"just",0.0063346615132046
4,"now",0.0224811945663075
4,"world",0.00953118333535335
4,"just",0.00869223371519627
4,"end",0.00858351879026649
4,"little",0.00846275108827851
4,"o",0.00829328501529509
4,"listening",0.00790034216532596
4,"well",0.0078400913813803
4,"bad",0.00700682476651306
4,"may",0.00653254911744359
5,"lol",0.0248937762489164
5,"like",0.022401474554703
5,"much",0.0193354859161934
5,"know",0.0168386562735816
5,"live",0.0153624459461783
5,"hey",0.0137732274000132
5,"just",0.0124411794075121
5,"yeah",0.00980018103463101
5,"im",0.00885106010339025
5,"looks",0.00847257298429219
6,"get",0.0271080421989995
6,"one",0.0237364737418378
6,"got",0.0181780376828422
6,"right",0.0155188771901085
6,"just",0.0150056555522756
6,"like",0.0148712425739639
6,"oh",0.014046937395091
6,"twitter",0.0110854825891373
6,"can",0.00915411086312574
6,"life",0.0081385086451505
7,"great",0.0246837138051401
7,"go",0.0182620935212768
7,"good",0.0153693884465677
7,"week",0.0143923948196143
7,"see",0.0138437869418235
7,"think",0.0117388795514852
7,"way",0.0111355106534475
7,"first",0.00806917065403791
7,"job",0.00776566455527819
7,"something",0.00776559234798646
8,"going",0.0264160111194577
8,"watching",0.0189427185667485
8,"show",0.0146205087750408
8,"check",0.0136855012053225
8,"last",0.011740178310539
8,"house",0.0116625675281791
8,"rt",0.0112558674424958
8,"wish",0.0105764042512991
8,"now",0.0103808378383525
8,"just",0.00957357170636399
9,"day",0.0348305430106511
9,"manchester",0.0285660570162941
9,"x",0.0253085244358725
9,"get",0.0183083884441589
9,"d",0.0172894987583443
9,"tomorrow",0.0167881910237812
9,"hope",0.0130238809966119
9,"back",0.0126153369505526
9,"now",0.0104630154330867
9,"just",0.010390627037201
