"topic","term","beta"
1,"really",0.0256295667848571
1,"rt",0.0128147833924285
1,"merlyn",0.0128147833924285
1,"ever",0.0127747454555782
1,"great",0.0127274660528009
1,"just",0.0114066594456253
1,"around",0.0102518267139428
1,"bad",0.0102518267139428
1,"mind",0.0102518267139428
1,"get",0.00936523559584896
2,"time",0.0560006713849482
2,"rt",0.0391189628289389
2,"better",0.0134812953379211
2,"kellyolexa",0.0130439426199943
2,"echofon",0.0115684228723393
2,"bob",0.0107850362703369
2,"ba",0.0107850362703369
2,"fast",0.0107850362703369
2,"thanks",0.0107850362703369
2,"afiebig",0.0107850362703369
2,"kindle",0.0107850362703369
3,"day",0.0229088982711928
3,"week",0.0203634427487243
3,"make",0.0150096950200456
3,"now",0.0145516029994661
3,"kellyolexa",0.013140058719139
3,"good",0.0127271708889795
3,"home",0.0123707411680843
3,"stuff",0.0101817367111836
3,"sleep",0.0101817367111836
3,"today",0.0101817367111836
3,"andy",0.0101817367111836
4,"rt",0.030028957302535
4,"like",0.027025575775904
4,"pixobox",0.0150144786512675
4,"change",0.0140475750685469
4,"good",0.012011582921014
4,"work",0.00900868719076049
4,"seeing",0.00900868719076049
4,"stuff",0.00900868719076049
4,"newspaper",0.00900868719076049
4,"church",0.00900868719076049
5,"appleton",0.0643953268503432
5,"wi",0.0614683290596324
5,"f",0.0556142024825999
5,"humidity",0.0556142024825999
5,"jv.htm",0.0556142024825999
5,"outagamie",0.0556142024825999
5,"s1z.us",0.0556142024825999
5,"winds",0.0556142024825999
5,"last",0.0380518227512526
5,"kt",0.0292706328855789
5,"mph",0.0292706328855789
6,"rt",0.0495518342362243
6,"one",0.0303204033774739
6,"story",0.0225982384041545
6,"best",0.0197125297031887
6,"google",0.0141238990025966
6,"still",0.0141238990025966
6,"words",0.0112991192020773
6,"app",0.0112991192020773
6,"iphone",0.0112991192020773
6,"letter",0.0112991192020773
6,"lisaredshoespr",0.0112991192020773
6,"tomplay",0.0112991192020773
6,"companies",0.0112991192020773
6,"working",0.0112991192020773
6,"friday",0.0112991192020773
7,"radio",0.0232980593248926
7,"ham",0.0232956722660561
7,"get",0.0157463688157925
7,"tonight",0.0151211409487467
7,"find",0.0131219740131604
7,"know",0.0104975792105281
7,"went",0.0104955849432769
7,"station",0.0104855142817946
7,"net",0.0104195257490174
7,"barbdreger",0.00957049114191481
8,"packers",0.0237826857548404
8,"work",0.0237811657238846
8,"go",0.0234224482516271
8,"rt",0.0211401651154137
8,"rosslarocco",0.0158551238365603
8,"maggieconv",0.0158551238365603
8,"first",0.0132125810435133
8,"iphone",0.0105700825577069
8,"days",0.0105700825577069
8,"may",0.0105700825577069
8,"o",0.0105700825577069
9,"rt",0.0618055306832599
9,"hostageek",0.0177015602717811
9,"never",0.017701560271781
9,"new",0.0176956968501802
9,"watch",0.0147513002264842
9,"watching",0.0147513002264842
9,"center",0.0118010401811874
9,"bbhill",0.0118010401811874
9,"d",0.0117328800628269
9,"twitter",0.0103642582805416
