"topic","term","beta"
1,"msinconsistency",0.133333333333333
1,"take",0.133333333333333
1,"awesomely",0.0666666666666667
1,"delicious",0.0666666666666667
1,"disc",0.0666666666666667
1,"might",0.0666666666666667
1,"replay",0.0666666666666667
1,"run",0.0666666666666667
1,"lol",0.0666666666666667
1,"tired",0.0666666666666667
1,"perverted",0.0666666666666667
1,"pictures",0.0666666666666667
1,"sorry",0.0666666666666667
2,"still",0.105263157894737
2,"tired",0.105263157894737
2,"night",0.0526315789473684
2,"need",0.0526315789473684
2,"barker",0.0526315789473684
2,"bob",0.0526315789473684
2,"raw",0.0526315789473684
2,"day",0.0526315789473684
2,"figure",0.0526315789473684
2,"hosting",0.0526315789473684
2,"last",0.0526315789473684
2,"trying",0.0526315789473684
2,"weekend",0.0526315789473684
2,"better",0.0526315789473684
2,"now",0.0526315789473684
2,"right",0.0526315789473684
2,"sleep",0.0526315789473684
3,"msinconsistency",0.117647058823529
3,"lol",0.117647058823529
3,"always",0.0588235294117647
3,"asking",0.0588235294117647
3,"blonde",0.0588235294117647
3,"carpet",0.0588235294117647
3,"drapes",0.0588235294117647
3,"harley",0.0588235294117647
3,"matches",0.0588235294117647
3,"quinn",0.0588235294117647
3,"yes",0.0588235294117647
3,"end",0.0588235294117647
3,"hear",0.0588235294117647
3,"think",0.0588235294117647
3,"yeah",0.0588235294117647
4,"msinconsistency",0.0909090909090909
4,"afternoon",0.0909090909090909
4,"awake",0.0909090909090909
4,"dragon",0.0909090909090909
4,"gate",0.0909090909090909
4,"night",0.0909090909090909
4,"sitting",0.0909090909090909
4,"waiting",0.0909090909090909
4,"actually",0.0909090909090909
4,"funny",0.0909090909090909
4,"pretty",0.0909090909090909
5,"needs",0.0833333333333333
5,"lol",0.0416666666666667
5,"figure",0.0416666666666667
5,"tired",0.0416666666666667
5,"next",0.0416666666666667
5,"days",0.0416666666666667
5,"bang",0.0416666666666667
5,"buck",0.0416666666666667
5,"idea",0.0416666666666667
5,"means",0.0416666666666667
5,"dragging",0.0416666666666667
5,"help",0.0416666666666667
5,"man",0.0416666666666667
5,"sleepy",0.0416666666666667
5,"today",0.0416666666666667
5,"alarm",0.0416666666666667
5,"jet",0.0416666666666667
5,"legged",0.0416666666666667
5,"min",0.0416666666666667
5,"took",0.0416666666666667
5,"travel",0.0416666666666667
5,"turn",0.0416666666666667
5,"two",0.0416666666666667
6,"msinconsistency",0.272727272727273
6,"details",0.0909090909090909
6,"need",0.0909090909090909
6,"tattoo",0.0909090909090909
6,"ded",0.0909090909090909
6,"another",0.0909090909090909
6,"damn",0.0909090909090909
6,"kanye",0.0909090909090909
6,"west",0.0909090909090909
6,"lol",2.56001851423853e-165
7,"channel",0.0714285714285714
7,"early",0.0714285714285714
7,"gangland",0.0714285714285714
7,"history",0.0714285714285714
7,"nice",0.0714285714285714
7,"watching",0.0714285714285714
7,"goes",0.0714285714285714
7,"hershey",0.0714285714285714
7,"home",0.0714285714285714
7,"knock",0.0714285714285714
7,"pa",0.0714285714285714
7,"quickly",0.0714285714285714
7,"wishing",0.0714285714285714
7,"wood",0.0714285714285714
8,"week",0.15
8,"next",0.1
8,"lol",0.05
8,"weekend",0.05
8,"ambition",0.05
8,"wait",0.05
8,"work",0.05
8,"days",0.05
8,"got",0.05
8,"great",0.05
8,"happy",0.05
8,"near",0.05
8,"pennsylvania",0.05
8,"saturday",0.05
8,"thursday",0.05
8,"usually",0.05
8,"wedding",0.05
9,"disgusting",0.0666666666666667
9,"horrible",0.0666666666666667
9,"indecisive",0.0666666666666667
9,"shopper",0.0666666666666667
9,"addicted",0.0666666666666667
9,"barker",0.0666666666666667
9,"batman",0.0666666666666667
9,"bob",0.0666666666666667
9,"boy",0.0666666666666667
9,"good",0.0666666666666667
9,"hosted",0.0666666666666667
9,"like",0.0666666666666667
9,"quit",0.0666666666666667
9,"raw",0.0666666666666667
9,"watch",0.0666666666666667
