"topic","term","beta"
1,"work",0.1
1,"going",0.05
1,"always",0.05
1,"bible",0.05
1,"complain",0.05
1,"fill",0.05
1,"good",0.05
1,"im",0.05
1,"much",0.05
1,"people",0.05
1,"perverted",0.05
1,"talk",0.05
1,"thing",0.05
1,"cant",0.05
1,"deep",0.05
1,"fun",0.05
1,"ii",0.05
1,"survival",0.05
1,"wait",0.05
2,"trouble",0.125
2,"high",0.0625
2,"made",0.0625
2,"bdubs",0.0625
2,"ben",0.0625
2,"hanging",0.0625
2,"night",0.0625
2,"cry",0.0625
2,"dry",0.0625
2,"tears",0.0625
2,"tfk",0.0625
2,"wanna",0.0625
2,"within",0.0625
2,"course",0.0625
2,"ropes",0.0625
3,"god",0.2
3,"act",0.0666666666666667
3,"acts",0.0666666666666667
3,"best",0.0666666666666667
3,"church",0.0666666666666667
3,"high",0.0666666666666667
3,"houses",0.0666666666666667
3,"like",0.0666666666666667
3,"live",0.0666666666666667
3,"made",0.0666666666666667
3,"men",0.0666666666666667
3,"nothing",0.0666666666666667
3,"waste",0.0666666666666667
4,"2morrow",0.181818181818182
4,"worry",0.181818181818182
4,"2day",0.0909090909090909
4,"cause",0.0909090909090909
4,"itself.mt6",0.0909090909090909
4,"lords",0.0909090909090909
4,"prayer",0.0909090909090909
4,"remember",0.0909090909090909
4,"there4",0.0909090909090909
4,"claiming",1.53392355353715e-162
4,"rock",1.53392355353715e-162
5,"amazing",0.08
5,"love",0.08
5,"like",0.04
5,"made",0.04
5,"just",0.04
5,"fill",0.04
5,"completely",0.04
5,"pivoted",0.04
5,"resident",0.04
5,"shaunda",0.04
5,"sorry",0.04
5,"supervisor",0.04
5,"gotta",0.04
5,"hero",0.04
5,"heros",0.04
5,"now",0.04
5,"online",0.04
5,"skillet",0.04
5,"states",0.04
5,"united",0.04
5,"video",0.04
5,"claiming",0.04
5,"rock",0.04
6,"houses",0.0666666666666667
6,"left",0.0666666666666667
6,"much",0.0666666666666667
6,"100x",0.0666666666666667
6,"eternal",0.0666666666666667
6,"every1",0.0666666666666667
6,"inherit",0.0666666666666667
6,"jobs",0.0666666666666667
6,"kids",0.0666666666666667
6,"life",0.0666666666666667
6,"mt",0.0666666666666667
6,"parents",0.0666666666666667
6,"receive",0.0666666666666667
6,"sake",0.0666666666666667
6,"siblings",0.0666666666666667
7,"work",0.0666666666666667
7,"go",0.0666666666666667
7,"just",0.0666666666666667
7,"left",0.0666666666666667
7,"lock",0.0666666666666667
7,"youth",0.0666666666666667
7,"amazing",0.0666666666666667
7,"adrian",0.0666666666666667
7,"alex",0.0666666666666667
7,"asleep",0.0666666666666667
7,"fell",0.0666666666666667
7,"fire",0.0666666666666667
7,"sleeping",0.0666666666666667
7,"stars",0.0666666666666667
7,"talking",0.0666666666666667
8,"arrived",0.0714285714285714
8,"guess",0.0714285714285714
8,"today",0.0714285714285714
8,"bed",0.0714285714285714
8,"enough",0.0714285714285714
8,"long",0.0714285714285714
8,"awhile",0.0714285714285714
8,"everyone",0.0714285714285714
8,"hows",0.0714285714285714
8,"beast",0.0714285714285714
8,"everything",0.0714285714285714
8,"hayden",0.0714285714285714
8,"spinning",0.0714285714285714
8,"tho",0.0714285714285714
9,"going",0.0909090909090909
9,"selling",0.0909090909090909
9,"start",0.0909090909090909
9,"things",0.0909090909090909
9,"watching",0.0909090909090909
9,"can",0.0909090909090909
9,"humble",0.0909090909090909
9,"mirror",0.0909090909090909
9,"see",0.0909090909090909
9,"sometimes",0.0909090909090909
9,"true",0.0909090909090909
