"topic","term","beta"
1,"rt",0.0201165072276336
1,"springfield",0.0120754976461706
1,"read",0.0089623172096624
1,"funny",0.00885421540791988
1,"care",0.00778149178989248
1,"elevation",0.00724483718369301
1,"game",0.00675745044017217
1,"go",0.00672581896033229
1,"best",0.00648858379081572
1,"mag",0.00643985527439379
2,"good",0.0322959060707031
2,"f",0.0221613172267547
2,"eugene",0.0192832224996452
2,"free",0.0153122470469324
2,"sweet",0.0143904657316589
2,"winds",0.0118001818999603
2,"fl.htm",0.0115123725853271
2,"mahlon",0.0115123725853271
2,"mb",0.0115123725853271
2,"s2z.us",0.0115123725853271
3,"new",0.0354854413649629
3,"time",0.0275224333378756
3,"post",0.0212134320039776
3,"blog",0.0117959749603481
3,"is.gd",0.0107696517273426
3,"get",0.0103186312786806
3,"now",0.00750159285955709
3,"phone",0.00741905557892161
3,"check",0.00644388666630199
3,"night",0.00582992150434202
4,"love",0.0185779588632655
4,"tonight",0.0149033731700584
4,"see",0.01371905851377
4,"lnk.ms",0.011122128362749
4,"watching",0.00952946607365253
4,"good",0.00907271767820384
4,"now",0.0090055307155365
4,"weekend",0.00887896665781151
4,"happy",0.00800789358230333
4,"going",0.00763022944100651
5,"just",0.0192152219709103
5,"back",0.012236529517245
5,"days",0.0116852879266339
5,"get",0.0105358975581892
5,"yes",0.00716508846466133
5,"rt",0.00647123016142879
5,"r",0.00609762633250332
5,"things",0.00596705118832673
5,"yesterday",0.00596584662485833
5,"can",0.0058251011864012
6,"lol",0.0200204553435097
6,"like",0.0187584690301355
6,"today",0.0123894592166643
6,"get",0.0110866040184466
6,"just",0.010709664735061
6,"day",0.00807236344783606
6,"song",0.00699509885551509
6,"one",0.00675957919527913
6,"art",0.0067159947426781
6,"need",0.00624127613809767
7,"want",0.0162221405244929
7,"know",0.0139364939327826
7,"people",0.0133947835729802
7,"think",0.0128169114488616
7,"twitpic.com",0.0128154916175214
7,"life",0.0119806774658208
7,"just",0.0119069867760252
7,"go",0.00945793947095486
7,"twitter",0.00802303637132636
7,"said",0.00694420655501973
8,"rt",0.0111792790710198
8,"day",0.0111180531426451
8,"awesome",0.0105340648926956
8,"getting",0.00874759563639952
8,"first",0.00688900333832562
8,"haha",0.00652115258603563
8,"making",0.0060195254607497
8,"just",0.00594337861107476
8,"cool",0.00583744546947185
8,"today",0.00553860907071118
9,"news",0.0159656979214001
9,"thanks",0.010830765582798
9,"friends",0.0107974715105033
9,"florence",0.0105280488081641
9,"oh",0.0104960044881205
9,"nbc",0.00998814886927925
9,"old",0.00998629290306224
9,"man",0.00946529584751704
9,"oregon",0.00740847691109916
9,"just",0.00715831118782817
