"topic","term","beta"
1,"jonathnbrinkman",0.190476190476122
1,"u",0.0952380952384189
1,"break",0.0476190476190306
1,"smoking",0.0476190476190306
1,"car",0.0476190476190306
1,"cd's",0.0476190476190306
1,"hav",0.0476190476190306
1,"kings",0.0476190476190306
1,"leon",0.0476190476190306
1,"make",0.0476190476190306
1,"might",0.0476190476190306
1,"one",0.0476190476190306
1,"sure",0.0476190476190306
1,"tweets",0.0476190476190306
1,"wana",0.0476190476190306
1,"monster",0.0476190476190306
1,"shit",0.0476190476190306
2,"w",0.14469666264017
2,"holleestar",0.121785626803587
2,"hare",0.0908229759741594
2,"red",0.0908228815151514
2,"bear",0.0908218869977391
2,"brown",0.0908214363777326
2,"shannons",0.0908188336144996
2,"myspace.com",0.0873395274366189
2,"congress",0.0817328004870923
2,"friday",0.0454115634534694
3,"checkout",0.167641772907905
3,"music",0.167634128357837
3,"11th",0.134113418326324
3,"also",0.134113418326324
3,"sept",0.134113418326324
3,"show",0.0911343620745171
3,"shows",0.067056709163162
3,"us",0.0375736918091108
3,"see",0.0335283545812136
3,"myspace.com",0.015709819419239
4,"check",0.300001098077259
4,"today",0.100003368678503
4,"boring",0.100003368678503
4,"chillin",0.100003368678503
4,"english",0.100003368678503
4,"steelers",0.100003368678503
4,"titans",0.100003368678503
4,"music",0.0999786897776243
4,"us",4.15535884348662e-11
4,"holleestar",3.25435668554338e-11
5,"go",0.285715936083938
5,"next",0.285710159790152
5,"ducks",0.142857968041969
5,"blue",0.142857968041969
5,"sportsnation",0.142857968041969
5,"friday",3.45816864209057e-15
5,"show",4.05771855877489e-18
5,"w",4.51554577379873e-25
5,"congress",3.06377436617825e-27
5,"myspace.com",2.30374679433289e-27
6,"test",0.079902854540357
6,"michigan",0.0400042237163557
6,"barely",0.040004223715604
6,"beat",0.040004223715604
6,"navy",0.040004223715604
6,"ohio",0.040004223715604
6,"st",0.040004223715604
6,"time",0.040004223715604
6,"wow",0.040004223715604
6,"bbbbbllllooooowwwwsssss",0.040004223715604
6,"cutler",0.040004223715604
6,"jay",0.040004223715604
6,"finished",0.040004223715604
6,"first",0.040004223715604
6,"just",0.040004223715604
6,"math",0.040004223715604
6,"taking",0.040004223715604
6,"app",0.040004223715604
6,"chibie.com",0.040004223715604
6,"dbb4e0",0.040004223715604
6,"funny",0.040004223715604
6,"i3ojg",0.040004223715604
6,"pics",0.040004223715604
6,"twitpic.com",0.040004223715604
7,"night",0.216369000666315
7,"see",0.108184500334343
7,"hope",0.108184500333157
7,"info",0.108184500333157
7,"lt",0.108184500333157
7,"tomorrow",0.108184500333157
7,"listen",0.108184292173273
7,"holleestar",0.0715354272805789
7,"show",0.0609660423192517
7,"myspace.com",0.00147134253834342
8,"holleestar",0.524666382433647
8,"myspace.com",0.427306075623409
8,"dates",0.0480043399603214
8,"music",2.27916559339914e-05
8,"show",3.17960611479174e-07
8,"listen",9.23660765689381e-08
8,"checkout",3.0913795260284e-17
8,"shows",6.15817801312534e-29
8,"check",5.14959096222901e-38
8,"today",1.6135320029297e-39
9,"dame",0.0800048579221743
9,"notre",0.0800048579221743
9,"class",0.0800048579221743
9,"michigan",0.0800048579214226
9,"rock",0.0400024289610871
9,"patrick_frey",0.0400024289610871
9,"sir",0.0400024289610871
9,"yes",0.0400024289610871
9,"end",0.0400024289610871
9,"shoot",0.0400024289610871
9,"faggot",0.0400024289610871
9,"pick",0.0400024289610871
9,"lancefaul",0.0400024289610871
9,"add",0.0400024289610871
9,"distracted",0.0400024289610871
9,"got",0.0400024289610871
9,"im",0.0400024289610871
9,"squirell",0.0400024289610871
9,"studying",0.0400024289610871
