"topic","term","beta"
1,"rt",0.0182753652278946
1,"get",0.0163924068742982
1,"free",0.0156864600646473
1,"can",0.0151583325104435
1,"www.strategicplanningkit.com",0.0151583325104435
1,"kstewislove",0.0128262813549906
1,"great",0.0102380750538005
1,"nonprofits",0.00932820462181137
1,"snipurl.com",0.00932820462181137
1,"associations",0.00816217904408495
1,"roar_fear_me",0.00816217904408495
2,"rt",0.017295014805134
2,"going",0.0159477912731257
2,"video",0.0137917837090732
2,"want",0.0137915246196671
2,"tonight",0.0133459615254922
2,"snipurl.com",0.0125379851900665
2,"make",0.0115837158728438
2,"show",0.0112841866710599
2,"month",0.0112841866710598
2,"first",0.0100303881520532
3,"know",0.01906789682051
3,"just",0.012719924438059
3,"available",0.011371634784495
3,"rt",0.00999936956675903
3,"ever",0.00909730782759597
3,"ow.ly",0.00905254743729008
3,"work",0.00854012817289663
3,"lansing",0.00804845813085184
3,"via",0.00796014379650689
3,"get",0.00727264722296091
4,"rt",0.0278160459360089
4,"like",0.0200923921887355
4,"time",0.00931631845679055
4,"really",0.00931557212417165
4,"work",0.00853283205542989
4,"carwash",0.00798541582010619
4,"one",0.00794693675826325
4,"photo",0.00771535040864081
4,"yes",0.00743451775705844
4,"new",0.00725129238684928
5,"thanks",0.0171666271383905
5,"state",0.0148846314917466
5,"now",0.01259461999516
5,"oh",0.0114459033287703
5,"tinyurl.com",0.0103047448888492
5,"said",0.0103047417257034
5,"really",0.0103046146253088
5,"today",0.00997183157749993
5,"still",0.00950722198239035
5,"get",0.00947602421077099
6,"like",0.0173496206940047
6,"go",0.0138445895656934
6,"flo",0.0137315096769917
6,"infamy247",0.0112348715539023
6,"ridahairline",0.0112348715539023
6,"rt",0.010947915004552
6,"say",0.0105586006021439
6,"looks",0.00998655249235739
6,"myfabolouslife",0.00998655230183397
6,"tinyurl.com",0.00873823343081292
7,"rt",0.0465123626172408
7,"great",0.0233542411531564
7,"go",0.0160428879135713
7,"just",0.0122155954318376
7,"people",0.0108659346294673
7,"today",0.0089684239248754
7,"ignitelansing",0.00741142489951272
7,"tinyurl.com",0.00739657243327581
7,"new",0.00708109987626407
7,"green",0.00678644190657619
8,"lansing",0.0150462646131147
8,"good",0.0128899340598575
8,"day",0.0124578099312857
8,"morning",0.0120104225080268
8,"friends",0.00873485273214487
8,"beautiful",0.0087347930651687
8,"yoga",0.00873385956697362
8,"rt",0.00816903280350494
8,"family",0.00764299614149783
8,"soon",0.00764287261845338
9,"rt",0.0198983890933813
9,"grantkc",0.0182538104626868
9,"like",0.0180512709463231
9,"need",0.0160882373935988
9,"good",0.0153617461004109
9,"tell",0.0113956632370297
9,"want",0.0104306831827954
9,"people",0.0104228544470119
9,"kids",0.00912690523134569
9,"working",0.0091269052291648
