"topic","term","beta"
1,"obama",0.0140386114911495
1,"want",0.0111890701084747
1,"news",0.0104606626064159
1,"da",0.00896871434355045
1,"great",0.00828967384183949
1,"gop",0.00701974623488049
1,"tcot",0.00701974623488049
1,"hell",0.00701974619882906
1,"wctv",0.00623977443100522
1,"jay",0.00623977443100488
1,"sayfie",0.00623977443100488
1,"politics",0.00623977443100488
2,"tallahassee",0.0295945903521234
2,"man",0.0213396984770201
2,"game",0.0140742027927106
2,"blog",0.0119502311516236
2,"followfriday",0.0118457774627931
2,"arrested",0.0110966432123337
2,"best",0.00878548703449481
2,"now",0.00758527670568731
2,"party",0.00682870351528361
2,"fla",0.0068287035152823
3,"go",0.0379874961979014
3,"now",0.0187823560143377
3,"video",0.0134478263852032
3,"get",0.0094726604246982
3,"day",0.00883719798581967
3,"right",0.00841096434955603
3,"noles",0.00820168256300333
3,"make",0.00797279273061661
3,"d",0.00749831836339707
3,"ow.ly",0.00746271517607221
4,"fsu",0.0220884525364524
4,"like",0.0123694380763619
4,"get",0.0111737491229428
4,"way",0.0103697339827562
4,"rt",0.00976757565049504
4,"maddie79",0.0091428888478465
4,"blip.fm",0.0091428888462794
4,"yes",0.00836315857462737
4,"got",0.00711636316358111
4,"shit",0.00648579601823121
5,"good",0.0195780838349599
5,"one",0.0176770021311263
5,"rt",0.0119922188944351
5,"really",0.0104307262471232
5,"just",0.0103656813253877
5,"things",0.0102702934368827
5,"job",0.00958559287508361
5,"today",0.00915368766130611
5,"weekend",0.0074733139685358
5,"done",0.00683808352537313
6,"going",0.0245379488244832
6,"work",0.0219549989466628
6,"famu",0.0213092713481502
6,"back",0.0212973047612242
6,"life",0.0129147099078962
6,"rt",0.0121977715140159
6,"class",0.0115473823682553
6,"need",0.0101772247489526
6,"today",0.0097097198356042
6,"just",0.00969711865216383
7,"lol",0.052919046554212
7,"thanks",0.0210319306295628
7,"just",0.0161783193142324
7,"maddie79",0.0149258862584885
7,"day",0.0148578455517443
7,"blip.fm",0.0128710729637476
7,"won",0.0122120887571095
7,"mobsterworld",0.0101767406309153
7,"now",0.00955462981226984
7,"like",0.00950321275996498
8,"time",0.0652233663668879
8,"call",0.0549668878464542
8,"room",0.0363751463689771
8,"ahead",0.0339501366110453
8,"waiting",0.033141800025068
8,"min",0.0266751073372499
8,"ouch",0.0161667317195454
8,"current",0.0153583951335681
8,"just",0.00970365609354413
8,"much",0.00969245629169223
9,"new",0.0383419800771271
9,"plan",0.015336873499897
9,"battle",0.0145700298251012
9,"iii",0.0130363424750906
9,"well",0.0130361586460468
9,"mixtape",0.00920212410006392
9,"u",0.0092020383737161
9,"oh",0.00783388158160964
9,"online",0.00766843675005327
9,"rt",0.00728737983978277
