"topic","term","beta"
1,"darkewl",0.285714285714286
1,"today",0.142857142857143
1,"going",0.142857142857143
1,"well",0.142857142857143
1,"bummed",0.142857142857143
1,"way",0.142857142857143
1,"finger",3.72007597602084e-44
1,"feel",3.72007597602084e-44
1,"lol",3.72007597602084e-44
1,"amybaker13",3.72007597602084e-44
1,"shhhhh",3.72007597602084e-44
1,"tip",3.72007597602084e-44
1,"mmm",3.72007597602084e-44
1,"ahahahahahaha",3.72007597602084e-44
2,"sleeping",0.2
2,"afternoon",0.2
2,"lonely",0.2
2,"sucks",0.2
2,"mmm",0.2
2,"finger",3.72007597602084e-44
2,"feel",3.72007597602084e-44
2,"hurts",3.72007597602084e-44
2,"ribs",3.72007597602084e-44
2,"lol",3.72007597602084e-44
2,"amybaker13",3.72007597602084e-44
2,"today",3.72007597602084e-44
2,"shhhhh",3.72007597602084e-44
2,"tip",3.72007597602084e-44
2,"darkewl",3.72007597602084e-44
2,"ahahahahahaha",3.72007597602084e-44
3,"fuckrfd",0.142857142857143
3,"m",0.142857142857143
3,"uo",0.142857142857143
3,"amybaker13",0.142857142857143
3,"awww",0.142857142857143
3,"miss",0.142857142857143
3,"ahahahahahaha",0.142857142857143
3,"finger",3.72007597602084e-44
3,"feel",3.72007597602084e-44
3,"lol",3.72007597602084e-44
3,"today",3.72007597602084e-44
3,"shhhhh",3.72007597602084e-44
3,"tip",3.72007597602084e-44
3,"darkewl",3.72007597602084e-44
3,"mmm",3.72007597602084e-44
4,"bar",0.0833333333333333
4,"first",0.0833333333333333
4,"feel",0.0833333333333333
4,"ever",0.0833333333333333
4,"fight",0.0833333333333333
4,"lol",0.0833333333333333
4,"real",0.0833333333333333
4,"wittnessing",0.0833333333333333
4,"amybaker13",0.0833333333333333
4,"now",0.0833333333333333
4,"pain",0.0833333333333333
4,"right",0.0833333333333333
5,"bar",0.0769230769230769
5,"cute",0.0769230769230769
5,"first",0.0769230769230769
5,"got",0.0769230769230769
5,"guy",0.0769230769230769
5,"hit",0.0769230769230769
5,"pays",0.0769230769230769
5,"pool",0.0769230769230769
5,"round",0.0769230769230769
5,"sexy",0.0769230769230769
5,"table",0.0769230769230769
5,"walked",0.0769230769230769
5,"yes",0.0769230769230769
6,"darkewl",0.0666666666666667
6,"aaron",0.0666666666666667
6,"actually",0.0666666666666667
6,"funny",0.0666666666666667
6,"laughing",0.0666666666666667
6,"moon",0.0666666666666667
6,"new",0.0666666666666667
6,"p",0.0666666666666667
6,"think",0.0666666666666667
6,"tix",0.0666666666666667
6,"around",0.0666666666666667
6,"can",0.0666666666666667
6,"come",0.0666666666666667
6,"drive",0.0666666666666667
6,"get",0.0666666666666667
7,"lol",0.133333333333333
7,"lot",0.133333333333333
7,"finger",0.0666666666666667
7,"fans",0.0666666666666667
7,"fighting",0.0666666666666667
7,"osu",0.0666666666666667
7,"parking",0.0666666666666667
7,"usc",0.0666666666666667
7,"shhhhh",0.0666666666666667
7,"blood",0.0666666666666667
7,"falling",0.0666666666666667
7,"lost",0.0666666666666667
7,"tip",0.0666666666666667
8,"day",0.105263157894737
8,"andon",0.0526315789473684
8,"feel",0.0526315789473684
8,"head",0.0526315789473684
8,"hurt",0.0526315789473684
8,"hurts",0.0526315789473684
8,"ribs",0.0526315789473684
8,"sick",0.0526315789473684
8,"sleeping",0.0526315789473684
8,"still",0.0526315789473684
8,"anyone",0.0526315789473684
8,"bed",0.0526315789473684
8,"bladen",0.0526315789473684
8,"hating",0.0526315789473684
8,"laying",0.0526315789473684
8,"needs",0.0526315789473684
8,"sister",0.0526315789473684
8,"taking",0.0526315789473684
9,"finger",0.1
9,"back",0.1
9,"today",0.1
9,"hurts",0.05
9,"ribs",0.05
9,"alone",0.05
9,"knee",0.05
9,"miserable",0.05
9,"neck",0.05
9,"shoulder",0.05
9,"wanna",0.05
9,"tip",0.05
9,"baby",0.05
9,"poor",0.05
9,"sewed",0.05
9,"smashed",0.05
9,"yuck",0.05
