"topic","term","beta"
1,"just",0.0201601017703488
1,"love",0.0159858713885389
1,"post.ly",0.0112792019773841
1,"got",0.0109180837716511
1,"way",0.010912093152711
1,"loopt.us",0.0107537785309726
1,"tx",0.00918067059389549
1,"watch",0.00843283088556907
1,"amy",0.0079095274030385
1,"chuf",0.00565988343735398
2,"sure",0.0126375147219705
2,"man",0.012457124205414
2,"via",0.0104546880815159
2,"yeah",0.0102252767051615
2,"rt",0.00889827950705317
2,"show",0.00838953521397393
2,"always",0.00758248350513508
2,"nebraska",0.00695060997561146
2,"make",0.00693857194644252
2,"year",0.00658534883983746
3,"lol",0.0278202370280616
3,"back",0.025052122537612
3,"going",0.0211433061572769
3,"tomorrow",0.0120210933194588
3,"bed",0.0115312557150091
3,"see",0.011109250788045
3,"go",0.010198010689443
3,"great",0.00939682413270109
3,"ready",0.00864815445044698
3,"hope",0.00794895016430549
4,"well",0.0244974804432851
4,"can",0.0131335082423726
4,"lmao",0.0121709615412576
4,"just",0.0108076998842564
4,"like",0.0106208849030374
4,"oh",0.0105112849635996
4,"lol",0.00923094827726727
4,"get",0.00805244352903782
4,"never",0.00768952879126854
4,"one",0.00750580039399113
5,"think",0.0235206003366793
5,"rt",0.0151098713936539
5,"bob",0.0136324910702102
5,"ff.im",0.0134219330747019
5,"bamfing",0.0123931737001911
5,"hours",0.00991453894368529
5,"day",0.00812742388793242
5,"one",0.00782846472763532
5,"free",0.00757901099469189
5,"can",0.00665437824470308
6,"like",0.0203379120702924
6,"twitpic.com",0.0195990472906705
6,"clap",0.0191822463489346
6,"home",0.0157645062622791
6,"know",0.0149648432105285
6,"anything",0.0108699395976821
6,"conservativela",0.00767289853957387
6,"huskers",0.00761830817078983
6,"really",0.00745338096526765
6,"get",0.00701841131903327
7,"good",0.0276198953863937
7,"morning",0.01629520362521
7,"just",0.0129917627810538
7,"get",0.00985823559023498
7,"big",0.00967918164209436
7,"night",0.00869694790636507
7,"really",0.00839555910527284
7,"rt",0.00826933232925114
7,"forward",0.00773340239560241
7,"now",0.00752300434291295
8,"today",0.0329176249953714
8,"go",0.0200324573824379
8,"two",0.0109171538068529
8,"rt",0.0104602846155366
8,"tinyurl.com",0.0102624291672573
8,"day",0.0102530753556027
8,"play",0.00977436767416589
8,"find",0.00735637707435009
8,"one",0.00704444390154723
8,"work",0.00613820148389418
9,"tinyurl.com",0.0177590971519914
9,"first",0.0136419314862773
9,"ow.ly",0.0134452247382198
9,"rt",0.0133918708173674
9,"business",0.00992140495637696
9,"look",0.00973310035942596
9,"just",0.00943919658543665
9,"lincoln",0.00868122934012178
9,"rainaa101",0.00806114153011291
9,"в",0.00744105372010312
