"topic","term","beta"
1,"short.ie",0.0603402898358333
1,"always",0.0329143618404696
1,"can",0.0284654879683707
1,"lawyer",0.0215545010399014
1,"advice",0.0164571840213662
1,"injury",0.0164571840213662
1,"many",0.0164571840213662
1,"addiction",0.0137143200178033
1,"attorney",0.0124243319616608
1,"personal",0.0109714560142441
1,"rt",0.0109714560142441
1,"clients",0.0109714560142441
1,"marketing",0.0109714560142441
1,"need",0.0109714560142441
1,"attorneys",0.0109714560142441
1,"injured",0.0109714560142441
2,"better",0.0167248358126275
2,"rt",0.0143355735536807
2,"just",0.0143355735536807
2,"liberty",0.012715475542649
2,"west",0.0127137319633551
2,"school",0.0119463112947304
2,"wpko",0.0119405077456679
2,"riverside",0.010209604713871
2,"accident",0.00955704903578716
2,"selena",0.00955704903578716
2,"life",0.00955704903578716
2,"interview",0.00955704903578716
2,"vote",0.00955704903578716
2,"voted",0.00955704903578716
2,"ben",0.00955704903578716
2,"marysville",0.00955704903578716
2,"amazing",0.00955704903578716
2,"sambradley11",0.00955704903578716
3,"love",0.0350725119062066
3,"rt",0.0150310765312444
3,"tinyurl.com",0.0125258971093703
3,"new",0.0125258971093703
3,"oh",0.012525897108843
3,"know",0.0100207176874963
3,"ff",0.00925326337386963
3,"heroin",0.00751553826562221
3,"delay",0.00751553826562221
3,"best",0.00751553826562221
3,"comics",0.00751553826562221
3,"lol",0.00751553826562221
3,"friend",0.00751553826562221
3,"twitpic.com",0.00751553826562221
3,"terryholmes",0.00751553826562221
4,"now",0.106094122094786
4,"playing",0.0977467989628675
4,"boating",0.018618437897689
4,"good",0.0162911331604779
4,"influence",0.0139638284232668
4,"short.ie",0.0139638284232668
4,"bui",0.00930921894884452
4,"loan",0.00930921894884452
4,"modification",0.00930921894884452
4,"looks",0.00930921894884452
4,"just",0.00930921894884452
4,"vote",0.00930921894884452
4,"voted",0.00930921894884452
5,"divorce",0.0154241645249245
5,"go",0.012853470437437
5,"short.ie",0.0102827763499496
5,"think",0.0102827763499496
5,"ik",0.0102827763499496
5,"just",0.0102827763499496
5,"een",0.00771208226246223
5,"tinyurl.com",0.00771208226246223
5,"people",0.00771208226246223
5,"can",0.00771208226246223
5,"time",0.00771208226246223
5,"hunter",0.00771208226246223
5,"story",0.00771208226246223
5,"itunes",0.00771208226246223
5,"nu",0.00771208226246223
6,"please",0.0153239466027236
6,"night",0.0109456761448026
6,"know",0.0109456761448026
6,"collinearl",0.0109456761448026
6,"florida",0.00875654091584206
6,"tinyurl.com",0.00875654091584206
6,"post",0.00875654091584206
6,"work",0.00875492000252581
6,"get",0.00788025138974205
6,"variant",0.00656740568688155
6,"little",0.00656740568688155
6,"write",0.00656740568688155
6,"just",0.00656740568688155
6,"last",0.00656740568688155
6,"favorite",0.00656740568688155
6,"nepa",0.00656740568688155
7,"wanted",0.0160427216780747
7,"pa",0.0160427216780747
7,"gallner",0.0160427216780747
7,"kyle",0.0160427216780747
7,"job",0.0133689347317289
7,"dunmore",0.0106951477853831
7,"methadone",0.0106951477853831
7,"kayla_barbara",0.0106951477853831
7,"lol",0.0106951477853831
7,"een",0.00802136083903736
7,"want",0.00802136083903736
7,"dat",0.00802136083903736
7,"god",0.00802136083903736
7,"clinic",0.00802136083903736
7,"comments",0.00802136083903736
7,"see",0.00802136083903736
7,"center",0.00802136083903736
7,"pet",0.00802136083903736
8,"leads",0.0204322108350988
8,"just",0.0153241581263241
8,"accident",0.0127701317719368
8,"goo",0.0102161054175494
8,"hair",0.0102161054175494
8,"rt",0.0102161054175494
8,"right",0.0102161054175494
8,"best",0.0102161054175494
8,"call",0.0102161054175494
8,"vote",0.0102161054175494
8,"voted",0.0102161054175494
8,"logan",0.0102161054175494
9,"people",0.0194620074775305
9,"stupid",0.0186324911999629
9,"short.ie",0.0159709393223142
9,"get",0.0159709393223142
9,"mind",0.0133091161019285
9,"talk",0.0133091161019285
9,"bites",0.0106472928815428
9,"everywhere",0.0106472928815428
9,"positions",0.0106472928815428
9,"recession",0.0106472928815428
