"topic","term","beta"
1,"right",0.0416666666666667
1,"days",0.0416666666666667
1,"good",0.0416666666666667
1,"bit",0.0416666666666667
1,"little",0.0416666666666667
1,"lonely",0.0416666666666667
1,"mmm",0.0416666666666667
1,"thing",0.0416666666666667
1,"also",0.0416666666666667
1,"amy",0.0416666666666667
1,"fucking",0.0416666666666667
1,"hand",0.0416666666666667
1,"hook",0.0416666666666667
1,"j.k",0.0416666666666667
1,"sedaris",0.0416666666666667
1,"simmons",0.0416666666666667
1,"creepy",0.0416666666666667
1,"dudes",0.0416666666666667
1,"freaked",0.0416666666666667
1,"lights",0.0416666666666667
1,"outside",0.0416666666666667
1,"real",0.0416666666666667
1,"replacing",0.0416666666666667
1,"theater",0.0416666666666667
2,"bed",0.0434782611481876
2,"list",0.0434782611481876
2,"poop",0.0434782611481876
2,"things",0.0434782611481876
2,"almost",0.0434782611481876
2,"back",0.0434782611481876
2,"college",0.0434782611481876
2,"dad",0.0434782611481876
2,"day",0.0434782611481876
2,"degree",0.0434782611481876
2,"fighting",0.0434782611481876
2,"fun",0.0434782611481876
2,"moving",0.0434782611481876
2,"richmond",0.0434782611481876
2,"starting",0.0434782611481876
2,"without",0.0434782611481876
3,"halloween",0.0476190476190476
3,"adam",0.0476190476190476
3,"basterds",0.0476190476190476
3,"days",0.0476190476190476
3,"district",0.0476190476190476
3,"good",0.0476190476190476
3,"inglourious",0.0476190476190476
3,"mollybuckley",0.0476190476190476
3,"movies",0.0476190476190476
3,"summer",0.0476190476190476
3,"minutes",0.0476190476190476
3,"across",0.0476190476190476
3,"amanda",0.0476190476190476
3,"amazing",0.0476190476190476
3,"cafeteria",0.0476190476190476
3,"five",0.0476190476190476
3,"hospital's",0.0476190476190476
3,"kicked",0.0476190476190476
3,"mental",0.0476190476190476
3,"seyfried",0.0476190476190476
3,"someone",0.0476190476190476
4,"math",0.1
4,"two",0.05
4,"arts",0.05
4,"class",0.05
4,"finished",0.05
4,"ftw",0.05
4,"late",0.05
4,"liberal",0.05
4,"minutes",0.05
4,"still",0.05
4,"test",0.05
4,"circle",0.05
4,"death",0.05
4,"ever",0.05
4,"funniest",0.05
4,"shitting",0.05
4,"tommy",0.05
4,"tone",0.05
4,"wherever",0.05
5,"themed",0.0833333333333333
5,"bahahaha",0.0416666666666667
5,"girls",0.0416666666666667
5,"just",0.0416666666666667
5,"love",0.0416666666666667
5,"party",0.0416666666666667
5,"rock",0.0416666666666667
5,"rt",0.0416666666666667
5,"scratch",0.0416666666666667
5,"sluts",0.0416666666666667
5,"tfln",0.0416666666666667
5,"wait",0.0416666666666667
5,"ok",0.0416666666666667
5,"gamer",0.0416666666666667
5,"life",0.0416666666666667
5,"man",0.0416666666666667
5,"meets",0.0416666666666667
5,"right",0.0416666666666667
5,"running",0.0416666666666667
5,"second",0.0416666666666667
5,"sounds",0.0416666666666667
5,"think",0.0416666666666667
5,"yeah",0.0416666666666667
6,"awesome",0.03125
6,"boss",0.03125
6,"going",0.03125
6,"marvel's",0.03125
6,"movie",0.03125
6,"nass",0.03125
6,"odin",0.03125
6,"thor",0.03125
6,"voice",0.03125
6,"halloween",0.03125
6,"documentary",0.03125
6,"four",0.03125
6,"hour",0.03125
6,"hours",0.03125
6,"making",0.03125
6,"rob",0.03125
6,"sick",0.03125
6,"three",0.03125
6,"zombie's",0.03125
6,"thing",0.03125
6,"can",0.03125
6,"bad",0.03125
6,"biggest",0.03125
6,"cody",0.03125
6,"diablo",0.03125
6,"know",0.03125
6,"really",0.03125
6,"tell",0.03125
6,"time",0.03125
6,"uh",0.03125
6,"waste",0.03125
6,"written",0.03125
7,"make",0.0833333333333333
7,"age",0.0416666666666667
7,"allow",0.0416666666666667
7,"confusing",0.0416666666666667
7,"either",0.0416666666666667
7,"fuck",0.0416666666666667
7,"gotta",0.0416666666666667
7,"hatsradio",0.0416666666666667
7,"ice",0.0416666666666667
7,"perfect",0.0416666666666667
7,"sense",0.0416666666666667
7,"start",0.0416666666666667
7,"able",0.0416666666666667
7,"cooking",0.0416666666666667
7,"makes",0.0416666666666667
7,"nature",0.0416666666666667
7,"night",0.0416666666666667
7,"pbs",0.0416666666666667
7,"shows",0.0416666666666667
7,"sleep",0.0416666666666667
7,"slew",0.0416666666666667
7,"thing",0.0416666666666667
7,"worth",0.0416666666666667
8,"two",0.0952380945696542
8,"year",0.0952380945692611
8,"see",0.0952380945524475
8,"old",0.0952380945508863
8,"just",0.0952380945478408
8,"awesome",0.095238094520493
8,"apparently",0.0476190472848271
8,"big",0.0476190472848271
8,"black",0.0476190472848271
8,"came",0.0476190472848271
8,"guys",0.0476190472848271
8,"halloween",0.0476190472848271
8,"kids",0.0476190472848271
8,"ok",0.0476190472848271
8,"raised",0.0476190472848271
9,"want",0.111111111111111
9,"make",0.0555555555555556
9,"right",0.0555555555555556
9,"insomnia's",0.0555555555555556
9,"tough",0.0555555555555556
9,"anyone",0.0555555555555556
9,"body",0.0555555555555556
9,"can",0.0555555555555556
9,"cause",0.0555555555555556
9,"else",0.0555555555555556
9,"fairfax",0.0555555555555556
9,"happen",0.0555555555555556
9,"jennifer's",0.0555555555555556
9,"now",0.0555555555555556
9,"one",0.0555555555555556
9,"watch",0.0555555555555556
9,"work",0.0555555555555556
