"topic","term","beta"
1,"im",0.0306668444354675
1,"wit",0.0255557036962229
1,"watching",0.0204445629569784
1,"woo",0.0204445629569784
1,"vho0a",0.0204445629518748
1,"get",0.0204422754184773
1,"good",0.0153334222177338
1,"tryin",0.0153334222177338
1,"study",0.0153334222177338
1,"rt",0.0102222814784892
1,"repeal",0.0102222814784892
1,"www.sodmoneygang.com",0.0102222814784892
1,"aint",0.0102222814784892
1,"c",0.0102222814784892
1,"cuzzz",0.0102222814784892
1,"dat",0.0102222814784892
1,"fuck",0.0102222814784892
1,"fucked",0.0102222814784892
1,"keke",0.0102222814784892
1,"nikkas",0.0102222814784892
1,"oooo",0.0102222814784892
1,"palmer.l",0.0102222814784892
1,"phone",0.0102222814784892
1,"shit",0.0102222814784892
1,"sum",0.0102222814784892
1,"wassup",0.0102222814784892
1,"yall",0.0102222814784892
1,"yooo",0.0102222814784892
1,"house",0.0102222814784892
1,"love",0.0102222814784892
1,"need",0.0102222814784892
1,"daisy",0.0102222814784892
1,"duxe",0.0102222814784892
2,"mobsterworld",0.110026832593018
2,"just",0.105795031340023
2,"done",0.0550134162983083
2,"job",0.0507816150445923
2,"w1tcc",0.0507816150445923
2,"house",0.0338544100297282
2,"bought",0.0338544094238983
2,"burglary",0.0253908075222961
2,"got",0.0206946107568508
2,"beats",0.0169272050148641
2,"diiig",0.0169272050148641
2,"fought",0.0169272050148641
2,"won",0.0169272050148641
3,"rt",0.0417055099995249
3,"party",0.0178737899997964
3,"voted",0.0119158599998643
3,"bedtime",0.0119158599998643
3,"time",0.0119158599998643
3,"joewilson",0.0119158599998643
3,"ban",0.0119158599998643
3,"thesundryc",0.0119158599998643
3,"hope",0.0119158599998643
3,"based",0.0119158599998643
3,"carter",0.0119158599998643
3,"former",0.0119158599998643
3,"jimmy",0.0119158599998643
3,"outburst",0.0119158599998643
3,"pg5wje",0.0119158599998643
3,"president",0.0119158599998643
3,"racism",0.0119158599998643
3,"says",0.0119158599998643
3,"tinyurl.com",0.0119158599998643
4,"win",0.0193058219519459
4,"42i0hy",0.0193058219519459
4,"level",0.0193058219519459
4,"reached",0.0193058219519459
4,"church",0.0144793664639594
4,"cover",0.0144793664639594
4,"music",0.0144793664639594
4,"want",0.0144793664639594
4,"think",0.0144793664639594
4,"tonic",0.0144793664639594
4,"really",0.0144793664639594
4,"loves",0.0144793664639594
5,"rt",0.0290697674418605
5,"sloppy",0.0174418604651163
5,"friends",0.0174418604651163
5,"lil",0.0116279069767442
5,"mama",0.0116279069767442
5,"iso",0.0116279069767442
5,"movies",0.0116279069767442
5,"always",0.0116279069767442
5,"congrats",0.0116279069767442
5,"yay",0.0116279069767442
5,"heart",0.0116279069767442
5,"make",0.0116279069767442
5,"please",0.0116279069767442
5,"nation",0.0116279069767442
5,"team",0.0116279069767442
5,"game",0.0116279069767442
5,"fsu",0.0116279069767442
6,"twitpic.com",0.0256410256410256
6,"rt",0.0153846153846154
6,"today",0.0153846153846154
6,"just",0.0153846153846154
6,"go",0.0153846153846154
6,"new",0.0153846153846154
6,"atlflood",0.0153846153846154
6,"album",0.0153846153846154
6,"churchmusic",0.0153846153846154
6,"people",0.0153846153846154
7,"rt",0.0285714285714286
7,"sleep",0.0214285714285714
7,"going",0.0214285714285714
7,"evil",0.0142857142857143
7,"tisk",0.0142857142857143
7,"1aadsg",0.0142857142857143
7,"accepted",0.0142857142857143
7,"cash",0.0142857142857143
7,"godfather",0.0142857142857143
7,"mobsterworld",0.0142857142857143
7,"offer",0.0142857142857143
7,"aftersex",0.0142857142857143
7,"cigarette",0.0142857142857143
7,"go",0.0142857142857143
7,"smoke",0.0142857142857143
7,"yeah",0.0142857142857143
7,"burn",0.0142857142857143
7,"hate",0.0142857142857143
8,"coffee",0.0225328269923755
8,"rt",0.0225328269923755
8,"home",0.0225328269923755
8,"twitpic.com",0.0225328269923755
8,"bc",0.0180262615939004
8,"back",0.0135196961954253
8,"bounce",0.0135196961954253
8,"ga",0.0135196961954253
8,"gameday",0.0135196961954253
8,"noles",0.0135196961954253
8,"fsu",0.0135196961954253
9,"0b",0.203775104444879
9,"aye",0.0388143056085485
9,"indi",0.0388143056085485
9,"turntt",0.0388143056085485
9,"txt",0.0388143056085485
9,"votee",0.0388143056085485
9,"evan",0.0339625174074799
9,"picture",0.0242589410053428
9,"lnk.ms",0.0242589410053428
9,"comment",0.0242589410053428
