"topic","term","beta"
1,"want",0.0140493287757545
1,"getting",0.0136699841944508
1,"bad",0.0120449862484282
1,"im",0.0120449862484263
1,"make",0.012015744993615
1,"nation",0.0118915583258879
1,"ready",0.0113749784294692
1,"like",0.00995594654103908
1,"t",0.00985405555088825
1,"double",0.00985402877003387
2,"tech",0.0512721431475802
2,"texas",0.0489915777519715
2,"raiders",0.0353345826077936
2,"red",0.0353345826077936
2,"go",0.0264613818724624
2,"just",0.0225401784393305
2,"game",0.0194340203866877
2,"site",0.0159005621735072
2,"official",0.0141338330431175
2,"day",0.0123671039127278
3,"time",0.0338770488105683
3,"wish",0.0199213538165419
3,"just",0.0185428916099683
3,"always",0.0179951337493044
3,"better",0.0116677733589512
3,"early",0.0100168283704915
3,"crazy",0.00986043937207173
3,"rt",0.00919436174982501
3,"dismissal",0.00801346269639318
3,"tweet",0.00801346269639318
3,"fruits",0.00801346269639318
3,"everyone",0.00801346269639318
3,"remember",0.00801346269639318
3,"twitpic.com",0.00801346269639318
3,"days",0.00801346269639318
3,"see",0.00801346269639318
3,"hope",0.00801346269639318
4,"work",0.044130814633795
4,"just",0.0355256013047293
4,"good",0.0215279117931044
4,"going",0.0143824679068327
4,"really",0.0143057827362585
4,"go",0.0133182882758597
4,"day",0.0128158822877021
4,"got",0.0101854914859014
4,"think",0.0101670143639518
4,"new",0.00887943259456625
5,"tx",0.0202022947624715
5,"lubbock",0.0198763078238426
5,"today",0.0163787984952112
5,"great",0.0159448729764404
5,"guy",0.0100587633634395
5,"like",0.009608241272492
5,"game",0.00808091790500509
5,"allisonralston",0.00808091790500509
5,"mattjansen",0.00808091790500509
5,"may",0.00808091790500509
6,"night",0.0300695547312473
6,"twitter",0.0263832825476962
6,"good",0.0188225996961359
6,"morning",0.0187786788137923
6,"get",0.016550834359
6,"bed",0.0153953774970226
6,"going",0.0142485633778867
6,"sleep",0.0131916412733848
6,"hoping",0.0131916404884589
6,"well",0.0128421204173277
7,"can",0.0236709362094914
7,"new",0.0160264993278414
7,"find",0.0138080461222033
7,"jenperez",0.0138080461200414
7,"like",0.0134789752687591
7,"tech",0.0119704557989517
7,"bubba",0.0118354681047457
7,"mom",0.0118354681047457
7,"blog",0.0118354681047457
7,"post",0.0118354681047457
7,"vortex",0.0118354681047457
8,"leach",0.0180312877458149
8,"texastech",0.0180025259148424
8,"rt",0.0152110665973282
8,"like",0.0144685712876429
8,"woot",0.0144685712876429
8,"now",0.0123567893099034
8,"mike",0.0123121918788676
8,"day",0.0114738226994438
8,"pirate",0.0108514284657322
8,"wreck",0.0108514284657255
9,"new",0.0355823981482897
9,"right",0.0268530124950655
9,"thanks",0.0217334327176614
9,"think",0.0213254757592047
9,"rt",0.0148790059167009
9,"printing",0.0108690272671784
9,"thing",0.0108376522705295
9,"better",0.0107444216385669
9,"lbk",0.00905752272264863
9,"need",0.00901076313063502
