"topic","term","beta"
1,"lol",0.0353620398032177
1,"twitpic.com",0.0117070941236415
1,"weekend",0.0110793313293608
1,"im",0.00981969257730379
1,"shit",0.00895769510488085
1,"looking",0.00893349287863604
1,"really",0.00860156587207043
1,"r",0.00848612834451149
1,"just",0.00701223083594121
1,"think",0.00696705766480521
2,"like",0.0416568201125486
2,"go",0.0254568987872927
2,"ohio",0.0162411576164534
2,"rt",0.0112788285332084
2,"can",0.0112042133844915
2,"just",0.0102636647798838
2,"make",0.00930690744959434
2,"state",0.00912080520940556
2,"anyone",0.00897700230188241
2,"see",0.00817021483770886
3,"good",0.0418868716753455
3,"today",0.0312938217500749
3,"look",0.00956181063521242
3,"rt",0.00939892860298233
3,"man",0.00838562834024725
3,"can",0.00740410385176013
3,"fb",0.00707681965588254
3,"show",0.00599348120600181
3,"seen",0.00565072611791011
3,"sleep",0.00549106356909531
4,"dog",0.0148953197893903
4,"well",0.014765940585696
4,"get",0.010756708676276
4,"better",0.010736750520806
4,"new",0.00914757415295847
4,"rt",0.00899023801635289
4,"way",0.00862326853969404
4,"need",0.00797431592065103
4,"stuff",0.00738802630294858
4,"blog",0.00715443483245157
5,"game",0.0154395879531102
5,"going",0.0144894237459784
5,"haha",0.0128636055441231
5,"check",0.0109306257075054
5,"life",0.0103845042956595
5,"watch",0.00986220274866766
5,"know",0.00967360471033327
5,"just",0.00877603597608262
5,"week",0.00827024248560664
5,"tonight",0.00820650732728815
6,"come",0.0170451633399428
6,"u",0.0148566673711011
6,"rt",0.0145164125912967
6,"party",0.0104306251863255
6,"getting",0.00980561347001619
6,"ready",0.009667404498845
6,"fall",0.00941300320825314
6,"classes",0.00864978712979707
6,"day",0.00846064998941691
6,"media",0.0083953816259795
7,"time",0.0310539923438434
7,"now",0.0263953132823565
7,"just",0.0143586484043623
7,"day",0.0111415733115278
7,"love",0.0109020338327827
7,"take",0.0107728575881039
7,"last",0.0100474966197757
7,"night",0.00978248819368759
7,"right",0.00836357018881643
7,"rt",0.00759708864305155
8,"great",0.0203612922826733
8,"new",0.0188280841160989
8,"just",0.0113680482536569
8,"nice",0.00996507052608806
8,"guy",0.00877874557207995
8,"rt",0.00852975621850006
8,"music",0.00831561260833226
8,"watching",0.0075971814880384
8,"going",0.00709329922648083
8,"soon",0.00688055210494415
9,"oh",0.023864613884109
9,"columbus",0.0212868325036963
9,"rt",0.0150886858972994
9,"one",0.0112294512244159
9,"twitter",0.0107094352698737
9,"free",0.0103612343983425
9,"house",0.00982131428263906
9,"things",0.0094183662397134
9,"yeah",0.00895328816693201
9,"coming",0.00776682082120491
