"topic","term","beta"
1,"rt",0.0276069920372661
1,"dfoulks",0.0276069920372661
1,"just",0.0184046613581774
1,"skaterelf55",0.0184046613581774
1,"xbox",0.0184046613581774
1,"allysonrobison",0.0184046613581774
1,"blend",0.0184046613581774
1,"chateau",0.0184046613581774
1,"du",0.0184046613581774
1,"fantastic",0.0184046613581774
1,"lasgoity's",0.0184046613581774
1,"loved",0.0184046613581774
1,"rouge",0.0184046613581774
1,"val",0.0184046613581774
1,"www.chaeaulasgoity.com",0.0184046613581774
1,"play",0.0184046613581774
1,"class",0.0184046613581774
2,"better",0.0481696438361055
2,"feel",0.0401403828516451
2,"gone",0.032113096959102
2,"got",0.0306007383264601
2,"day",0.0240848227205993
2,"ok",0.0240848227205993
2,"tomorrow",0.0240848227205993
2,"wait",0.0240848227205993
2,"hope",0.0240805351057258
2,"done",0.0202342984903638
3,"jb",0.0450147657773495
3,"just",0.0369088047698366
3,"time",0.0225073828886747
3,"birthday",0.0225073828886747
3,"paul",0.0202627805383326
3,"sends",0.0202596883322311
3,"fucking",0.0150049219257832
3,"karmakaze7",0.0150049219257832
3,"behave",0.0150049219257832
3,"incorrigible",0.0150049219257832
3,"pure",0.0150049219257832
3,"thoughts",0.0150049219257832
3,"yea",0.0150049219257832
3,"song",0.0150049219257832
3,"great",0.0150049219257832
3,"heard",0.0150049219257832
3,"i.the",0.0150049219257832
3,"jboitnott",0.0150049219257832
3,"list.paulsneds",0.0150049219257832
3,"made",0.0150049219257832
3,"site",0.0150049219257832
3,"wow",0.0150049219257832
3,"skate",0.0150049219257832
3,"see",0.0150049219257832
3,"spankiero",0.0150049219257832
4,"lexusamanda",0.0495444832581971
4,"can",0.0331227036128554
4,"use",0.0248420277096415
4,"one",0.0248420277096415
4,"get",0.0165613518064277
4,"paul",0.0165613518064277
4,"picture",0.0165613518064277
4,"sends",0.0165613518064277
4,"attykendall",0.0165613518064277
4,"business",0.0165613518064277
4,"find",0.0165613518064277
4,"individual",0.0165613518064277
4,"search",0.0165613518064277
4,"thing",0.0165613518064277
4,"warrant",0.0165613518064277
4,"without",0.0165613518064277
4,"fuck",0.0165613518064277
4,"hah",0.0165613518064277
5,"paul",0.0588235294117647
5,"sends",0.0588235294117647
5,"u",0.0441176470588235
5,"get",0.0294117647058823
5,"smiling",0.0294117647058823
5,"tks",0.0294117647058823
5,"attykendall",0.0294117647058823
5,"much",0.0294117647058823
5,"well",0.0294117647058823
5,"lol",0.0220588235294118
5,"now",0.0220588235294118
5,"go",0.0220588235294118
5,"nothing",0.0220588235294118
6,"lol",0.0997677827175234
6,"back",0.0282930377823761
6,"wings",0.0266047548678743
6,"just",0.0204885896195154
6,"u",0.0199535661509057
6,"say",0.0199535661509057
6,"some1",0.0199535661509057
6,"sure",0.0199535661509057
6,"got",0.0199535661509057
6,"haha",0.0199535661509057
7,"sends",0.0630693678575247
7,"paul",0.06306657261713
7,"lol",0.0542555687640427
7,"jbmendoza",0.0406916898577423
7,"munkee_69",0.040663772700635
7,"u",0.0203458449288712
7,"went",0.0203458449288712
7,"look",0.0203458449288712
7,"skating",0.0135638966192474
7,"long",0.0135638966192474
7,"tks",0.0135638966192474
7,"pure",0.0135638966192474
7,"yea",0.0135638966192474
7,"say",0.0135638966192474
7,"sticking",0.0135638966192474
7,"princess56",0.0135638966192474
7,"wearing",0.0135638966192474
7,"katrinaneufeld",0.0135638966192474
7,"s",0.0135638966192474
7,"c",0.0135638966192474
7,"count",0.0135638966192474
7,"headed",0.0135638966192474
7,"hold",0.0135638966192474
7,"home",0.0135638966192474
7,"hot",0.0135638966192474
7,"noon",0.0135638966192474
7,"said",0.0135638966192474
7,"oh",0.0135638966192474
7,"dude",0.0135638966192474
7,"twitpic.com",0.0135638966192474
7,"d",0.0135638966192474
8,"know",0.0367241668299677
8,"rt",0.0275431251224758
8,"today",0.0254348131478742
8,"get",0.0183620834149838
8,"can",0.0183620834149838
8,"good",0.0183620834149838
8,"might",0.0183620834149838
8,"anyone",0.0183620834149838
8,"babsworld",0.0183620834149838
8,"bet",0.0183620834149838
8,"clark",0.0183620834149838
8,"ebay",0.0183620834149838
8,"fan.paulsneds",0.0183620834149838
8,"jersey",0.0183620834149838
8,"mfvphotography",0.0183620834149838
8,"sf",0.0183620834149838
8,"shes",0.0183620834149838
8,"things",0.0183620834149838
9,"core",0.0384615384629883
9,"paul",0.0384615384629883
9,"sends",0.0384615384629883
9,"is.gd",0.0384615384629883
9,"mikeyoung",0.0384615384629883
9,"rt",0.0384615384629883
9,"lol",0.0288461538467224
9,"hard",0.0288461538100654
9,"looking",0.0192307692314941
9,"u",0.0192307692314941
9,"3dnrx",0.0192307692314941
9,"effect",0.0192307692314941
9,"peeps",0.0192307692314941
9,"related",0.0192307692314941
9,"serape",0.0192307692314941
9,"training",0.0192307692314941
9,"workout",0.0192307692314941
9,"can",0.0192307692314941
9,"thing",0.0192307692314941
9,"like",0.0192307692314941
9,"arr",0.0192307692314941
9,"day.i",0.0192307692314941
9,"matye",0.0192307692314941
9,"mike",0.0192307692314941
9,"mikeoz",0.0192307692314941
9,"national",0.0192307692314941
9,"o",0.0192307692314941
9,"pass",0.0192307692314941
9,"pirate",0.0192307692314941
9,"punctuation",0.0192307692314941
9,"suck",0.0192307692314941
9,"talk",0.0192307692314941
9,"3enx8",0.0192307692314941
9,"alzheimers",0.0192307692314941
9,"coffee",0.0192307692314941
9,"consumption",0.0192307692314941
9,"good",0.0192307692314941
9,"helps",0.0192307692314941
9,"lack",0.0192307692314941
9,"leads",0.0192307692314941
9,"might",0.0192307692314941
9,"oh",0.0192307692314941
9,"sleep",0.0192307692314941
9,"trouble",0.0192307692314941
9,"uh",0.0192307692314941
