"topic","term","beta"
1,"local",0.0286314472498905
1,"news",0.0282862085675972
1,"christopher",0.022905202383425
1,"tuffley",0.022905202383425
1,"christopher.tuffley",0.0171789017875687
1,"much",0.0143156763445078
1,"help",0.0136091092896889
1,"florida",0.0114526011917125
1,"clean",0.0114526011917125
1,"go",0.00858945089378438
1,"get",0.00858945089378438
1,"remember",0.00858945089378438
1,"coming",0.00858945089378438
1,"office",0.00858945089378438
1,"bad",0.00858945089378438
1,"tv",0.00858945089378438
1,"school",0.00858945089378438
1,"high",0.00858945089378438
2,"local",0.0218475236953585
2,"game",0.0218447957416053
2,"gmail.com",0.0163856427715188
2,"throwbackent1",0.0163856427715188
2,"baldridge",0.0163856427715188
2,"ed",0.0163856427715188
2,"ed.baldridge",0.0163856427715188
2,"send",0.0160985195415029
2,"r",0.013654702309599
2,"county",0.013654702309599
3,"like",0.0342104424527352
3,"now",0.0266081227704522
3,"need",0.0264989537581497
3,"lol",0.0246086983979455
3,"get",0.0176850332985088
3,"time",0.0171052216247237
3,"gonna",0.013304061385232
3,"go",0.0133040613852212
3,"going",0.0133040613852063
3,"right",0.0121173572338831
4,"just",0.021684067854576
4,"life",0.0147985806407255
4,"u",0.0126844976920504
4,"tonight",0.0105704147433753
4,"right",0.0105704147433753
4,"get",0.00938752180227234
4,"new",0.00883306725570427
4,"video",0.00845633179470026
4,"rt",0.00845633179470026
4,"found",0.00845633113428139
5,"good",0.0231951304729911
5,"town",0.0161679442343163
5,"get",0.0132567645094543
5,"health",0.0121259581757373
5,"morning",0.01212595817232
5,"got",0.011987655827691
5,"care",0.0101049651464477
5,"way",0.0101049651464477
5,"weekend",0.0101049651464477
5,"night",0.00999736680968094
6,"local",0.0299029323494691
6,"issue",0.0248949581280476
6,"dan",0.022427225829296
6,"sports",0.0199353118482631
6,"valley",0.0199353045705373
6,"lake",0.0199073330214597
6,"news",0.0192640079401735
6,"one",0.0173965145412503
6,"daniel.hoehne",0.0149514838861973
6,"hoehne",0.0149514838861973
7,"shit",0.0223557220124282
7,"still",0.0187074335078449
7,"go",0.0166642814859805
7,"dat",0.016443388702867
7,"really",0.0104176266968819
7,"let",0.0104176266968819
7,"want",0.0104176182298093
7,"sleep",0.0103871553733805
7,"think",0.0103210818780667
7,"cuz",0.0083341013575055
7,"know",0.0083341013575055
7,"soo",0.0083341013575055
8,"day",0.0391695527070188
8,"just",0.019935950215322
8,"see",0.0129041230057314
8,"work",0.0116010488572868
8,"man",0.0113122093186331
8,"make",0.010172710372134
8,"league",0.00891960454727815
8,"miracle",0.00891960454727815
8,"labor",0.00891960454727815
8,"editor",0.00891960454727815
8,"success",0.00891960454727815
8,"getting",0.00891960454727815
8,"thanks",0.00891960454727815
9,"football",0.0257795005722713
9,"h.s",0.024799725221007
9,"rt",0.0144665063789207
9,"fuck",0.0123998626105035
9,"break",0.0123998626105035
9,"highlights",0.0103332188420862
9,"back",0.0103332188414112
9,"fb",0.0103332188401252
9,"final",0.0103332188398657
9,"arrested",0.00826657507366899
9,"terror",0.00826657507366899
9,"can",0.00826657507366899
