"topic","term","beta"
1,"making",0.0333333333333333
1,"boy",0.0333333333333333
1,"contact",0.0333333333333333
1,"cute",0.0333333333333333
1,"eye",0.0333333333333333
1,"lit",0.0333333333333333
1,"today",0.0333333333333333
1,"totally",0.0333333333333333
1,"world",0.0333333333333333
1,"love",0.0333333333333333
1,"additional",0.0333333333333333
1,"attempting",0.0333333333333333
1,"grad",0.0333333333333333
1,"hard",0.0333333333333333
1,"home",0.0333333333333333
1,"introduce",0.0333333333333333
1,"relax",0.0333333333333333
1,"school",0.0333333333333333
1,"stress",0.0333333333333333
1,"thinking",0.0333333333333333
1,"y",0.0333333333333333
1,"audio",0.0333333333333333
1,"barack",0.0333333333333333
1,"called",0.0333333333333333
1,"clip",0.0333333333333333
1,"enough",0.0333333333333333
1,"express",0.0333333333333333
1,"jackass",0.0333333333333333
1,"kanye",0.0333333333333333
1,"words",0.0333333333333333
2,"world",0.0357142857142857
2,"clock",0.0357142857142857
2,"destroying",0.0357142857142857
2,"kitchen",0.0357142857142857
2,"stopped",0.0357142857142857
2,"end",0.0357142857142857
2,"manitowoc",0.0357142857142857
2,"meetings",0.0357142857142857
2,"reason",0.0357142857142857
2,"reside",0.0357142857142857
2,"story",0.0357142857142857
2,"alive",0.0357142857142857
2,"good",0.0357142857142857
2,"cry",0.0357142857142857
2,"decided",0.0357142857142857
2,"havent",0.0357142857142857
2,"need",0.0357142857142857
2,"stay",0.0357142857142857
2,"throw",0.0357142857142857
2,"tuned",0.0357142857142857
2,"yet",0.0357142857142857
2,"apart",0.0357142857142857
2,"falling",0.0357142857142857
2,"feel",0.0357142857142857
2,"forgotten",0.0357142857142857
2,"life",0.0357142857142857
2,"savoring",0.0357142857142857
2,"started",0.0357142857142857
3,"d",0.0967741935483871
3,"c",0.0645161290322581
3,"voice",0.0645161290322581
3,"bi",0.032258064516129
3,"close",0.032258064516129
3,"e",0.032258064516129
3,"incest",0.032258064516129
3,"may",0.032258064516129
3,"think",0.032258064516129
3,"away",0.032258064516129
3,"credit",0.032258064516129
3,"extra",0.032258064516129
3,"lessons",0.032258064516129
3,"making",0.032258064516129
3,"night",0.032258064516129
3,"shins",0.032258064516129
3,"sleeping",0.032258064516129
3,"understand",0.032258064516129
3,"wince",0.032258064516129
3,"geoffrey",0.032258064516129
3,"love",0.032258064516129
3,"monmouth",0.032258064516129
3,"thee",0.032258064516129
3,"end",0.032258064516129
3,"day",0.032258064516129
3,"dude",0.032258064516129
3,"monday",0.032258064516129
4,"crap",0.0625
4,"like",0.0625
4,"feels",0.0625
4,"night",0.03125
4,"cure",0.03125
4,"disintegration",0.03125
4,"pictures",0.03125
4,"world",0.03125
4,"alone",0.03125
4,"crowded",0.03125
4,"room",0.03125
4,"home",0.03125
4,"bacon",0.03125
4,"hoarders",0.03125
4,"oooh",0.03125
4,"want",0.03125
4,"thing",0.03125
4,"bad",0.03125
4,"almost",0.03125
4,"implodes",0.03125
4,"naz",0.03125
4,"place",0.03125
4,"work",0.03125
4,"care",0.03125
4,"dominator",0.03125
4,"poor",0.03125
4,"taking",0.03125
4,"felt",0.03125
4,"still",0.03125
5,"city",0.166666666666667
5,"five",0.111111111111111
5,"plan",0.111111111111111
5,"alarm",0.0555555555555556
5,"bloc",0.0555555555555556
5,"listening",0.0555555555555556
5,"party",0.0555555555555556
5,"silent",0.0555555555555556
5,"month",0.0555555555555556
5,"morphing",0.0555555555555556
5,"quickly",0.0555555555555556
5,"real",0.0555555555555556
5,"ugh",0.0555555555555556
5,"year",0.0555555555555556
6,"bored",0.0454545454545455
6,"rock",0.0454545454545455
6,"watching",0.0454545454545455
6,"boy",0.0227272727272727
6,"completely",0.0227272727272727
6,"sitting",0.0227272727272727
6,"union",0.0227272727272727
6,"alone",0.0227272727272727
6,"eating",0.0227272727272727
6,"haven",0.0227272727272727
6,"oreos",0.0227272727272727
6,"frickin",0.0227272727272727
6,"cuddling",0.0227272727272727
6,"pillow",0.0227272727272727
6,"shelter",0.0227272727272727
6,"school",0.0227272727272727
6,"ever",0.0227272727272727
6,"good",0.0227272727272727
6,"hundred",0.0227272727272727
6,"lightning",0.0227272727272727
6,"million",0.0227272727272727
6,"patrol",0.0227272727272727
6,"snow",0.0227272727272727
6,"strikes",0.0227272727272727
6,"suns",0.0227272727272727
6,"better",0.0227272727272727
6,"challenge",0.0227272727272727
6,"find",0.0227272727272727
6,"mine",0.0227272727272727
6,"bad",0.0227272727272727
6,"bed",0.0227272727272727
6,"cares",0.0227272727272727
6,"comfy",0.0227272727272727
6,"ass",0.0227272727272727
6,"atlas",0.0227272727272727
6,"bus",0.0227272727272727
6,"buses",0.0227272727272727
6,"em",0.0227272727272727
6,"hauling",0.0227272727272727
6,"hit",0.0227272727272727
6,"milwaukee",0.0227272727272727
7,"e",0.0294117647058823
7,"books",0.0294117647058823
7,"cd's",0.0294117647058823
