"topic","term","beta"
1,"need",0.0234223410197224
1,"tonight",0.0196722681543742
1,"want",0.0156592185856879
1,"way",0.0118602505805795
1,"twitpic.com",0.0114622876515942
1,"just",0.0105558902935572
1,"free",0.0099606348370538
1,"go",0.00872379344024
1,"get",0.00775498614070355
1,"class",0.00669360031350456
2,"see",0.0247119800526014
2,"rt",0.0170635252284933
2,"happy",0.0155228751815455
2,"watching",0.0132436230370207
2,"gonna",0.011009171293455
2,"thank",0.0103351405391662
2,"just",0.00980900601697405
2,"birthday",0.00943643267455676
2,"p",0.00898674325740174
2,"game",0.00869529368336433
3,"just",0.015369337555963
3,"new",0.0146220334415795
3,"oh",0.0131548038822912
3,"go",0.0129809053711425
3,"rt",0.011556271489568
3,"everyone",0.00943898989075215
3,"tweet",0.00861293582838126
3,"though",0.00695859158967756
3,"love",0.00691968383258638
3,"facebook",0.00674220893404346
4,"day",0.0376557377993277
4,"great",0.0254648754739509
4,"back",0.0147565647684052
4,"make",0.0114808148450379
4,"good",0.00966253496722483
4,"awesome",0.00913778484207739
4,"tomorrow",0.00881514427423634
4,"now",0.00762341968017674
4,"just",0.0073975600281756
4,"going",0.00700944922748236
5,"like",0.0326411610310532
5,"now",0.0310041146510735
5,"still",0.0118341083960022
5,"getting",0.011691684696362
5,"right",0.0109893875051509
5,"rt",0.0100348226532271
5,"get",0.00986626560281207
5,"just",0.00980608789945154
5,"looks",0.00978059535798781
5,"im",0.00968634820598716
6,"can",0.0320489929387888
6,"lol",0.0297920238063014
6,"get",0.0188554562663258
6,"week",0.0170151760928163
6,"life",0.0164654092156189
6,"scottsdale",0.0115105544069912
6,"work",0.0101210111511868
6,"tinyurl.com",0.00944688091247694
6,"listening",0.00902788240163695
6,"find",0.00789743191901739
7,"new",0.0361083907008685
7,"blog",0.0135733888232226
7,"check",0.0128589721462397
7,"asu",0.00924226370226622
7,"rt",0.00896913474676315
7,"devils",0.00666762959751872
7,"today",0.00620741171040058
7,"wedding",0.00599706435412781
7,"first",0.00596614692763612
7,"football",0.00566021147520041
8,"thanks",0.0231115334020135
8,"know",0.0214937263020328
8,"better",0.0145602638518764
8,"news",0.0120179975531695
8,"things",0.0106266827853068
8,"publishing",0.00993795951512093
8,"like",0.0093556087102372
8,"look",0.00929234560178227
8,"got",0.00925033251880464
8,"u",0.00901190562273341
9,"one",0.0428699688304357
9,"good",0.0232726901115519
9,"rt",0.0149458210884349
9,"twitter",0.0120135064637558
9,"time",0.0107654334609628
9,"say",0.0102152290687557
9,"never",0.0101481461170228
9,"marketing",0.00910441987030184
9,"amazing",0.00876494702660882
9,"love",0.00876425873676716
